排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,1,3945,30289,16
2,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,1,3944,30282,16
3,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,1,3943,30243,16
4,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,1,3882,30286,16
5,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,1,3845,30298,16
6,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,8,3825,24562,8
7,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,16,3825,29806,16
8,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,16,3758,29471,16
9,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,16,3754,32713,16
10,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,16,3571,29116,16
11,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,16,3565,29068,16
12,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,2,3553,6544,2
13,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,4,3465,12300,4
14,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,16,3455,27073,16
15,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,16,3295,25539,16
16,11th Gen Intel(R) Core(TM) i7-11800H @ 2.30GHz,2,1934,3856,2
