排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,12th Gen Intel(R) Core(TM) i5-12400,12,3784,21756,12
2,12th Gen Intel(R) Core(TM) i5-12400,1,3783,21540,12
3,12th Gen Intel(R) Core(TM) i5-12400,1,3772,21548,12
4,12th Gen Intel(R) Core(TM) i5-12400,1,3719,21682,12
5,12th Gen Intel(R) Core(TM) i5-12400,1,3590,21622,12
6,12th Gen Intel(R) Core(TM) i5-12400,4,3504,10865,4
7,12th Gen Intel(R) Core(TM) i5-12400,8,3459,20124,8
8,12th Gen Intel(R) Core(TM) i5-12400,12,3442,21193,12
9,12th Gen Intel(R) Core(TM) i5-12400,1,3440,19123,12
10,12th Gen Intel(R) Core(TM) i5-12400,4,3402,13483,4
11,12th Gen Intel(R) Core(TM) i5-12400,6,3046,14186,6
