排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,12th Gen Intel(R) Core(TM) i9-12900H,1,4278,48923,28
2,12th Gen Intel(R) Core(TM) i9-12900H,1,4276,48803,28
3,12th Gen Intel(R) Core(TM) i9-12900H,1,4272,48183,28
4,12th Gen Intel(R) Core(TM) i9-12900H,1,4307,45299,14
5,12th Gen Intel(R) Core(TM) i9-12900H,16,3962,44613,16
6,12th Gen Intel(R) Core(TM) i9-12900H,16,3890,43002,16
7,12th Gen Intel(R) Core(TM) i9-12900H,20,3719,41899,20
8,12th Gen Intel(R) Core(TM) i9-12900H,8,4056,27692,8
9,12th Gen Intel(R) Core(TM) i9-12900H,10,4127,27338,10
10,12th Gen Intel(R) Core(TM) i9-12900H,4,3292,11321,4
11,12th Gen Intel(R) Core(TM) i9-12900H,2,3948,7265,2
12,12th Gen Intel(R) Core(TM) i9-12900H,2,3881,7258,2
13,12th Gen Intel(R) Core(TM) i9-12900H,2,3751,7196,2
14,12th Gen Intel(R) Core(TM) i9-12900H,2,3603,7175,2
15,12th Gen Intel(R) Core(TM) i9-12900H,2,3572,7165,2
16,12th Gen Intel(R) Core(TM) i9-12900H,2,3389,6904,2
17,12th Gen Intel(R) Core(TM) i9-12900H,2,3492,6882,2
18,12th Gen Intel(R) Core(TM) i9-12900H,2,3504,6725,2
19,12th Gen Intel(R) Core(TM) i9-12900H,2,2455,4751,2
20,12th Gen Intel(R) Core(TM) i9-12900H,2,2355,4509,2
21,12th Gen Intel(R) Core(TM) i9-12900H,2,2095,4425,2
22,12th Gen Intel(R) Core(TM) i9-12900H,2,2225,4384,2
23,12th Gen Intel(R) Core(TM) i9-12900H,2,2173,4147,2
