排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC-Rome Processor,96,3477,259356,96
2,AMD EPYC-Rome Processor,128,1625,98228,128
3,AMD EPYC-Rome Processor,24,3477,82841,24
4,AMD EPYC-Rome Processor,48,1625,73742,48
5,AMD EPYC-Rome Processor,16,3947,61290,16
6,AMD EPYC-Rome Processor,32,1630,51623,32
7,AMD EPYC-Rome Processor,12,3408,40251,12
8,AMD EPYC-Rome Processor,12,3300,39370,12
9,AMD EPYC-Rome Processor,12,3427,38835,12
10,AMD EPYC-Rome Processor,12,3277,36825,12
11,AMD EPYC-Rome Processor,8,4316,34909,8
12,AMD EPYC-Rome Processor,8,4164,32843,8
13,AMD EPYC-Rome Processor,12,3001,32636,12
14,AMD EPYC-Rome Processor,12,2993,32604,12
15,AMD EPYC-Rome Processor,8,4062,32488,8
16,AMD EPYC-Rome Processor,8,4153,32176,8
17,AMD EPYC-Rome Processor,8,4044,32048,8
18,AMD EPYC-Rome Processor,8,3974,31596,8
19,AMD EPYC-Rome Processor,8,3589,28712,8
20,AMD EPYC-Rome Processor,8,3464,27622,8
21,AMD EPYC-Rome Processor,8,3471,27497,8
22,AMD EPYC-Rome Processor,8,3532,26984,8
23,AMD EPYC-Rome Processor,8,3386,25997,8
24,AMD EPYC-Rome Processor,16,1632,25966,16
25,AMD EPYC-Rome Processor,8,3220,25948,8
26,AMD EPYC-Rome Processor,16,1615,25909,16
27,AMD EPYC-Rome Processor,16,1624,25627,16
28,AMD EPYC-Rome Processor,8,3318,24942,8
29,AMD EPYC-Rome Processor,4,5285,20966,4
30,AMD EPYC-Rome Processor,4,5460,20514,4
31,AMD EPYC-Rome Processor,4,5474,20372,4
32,AMD EPYC-Rome Processor,4,5341,20356,4
33,AMD EPYC-Rome Processor,4,5256,20288,4
34,AMD EPYC-Rome Processor,4,5263,20237,4
35,AMD EPYC-Rome Processor,4,5146,20192,4
36,AMD EPYC-Rome Processor,8,3026,20032,8
37,AMD EPYC-Rome Processor,4,5117,19962,4
38,AMD EPYC-Rome Processor,4,5372,19925,4
39,AMD EPYC-Rome Processor,4,5082,19886,4
40,AMD EPYC-Rome Processor,4,5076,19846,4
41,AMD EPYC-Rome Processor,4,4990,19702,4
42,AMD EPYC-Rome Processor,4,5069,19632,4
43,AMD EPYC-Rome Processor,4,4987,19612,4
44,AMD EPYC-Rome Processor,4,4925,19095,4
45,AMD EPYC-Rome Processor,4,4997,18955,4
46,AMD EPYC-Rome Processor,4,5000,18680,4
47,AMD EPYC-Rome Processor,4,4859,17495,4
48,AMD EPYC-Rome Processor,12,1466,17491,12
49,AMD EPYC-Rome Processor,12,1465,17427,12
50,AMD EPYC-Rome Processor,12,1487,17404,12
51,AMD EPYC-Rome Processor,12,1471,17369,12
52,AMD EPYC-Rome Processor,4,4367,17359,4
53,AMD EPYC-Rome Processor,4,4367,17354,4
54,AMD EPYC-Rome Processor,4,4665,16593,4
55,AMD EPYC-Rome Processor,12,1435,16583,12
56,AMD EPYC-Rome Processor,4,4622,16071,4
57,AMD EPYC-Rome Processor,4,4036,15932,4
58,AMD EPYC-Rome Processor,4,4005,15898,4
59,AMD EPYC-Rome Processor,12,1401,15139,12
60,AMD EPYC-Rome Processor,12,1327,14780,12
61,AMD EPYC-Rome Processor,4,4392,14433,4
62,AMD EPYC-Rome Processor,4,3612,14384,4
63,AMD EPYC-Rome Processor,4,3612,14329,4
64,AMD EPYC-Rome Processor,4,3598,14297,4
65,AMD EPYC-Rome Processor,4,3614,14269,4
66,AMD EPYC-Rome Processor,4,4673,14083,4
67,AMD EPYC-Rome Processor,16,1677,14068,16
68,AMD EPYC-Rome Processor,4,4317,13379,4
69,AMD EPYC-Rome Processor,10,1412,13332,10
70,AMD EPYC-Rome Processor,3,4395,13160,3
71,AMD EPYC-Rome Processor,4,3370,13159,4
72,AMD EPYC-Rome Processor,3,4389,13153,3
73,AMD EPYC-Rome Processor,3,4390,13136,3
74,AMD EPYC-Rome Processor,4,3256,13071,4
75,AMD EPYC-Rome Processor,8,1622,13024,8
76,AMD EPYC-Rome Processor,8,1623,12971,8
77,AMD EPYC-Rome Processor,8,1599,12893,8
78,AMD EPYC-Rome Processor,8,1623,12892,8
79,AMD EPYC-Rome Processor,4,2897,12834,4
80,AMD EPYC-Rome Processor,16,801,12833,16
81,AMD EPYC-Rome Processor,4,3230,12787,4
82,AMD EPYC-Rome Processor,8,1632,12781,8
83,AMD EPYC-Rome Processor,8,1556,12709,8
84,AMD EPYC-Rome Processor,4,3154,12527,4
85,AMD EPYC-Rome Processor,4,3343,12422,4
86,AMD EPYC-Rome Processor,4,3022,12355,4
87,AMD EPYC-Rome Processor,4,3118,12054,4
88,AMD EPYC-Rome Processor,4,3145,12045,4
89,AMD EPYC-Rome Processor,8,1489,11816,8
90,AMD EPYC-Rome Processor,4,3016,11803,4
91,AMD EPYC-Rome Processor,8,1489,11777,8
92,AMD EPYC-Rome Processor,8,1474,11741,8
93,AMD EPYC-Rome Processor,8,1466,11686,8
94,AMD EPYC-Rome Processor,4,3957,11673,4
95,AMD EPYC-Rome Processor,4,2951,11663,4
96,AMD EPYC-Rome Processor,4,3028,11515,4
97,AMD EPYC-Rome Processor,8,1401,11508,8
98,AMD EPYC-Rome Processor,8,1466,11426,8
99,AMD EPYC-Rome Processor,8,1432,11424,8
100,AMD EPYC-Rome Processor,8,1459,11324,8
101,AMD EPYC-Rome Processor,8,1460,11295,8
102,AMD EPYC-Rome Processor,8,1470,11271,8
103,AMD EPYC-Rome Processor,8,1442,11194,8
104,AMD EPYC-Rome Processor,8,1417,11074,8
105,AMD EPYC-Rome Processor,8,1409,10955,8
106,AMD EPYC-Rome Processor,8,1408,10861,8
107,AMD EPYC-Rome Processor,8,1342,10800,8
108,AMD EPYC-Rome Processor,8,1403,10798,8
109,AMD EPYC-Rome Processor,4,2842,10774,4
110,AMD EPYC-Rome Processor,8,1432,10671,8
111,AMD EPYC-Rome Processor,4,2750,10659,4
112,AMD EPYC-Rome Processor,8,1339,10606,8
113,AMD EPYC-Rome Processor,8,1437,10535,8
114,AMD EPYC-Rome Processor,8,1362,10365,8
115,AMD EPYC-Rome Processor,2,5243,10173,2
116,AMD EPYC-Rome Processor,2,5109,10112,2
117,AMD EPYC-Rome Processor,6,1637,9891,6
118,AMD EPYC-Rome Processor,6,1651,9885,6
119,AMD EPYC-Rome Processor,6,1638,9853,6
120,AMD EPYC-Rome Processor,6,1640,9829,6
121,AMD EPYC-Rome Processor,6,1615,9751,6
122,AMD EPYC-Rome Processor,8,1396,9741,8
123,AMD EPYC-Rome Processor,6,1618,9741,6
124,AMD EPYC-Rome Processor,4,2994,9739,4
125,AMD EPYC-Rome Processor,6,1625,9728,6
126,AMD EPYC-Rome Processor,4,2804,9683,4
127,AMD EPYC-Rome Processor,4,2889,9428,4
128,AMD EPYC-Rome Processor,2,4465,8932,2
129,AMD EPYC-Rome Processor,2,4347,8774,2
130,AMD EPYC-Rome Processor,8,1244,8749,8
131,AMD EPYC-Rome Processor,2,4344,8729,2
132,AMD EPYC-Rome Processor,8,1157,8679,8
133,AMD EPYC-Rome Processor,2,4416,8646,2
134,AMD EPYC-Rome Processor,4,2080,8454,4
135,AMD EPYC-Rome Processor,4,2103,8432,4
136,AMD EPYC-Rome Processor,2,4155,8245,2
137,AMD EPYC-Rome Processor,2,4024,8111,2
138,AMD EPYC-Rome Processor,2,3993,8077,2
139,AMD EPYC-Rome Processor,2,4064,8031,2
140,AMD EPYC-Rome Processor,2,4073,8030,2
141,AMD EPYC-Rome Processor,2,4026,7980,2
142,AMD EPYC-Rome Processor,2,3904,7962,2
143,AMD EPYC-Rome Processor,2,3989,7901,2
144,AMD EPYC-Rome Processor,2,4032,7890,2
145,AMD EPYC-Rome Processor,2,4001,7866,2
146,AMD EPYC-Rome Processor,2,3929,7801,2
147,AMD EPYC-Rome Processor,2,3950,7782,2
148,AMD EPYC-Rome Processor,2,3784,7736,2
149,AMD EPYC-Rome Processor,2,4005,7682,2
150,AMD EPYC-Rome Processor,2,3763,7676,2
151,AMD EPYC-Rome Processor,2,3965,7621,2
152,AMD EPYC-Rome Processor,2,3936,7597,2
153,AMD EPYC-Rome Processor,2,3662,7569,2
154,AMD EPYC-Rome Processor,2,3824,7375,2
155,AMD EPYC-Rome Processor,2,3870,7349,2
156,AMD EPYC-Rome Processor,2,3654,7281,2
157,AMD EPYC-Rome Processor,2,3601,7253,2
158,AMD EPYC-Rome Processor,2,3638,7246,2
159,AMD EPYC-Rome Processor,2,3682,7191,2
160,AMD EPYC-Rome Processor,2,3564,7044,2
161,AMD EPYC-Rome Processor,2,3473,6918,2
162,AMD EPYC-Rome Processor,2,3421,6841,2
163,AMD EPYC-Rome Processor,2,3436,6822,2
164,AMD EPYC-Rome Processor,2,3413,6792,2
165,AMD EPYC-Rome Processor,2,3426,6792,2
166,AMD EPYC-Rome Processor,2,3417,6752,2
167,AMD EPYC-Rome Processor,2,3405,6701,2
168,AMD EPYC-Rome Processor,2,3217,6646,2
169,AMD EPYC-Rome Processor,4,1652,6642,4
170,AMD EPYC-Rome Processor,4,1617,6578,4
171,AMD EPYC-Rome Processor,2,3306,6557,2
172,AMD EPYC-Rome Processor,2,3241,6543,2
173,AMD EPYC-Rome Processor,4,1628,6532,4
174,AMD EPYC-Rome Processor,4,1637,6528,4
175,AMD EPYC-Rome Processor,4,1623,6521,4
176,AMD EPYC-Rome Processor,4,1623,6520,4
177,AMD EPYC-Rome Processor,4,2646,6512,4
178,AMD EPYC-Rome Processor,4,1640,6510,4
179,AMD EPYC-Rome Processor,4,1621,6510,4
180,AMD EPYC-Rome Processor,4,1630,6506,4
181,AMD EPYC-Rome Processor,4,1620,6505,4
182,AMD EPYC-Rome Processor,4,1622,6496,4
183,AMD EPYC-Rome Processor,4,1623,6496,4
184,AMD EPYC-Rome Processor,4,1614,6493,4
185,AMD EPYC-Rome Processor,4,1628,6492,4
186,AMD EPYC-Rome Processor,4,1626,6489,4
187,AMD EPYC-Rome Processor,4,1619,6489,4
188,AMD EPYC-Rome Processor,2,3429,6489,2
189,AMD EPYC-Rome Processor,4,1617,6485,4
190,AMD EPYC-Rome Processor,4,1617,6483,4
191,AMD EPYC-Rome Processor,4,1619,6483,4
192,AMD EPYC-Rome Processor,4,1619,6481,4
193,AMD EPYC-Rome Processor,4,1619,6480,4
194,AMD EPYC-Rome Processor,4,1625,6474,4
195,AMD EPYC-Rome Processor,4,1618,6473,4
196,AMD EPYC-Rome Processor,4,1607,6473,4
197,AMD EPYC-Rome Processor,4,1633,6472,4
198,AMD EPYC-Rome Processor,4,1620,6471,4
199,AMD EPYC-Rome Processor,4,1622,6469,4
200,AMD EPYC-Rome Processor,4,1591,6467,4
201,AMD EPYC-Rome Processor,4,1614,6466,4
202,AMD EPYC-Rome Processor,4,1609,6459,4
203,AMD EPYC-Rome Processor,8,1208,6459,8
204,AMD EPYC-Rome Processor,4,1621,6456,4
205,AMD EPYC-Rome Processor,4,1614,6452,4
206,AMD EPYC-Rome Processor,4,1622,6451,4
207,AMD EPYC-Rome Processor,4,1587,6451,4
208,AMD EPYC-Rome Processor,4,1615,6450,4
209,AMD EPYC-Rome Processor,4,1618,6449,4
210,AMD EPYC-Rome Processor,4,1620,6442,4
211,AMD EPYC-Rome Processor,4,1622,6440,4
212,AMD EPYC-Rome Processor,4,1589,6435,4
213,AMD EPYC-Rome Processor,4,1613,6435,4
214,AMD EPYC-Rome Processor,4,1606,6432,4
215,AMD EPYC-Rome Processor,4,1622,6426,4
216,AMD EPYC-Rome Processor,4,1604,6423,4
217,AMD EPYC-Rome Processor,4,1607,6417,4
218,AMD EPYC-Rome Processor,4,1601,6404,4
219,AMD EPYC-Rome Processor,4,1612,6402,4
220,AMD EPYC-Rome Processor,4,1618,6397,4
221,AMD EPYC-Rome Processor,4,1620,6389,4
222,AMD EPYC-Rome Processor,4,1602,6361,4
223,AMD EPYC-Rome Processor,4,1608,6356,4
224,AMD EPYC-Rome Processor,2,3412,6346,2
225,AMD EPYC-Rome Processor,4,1627,6311,4
226,AMD EPYC-Rome Processor,2,3223,6274,2
227,AMD EPYC-Rome Processor,4,1606,6258,4
228,AMD EPYC-Rome Processor,2,3148,6246,2
229,AMD EPYC-Rome Processor,2,3180,6239,2
230,AMD EPYC-Rome Processor,2,3253,6197,2
231,AMD EPYC-Rome Processor,4,1567,6195,4
232,AMD EPYC-Rome Processor,4,1479,6140,4
233,AMD EPYC-Rome Processor,4,1521,6137,4
234,AMD EPYC-Rome Processor,2,3082,6126,2
235,AMD EPYC-Rome Processor,2,3131,6109,2
236,AMD EPYC-Rome Processor,4,1576,6007,4
237,AMD EPYC-Rome Processor,4,1486,5945,4
238,AMD EPYC-Rome Processor,4,1488,5932,4
239,AMD EPYC-Rome Processor,4,1478,5929,4
240,AMD EPYC-Rome Processor,4,1484,5925,4
241,AMD EPYC-Rome Processor,4,1472,5922,4
242,AMD EPYC-Rome Processor,4,1485,5921,4
243,AMD EPYC-Rome Processor,4,1477,5919,4
244,AMD EPYC-Rome Processor,4,1487,5918,4
245,AMD EPYC-Rome Processor,4,1481,5913,4
246,AMD EPYC-Rome Processor,4,1483,5911,4
247,AMD EPYC-Rome Processor,4,1495,5905,4
248,AMD EPYC-Rome Processor,4,1480,5903,4
249,AMD EPYC-Rome Processor,4,1475,5903,4
250,AMD EPYC-Rome Processor,4,1489,5903,4
251,AMD EPYC-Rome Processor,4,1484,5903,4
