排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC 7401P 24-Core Processor,1,1483,34454,48
2,AMD EPYC 7401P 24-Core Processor,1,1481,34770,48
3,AMD EPYC 7401P 24-Core Processor,1,1477,34770,48
4,AMD EPYC 7401P 24-Core Processor,8,1462,10473,8
5,AMD EPYC 7401P 24-Core Processor,2,1455,2039,2
6,AMD EPYC 7401P 24-Core Processor,48,1437,1697,48
7,AMD EPYC 7401P 24-Core Processor,3,1381,3106,3
8,AMD EPYC 7401P 24-Core Processor,2,1361,2634,2
9,AMD EPYC 7401P 24-Core Processor,2,1361,2733,2
10,AMD EPYC 7401P 24-Core Processor,4,1357,5440,4
11,AMD EPYC 7401P 24-Core Processor,3,1317,3926,3
12,AMD EPYC 7401P 24-Core Processor,2,1312,2134,2
13,AMD EPYC 7401P 24-Core Processor,2,1307,2599,2
14,AMD EPYC 7401P 24-Core Processor,2,1290,1977,2
15,AMD EPYC 7401P 24-Core Processor,2,1289,2663,2
16,AMD EPYC 7401P 24-Core Processor,2,1286,2494,2
17,AMD EPYC 7401P 24-Core Processor,3,1283,3803,3
18,AMD EPYC 7401P 24-Core Processor,2,1280,2277,2
19,AMD EPYC 7401P 24-Core Processor,4,1279,5066,4
20,AMD EPYC 7401P 24-Core Processor,2,1277,2594,2
21,AMD EPYC 7401P 24-Core Processor,3,1275,3381,3
22,AMD EPYC 7401P 24-Core Processor,3,1257,3522,3
23,AMD EPYC 7401P 24-Core Processor,2,1254,2494,2
24,AMD EPYC 7401P 24-Core Processor,2,1245,2487,2
25,AMD EPYC 7401P 24-Core Processor,3,1243,3335,3
26,AMD EPYC 7401P 24-Core Processor,3,1234,3346,3
27,AMD EPYC 7401P 24-Core Processor,3,1224,3224,3
28,AMD EPYC 7401P 24-Core Processor,3,1218,3378,3
29,AMD EPYC 7401P 24-Core Processor,2,1215,2517,2
30,AMD EPYC 7401P 24-Core Processor,2,1213,2382,2
31,AMD EPYC 7401P 24-Core Processor,2,1188,2335,2
32,AMD EPYC 7401P 24-Core Processor,3,1183,2531,3
33,AMD EPYC 7401P 24-Core Processor,2,1177,2199,2
34,AMD EPYC 7401P 24-Core Processor,2,1169,1980,2
