排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC 9224 24-Core Processor,4,4511,17889,4
2,AMD EPYC 9224 24-Core Processor,4,4478,17910,4
3,AMD EPYC 9224 24-Core Processor,8,4467,35388,8
4,AMD EPYC 9224 24-Core Processor,4,4458,17861,4
5,AMD EPYC 9224 24-Core Processor,4,4454,16914,4
6,AMD EPYC 9224 24-Core Processor,4,4450,17259,4
7,AMD EPYC 9224 24-Core Processor,4,4363,17014,4
8,AMD EPYC 9224 24-Core Processor,2,4334,8567,2
9,AMD EPYC 9224 24-Core Processor,2,4310,8517,2
10,AMD EPYC 9224 24-Core Processor,2,4286,8610,2
11,AMD EPYC 9224 24-Core Processor,4,4198,16009,4
12,AMD EPYC 9224 24-Core Processor,4,4152,16819,4
13,AMD EPYC 9224 24-Core Processor,8,4096,32136,8
14,AMD EPYC 9224 24-Core Processor,8,4087,29373,8
15,AMD EPYC 9224 24-Core Processor,8,4076,28110,8
16,AMD EPYC 9224 24-Core Processor,6,4072,25426,6
17,AMD EPYC 9224 24-Core Processor,12,4069,21577,12
18,AMD EPYC 9224 24-Core Processor,6,4068,4173,6
19,AMD EPYC 9224 24-Core Processor,4,4034,16653,4
20,AMD EPYC 9224 24-Core Processor,6,3995,3974,6
21,AMD EPYC 9224 24-Core Processor,12,3958,22894,12
22,AMD EPYC 9224 24-Core Processor,4,3921,15187,4
23,AMD EPYC 9224 24-Core Processor,6,3910,20757,6
24,AMD EPYC 9224 24-Core Processor,4,3888,14667,4
25,AMD EPYC 9224 24-Core Processor,6,3881,4025,6
26,AMD EPYC 9224 24-Core Processor,4,3874,13420,4
27,AMD EPYC 9224 24-Core Processor,4,3741,6869,4
28,AMD EPYC 9224 24-Core Processor,4,3721,14482,4
29,AMD EPYC 9224 24-Core Processor,6,3718,12615,6
30,AMD EPYC 9224 24-Core Processor,12,3559,9312,12
31,AMD EPYC 9224 24-Core Processor,6,3448,9507,6
32,AMD EPYC 9224 24-Core Processor,4,3404,9840,4
33,AMD EPYC 9224 24-Core Processor,2,3089,6148,2
34,AMD EPYC 9224 24-Core Processor,6,2698,15755,6
35,AMD EPYC 9224 24-Core Processor,8,1824,10883,8
