排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC 9454 48-Core Processor,6,4651,27830,6
2,AMD EPYC 9454 48-Core Processor,6,4490,25731,6
3,AMD EPYC 9454 48-Core Processor,3,4624,13912,3
4,AMD EPYC 9454 48-Core Processor,3,4659,13881,3
5,AMD EPYC 9454 48-Core Processor,3,4635,13778,3
6,AMD EPYC 9454 48-Core Processor,3,4616,13738,3
7,AMD EPYC 9454 48-Core Processor,3,4477,12456,3
8,AMD EPYC 9454 48-Core Processor,3,4139,12426,3
9,AMD EPYC 9454 48-Core Processor,3,4151,12360,3
10,AMD EPYC 9454 48-Core Processor,3,4222,12349,3
11,AMD EPYC 9454 48-Core Processor,3,4134,12289,3
12,AMD EPYC 9454 48-Core Processor,3,4042,12210,3
13,AMD EPYC 9454 48-Core Processor,3,4197,12169,3
14,AMD EPYC 9454 48-Core Processor,3,4158,12083,3
15,AMD EPYC 9454 48-Core Processor,3,4047,12064,3
16,AMD EPYC 9454 48-Core Processor,3,4187,11642,3
17,AMD EPYC 9454 48-Core Processor,3,4295,10451,3
18,AMD EPYC 9454 48-Core Processor,2,4688,9315,2
19,AMD EPYC 9454 48-Core Processor,2,4628,9289,2
20,AMD EPYC 9454 48-Core Processor,3,4131,8385,3
