排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC 9J14 96-Core Processor,188,4169,421761,188
2,AMD EPYC 9J14 96-Core Processor,120,4174,281418,120
3,AMD EPYC 9J14 96-Core Processor,64,4084,201649,64
4,AMD EPYC 9J14 96-Core Processor,64,4163,149331,64
5,AMD EPYC 9J14 96-Core Processor,32,4519,75231,32
6,AMD EPYC 9J14 96-Core Processor,24,4526,56729,24
7,AMD EPYC 9J14 96-Core Processor,24,4159,56011,24
8,AMD EPYC 9J14 96-Core Processor,24,4164,55979,24
9,AMD EPYC 9J14 96-Core Processor,12,4138,49108,12
10,AMD EPYC 9J14 96-Core Processor,16,4156,37657,16
11,AMD EPYC 9J14 96-Core Processor,16,4151,37493,16
12,AMD EPYC 9J14 96-Core Processor,16,4175,37378,16
13,AMD EPYC 9J14 96-Core Processor,16,4163,37337,16
14,AMD EPYC 9J14 96-Core Processor,16,4162,36824,16
15,AMD EPYC 9J14 96-Core Processor,14,4167,32647,14
16,AMD EPYC 9J14 96-Core Processor,10,4191,23476,10
17,AMD EPYC 9J14 96-Core Processor,8,4175,18828,8
18,AMD EPYC 9J14 96-Core Processor,8,4177,18826,8
19,AMD EPYC 9J14 96-Core Processor,8,4178,18824,8
20,AMD EPYC 9J14 96-Core Processor,8,4184,18822,8
21,AMD EPYC 9J14 96-Core Processor,8,4177,18821,8
22,AMD EPYC 9J14 96-Core Processor,8,4174,18821,8
23,AMD EPYC 9J14 96-Core Processor,8,4173,18819,8
24,AMD EPYC 9J14 96-Core Processor,8,4176,18819,8
25,AMD EPYC 9J14 96-Core Processor,8,4174,18818,8
26,AMD EPYC 9J14 96-Core Processor,8,4175,18818,8
27,AMD EPYC 9J14 96-Core Processor,8,4175,18817,8
28,AMD EPYC 9J14 96-Core Processor,8,4176,18817,8
29,AMD EPYC 9J14 96-Core Processor,8,4180,18817,8
30,AMD EPYC 9J14 96-Core Processor,8,4175,18816,8
31,AMD EPYC 9J14 96-Core Processor,8,4173,18815,8
32,AMD EPYC 9J14 96-Core Processor,8,4173,18814,8
33,AMD EPYC 9J14 96-Core Processor,8,4180,18813,8
34,AMD EPYC 9J14 96-Core Processor,8,4174,18811,8
35,AMD EPYC 9J14 96-Core Processor,8,4175,18811,8
36,AMD EPYC 9J14 96-Core Processor,8,4173,18811,8
37,AMD EPYC 9J14 96-Core Processor,8,4175,18810,8
38,AMD EPYC 9J14 96-Core Processor,8,4173,18810,8
39,AMD EPYC 9J14 96-Core Processor,8,4173,18809,8
40,AMD EPYC 9J14 96-Core Processor,8,4174,18807,8
41,AMD EPYC 9J14 96-Core Processor,8,4174,18807,8
42,AMD EPYC 9J14 96-Core Processor,8,4211,18806,8
43,AMD EPYC 9J14 96-Core Processor,8,4170,18805,8
44,AMD EPYC 9J14 96-Core Processor,8,4170,18801,8
45,AMD EPYC 9J14 96-Core Processor,8,4175,18798,8
46,AMD EPYC 9J14 96-Core Processor,8,4175,18797,8
47,AMD EPYC 9J14 96-Core Processor,8,4171,18785,8
