排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Ryzen 5 5600X 6-Core Processor,2,6158,11974,2
2,AMD Ryzen 5 5600X 6-Core Processor,1,5310,35550,12
3,AMD Ryzen 5 5600X 6-Core Processor,1,5301,35540,12
4,AMD Ryzen 5 5600X 6-Core Processor,1,5296,35538,12
5,AMD Ryzen 5 5600X 6-Core Processor,1,5294,34992,12
6,AMD Ryzen 5 5600X 6-Core Processor,4,5293,20645,4
7,AMD Ryzen 5 5600X 6-Core Processor,12,5290,35494,12
8,AMD Ryzen 5 5600X 6-Core Processor,1,5290,35409,12
9,AMD Ryzen 5 5600X 6-Core Processor,1,5282,32924,12
10,AMD Ryzen 5 5600X 6-Core Processor,1,5272,35141,12
11,AMD Ryzen 5 5600X 6-Core Processor,1,5269,35463,12
12,AMD Ryzen 5 5600X 6-Core Processor,4,5267,20999,4
13,AMD Ryzen 5 5600X 6-Core Processor,1,5264,34851,12
14,AMD Ryzen 5 5600X 6-Core Processor,1,5261,35162,12
15,AMD Ryzen 5 5600X 6-Core Processor,1,5255,35496,12
16,AMD Ryzen 5 5600X 6-Core Processor,1,5250,34565,12
17,AMD Ryzen 5 5600X 6-Core Processor,2,5238,10474,2
18,AMD Ryzen 5 5600X 6-Core Processor,8,5211,32434,8
19,AMD Ryzen 5 5600X 6-Core Processor,12,5085,14959,12
20,AMD Ryzen 5 5600X 6-Core Processor,3,5084,15025,3
21,AMD Ryzen 5 5600X 6-Core Processor,2,5066,10094,2
22,AMD Ryzen 5 5600X 6-Core Processor,2,5054,9873,2
23,AMD Ryzen 5 5600X 6-Core Processor,12,5021,28161,12
24,AMD Ryzen 5 5600X 6-Core Processor,2,4973,9846,2
25,AMD Ryzen 5 5600X 6-Core Processor,3,4956,10119,3
26,AMD Ryzen 5 5600X 6-Core Processor,2,4914,9761,2
27,AMD Ryzen 5 5600X 6-Core Processor,2,4681,8901,2
28,AMD Ryzen 5 5600X 6-Core Processor,4,4654,12778,4
29,AMD Ryzen 5 5600X 6-Core Processor,2,4591,8792,2
30,AMD Ryzen 5 5600X 6-Core Processor,4,2481,9886,4
31,AMD Ryzen 5 5600X 6-Core Processor,8,2235,13266,8
