排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Ryzen 7 6800H with Radeon Graphics,16,5383,45719,16
2,AMD Ryzen 7 6800H with Radeon Graphics,12,5280,40431,12
3,AMD Ryzen 7 6800H with Radeon Graphics,4,5220,11667,4
4,AMD Ryzen 7 6800H with Radeon Graphics,4,5187,19786,4
5,AMD Ryzen 7 6800H with Radeon Graphics,8,5173,31372,8
6,AMD Ryzen 7 6800H with Radeon Graphics,8,5170,34591,8
7,AMD Ryzen 7 6800H with Radeon Graphics,16,5144,43981,16
8,AMD Ryzen 7 6800H with Radeon Graphics,16,5132,40505,16
9,AMD Ryzen 7 6800H with Radeon Graphics,12,5125,39896,12
10,AMD Ryzen 7 6800H with Radeon Graphics,1,4899,44231,16
11,AMD Ryzen 7 6800H with Radeon Graphics,2,4377,4801,2
12,AMD Ryzen 7 6800H with Radeon Graphics,4,2307,6733,4
