排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Ryzen 7 7735HS with Radeon Graphics,1,5469,46813,16
2,AMD Ryzen 7 7735HS with Radeon Graphics,1,5467,46720,16
3,AMD Ryzen 7 7735HS with Radeon Graphics,1,5070,45850,16
4,AMD Ryzen 7 7735HS with Radeon Graphics,1,5458,45365,16
5,AMD Ryzen 7 7735HS with Radeon Graphics,1,5428,44400,16
6,AMD Ryzen 7 7735HS with Radeon Graphics,1,5431,43127,16
7,AMD Ryzen 7 7735HS with Radeon Graphics,1,5385,42732,16
8,AMD Ryzen 7 7735HS with Radeon Graphics,1,5366,42642,16
9,AMD Ryzen 7 7735HS with Radeon Graphics,16,4995,37272,16
10,AMD Ryzen 7 7735HS with Radeon Graphics,8,5313,32605,8
11,AMD Ryzen 7 7735HS with Radeon Graphics,1,1595,14286,16
12,AMD Ryzen 7 7735HS with Radeon Graphics,1,1595,14282,16
