排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Ryzen 9 7900 12-Core Processor,24,6321,84511,24
2,AMD Ryzen 9 7900 12-Core Processor,24,6262,84280,24
3,AMD Ryzen 9 7900 12-Core Processor,1,6609,82779,24
4,AMD Ryzen 9 7900 12-Core Processor,24,6271,81682,24
5,AMD Ryzen 9 7900 12-Core Processor,1,6455,79243,24
6,AMD Ryzen 9 7900 12-Core Processor,1,6554,79026,24
7,AMD Ryzen 9 7900 12-Core Processor,1,6194,78956,24
8,AMD Ryzen 9 7900 12-Core Processor,1,6432,78801,24
9,AMD Ryzen 9 7900 12-Core Processor,1,6492,78760,24
10,AMD Ryzen 9 7900 12-Core Processor,1,6485,78708,24
11,AMD Ryzen 9 7900 12-Core Processor,1,6452,78598,24
12,AMD Ryzen 9 7900 12-Core Processor,1,6415,78528,24
13,AMD Ryzen 9 7900 12-Core Processor,1,6383,78516,24
14,AMD Ryzen 9 7900 12-Core Processor,1,6546,78324,24
15,AMD Ryzen 9 7900 12-Core Processor,1,6468,78232,24
16,AMD Ryzen 9 7900 12-Core Processor,1,5593,77961,24
17,AMD Ryzen 9 7900 12-Core Processor,1,6488,77942,24
18,AMD Ryzen 9 7900 12-Core Processor,1,5360,77807,24
19,AMD Ryzen 9 7900 12-Core Processor,1,6557,77138,24
20,AMD Ryzen 9 7900 12-Core Processor,1,5634,76643,24
21,AMD Ryzen 9 7900 12-Core Processor,1,5441,76437,24
22,AMD Ryzen 9 7900 12-Core Processor,1,5337,75654,24
23,AMD Ryzen 9 7900 12-Core Processor,1,5557,75647,24
24,AMD Ryzen 9 7900 12-Core Processor,1,5983,74100,24
25,AMD Ryzen 9 7900 12-Core Processor,12,6464,70491,12
26,AMD Ryzen 9 7900 12-Core Processor,12,6257,70167,12
27,AMD Ryzen 9 7900 12-Core Processor,12,6500,69904,12
28,AMD Ryzen 9 7900 12-Core Processor,12,6225,69603,12
29,AMD Ryzen 9 7900 12-Core Processor,12,6238,68494,12
30,AMD Ryzen 9 7900 12-Core Processor,8,6431,50495,8
31,AMD Ryzen 9 7900 12-Core Processor,12,5507,50266,12
32,AMD Ryzen 9 7900 12-Core Processor,8,6363,49758,8
33,AMD Ryzen 9 7900 12-Core Processor,6,6440,36866,6
34,AMD Ryzen 9 7900 12-Core Processor,6,6430,36697,6
35,AMD Ryzen 9 7900 12-Core Processor,6,6510,36664,6
36,AMD Ryzen 9 7900 12-Core Processor,6,6350,36475,6
37,AMD Ryzen 9 7900 12-Core Processor,6,6445,36454,6
38,AMD Ryzen 9 7900 12-Core Processor,6,6229,36270,6
39,AMD Ryzen 9 7900 12-Core Processor,6,6163,36130,6
40,AMD Ryzen 9 7900 12-Core Processor,6,6060,34613,6
41,AMD Ryzen 9 7900 12-Core Processor,6,5996,34598,6
42,AMD Ryzen 9 7900 12-Core Processor,6,6031,34562,6
43,AMD Ryzen 9 7900 12-Core Processor,6,5950,34342,6
44,AMD Ryzen 9 7900 12-Core Processor,6,5984,34228,6
45,AMD Ryzen 9 7900 12-Core Processor,6,6130,34095,6
46,AMD Ryzen 9 7900 12-Core Processor,6,6086,33814,6
47,AMD Ryzen 9 7900 12-Core Processor,6,5864,33742,6
48,AMD Ryzen 9 7900 12-Core Processor,6,5792,33642,6
49,AMD Ryzen 9 7900 12-Core Processor,6,6064,33589,6
50,AMD Ryzen 9 7900 12-Core Processor,6,5924,33282,6
51,AMD Ryzen 9 7900 12-Core Processor,6,5760,33228,6
52,AMD Ryzen 9 7900 12-Core Processor,6,6006,33168,6
53,AMD Ryzen 9 7900 12-Core Processor,6,5784,32905,6
54,AMD Ryzen 9 7900 12-Core Processor,6,5802,32878,6
55,AMD Ryzen 9 7900 12-Core Processor,6,5947,32742,6
56,AMD Ryzen 9 7900 12-Core Processor,6,5649,32545,6
57,AMD Ryzen 9 7900 12-Core Processor,6,5699,32506,6
58,AMD Ryzen 9 7900 12-Core Processor,6,5729,32277,6
59,AMD Ryzen 9 7900 12-Core Processor,6,5608,32032,6
60,AMD Ryzen 9 7900 12-Core Processor,6,5459,31970,6
61,AMD Ryzen 9 7900 12-Core Processor,6,5335,31892,6
62,AMD Ryzen 9 7900 12-Core Processor,32,5666,31839,32
63,AMD Ryzen 9 7900 12-Core Processor,6,5541,31761,6
64,AMD Ryzen 9 7900 12-Core Processor,6,6079,31719,6
65,AMD Ryzen 9 7900 12-Core Processor,6,5609,31716,6
66,AMD Ryzen 9 7900 12-Core Processor,6,5377,31398,6
67,AMD Ryzen 9 7900 12-Core Processor,6,6301,31315,6
68,AMD Ryzen 9 7900 12-Core Processor,6,5516,30981,6
69,AMD Ryzen 9 7900 12-Core Processor,6,5434,30917,6
70,AMD Ryzen 9 7900 12-Core Processor,6,5844,30860,6
71,AMD Ryzen 9 7900 12-Core Processor,6,5667,30578,6
72,AMD Ryzen 9 7900 12-Core Processor,6,6016,30094,6
73,AMD Ryzen 9 7900 12-Core Processor,5,6015,28933,5
74,AMD Ryzen 9 7900 12-Core Processor,6,5136,27036,6
75,AMD Ryzen 9 7900 12-Core Processor,4,6637,26406,4
76,AMD Ryzen 9 7900 12-Core Processor,4,6697,26276,4
77,AMD Ryzen 9 7900 12-Core Processor,4,6512,25755,4
78,AMD Ryzen 9 7900 12-Core Processor,4,6472,25418,4
79,AMD Ryzen 9 7900 12-Core Processor,4,6454,25296,4
80,AMD Ryzen 9 7900 12-Core Processor,4,6231,24752,4
81,AMD Ryzen 9 7900 12-Core Processor,4,6038,24637,4
82,AMD Ryzen 9 7900 12-Core Processor,4,6141,24462,4
83,AMD Ryzen 9 7900 12-Core Processor,4,5949,24357,4
84,AMD Ryzen 9 7900 12-Core Processor,4,6158,24080,4
85,AMD Ryzen 9 7900 12-Core Processor,6,5530,23995,6
86,AMD Ryzen 9 7900 12-Core Processor,4,6189,23686,4
87,AMD Ryzen 9 7900 12-Core Processor,4,6168,23546,4
88,AMD Ryzen 9 7900 12-Core Processor,4,5995,23256,4
89,AMD Ryzen 9 7900 12-Core Processor,4,5788,23241,4
90,AMD Ryzen 9 7900 12-Core Processor,4,6098,23160,4
91,AMD Ryzen 9 7900 12-Core Processor,4,5980,23075,4
92,AMD Ryzen 9 7900 12-Core Processor,4,6019,22958,4
93,AMD Ryzen 9 7900 12-Core Processor,4,5966,22862,4
94,AMD Ryzen 9 7900 12-Core Processor,4,5731,22823,4
95,AMD Ryzen 9 7900 12-Core Processor,4,5766,22816,4
96,AMD Ryzen 9 7900 12-Core Processor,4,5752,22761,4
97,AMD Ryzen 9 7900 12-Core Processor,4,5759,22714,4
98,AMD Ryzen 9 7900 12-Core Processor,4,5843,22691,4
99,AMD Ryzen 9 7900 12-Core Processor,4,5827,22690,4
100,AMD Ryzen 9 7900 12-Core Processor,4,5711,22668,4
101,AMD Ryzen 9 7900 12-Core Processor,4,5776,22630,4
102,AMD Ryzen 9 7900 12-Core Processor,4,5701,22605,4
103,AMD Ryzen 9 7900 12-Core Processor,4,5702,22602,4
104,AMD Ryzen 9 7900 12-Core Processor,4,5748,22580,4
105,AMD Ryzen 9 7900 12-Core Processor,4,5644,22562,4
106,AMD Ryzen 9 7900 12-Core Processor,4,5886,22526,4
107,AMD Ryzen 9 7900 12-Core Processor,4,5793,22378,4
108,AMD Ryzen 9 7900 12-Core Processor,240,5902,22311,240
109,AMD Ryzen 9 7900 12-Core Processor,4,6557,22249,4
110,AMD Ryzen 9 7900 12-Core Processor,4,5791,22112,4
111,AMD Ryzen 9 7900 12-Core Processor,4,5718,22048,4
112,AMD Ryzen 9 7900 12-Core Processor,4,5532,21787,4
113,AMD Ryzen 9 7900 12-Core Processor,4,5804,21630,4
114,AMD Ryzen 9 7900 12-Core Processor,4,5488,21602,4
115,AMD Ryzen 9 7900 12-Core Processor,4,5744,21396,4
116,AMD Ryzen 9 7900 12-Core Processor,4,5642,21226,4
117,AMD Ryzen 9 7900 12-Core Processor,4,5555,20971,4
118,AMD Ryzen 9 7900 12-Core Processor,4,5540,20237,4
119,AMD Ryzen 9 7900 12-Core Processor,4,5765,19225,4
120,AMD Ryzen 9 7900 12-Core Processor,4,5688,19118,4
121,AMD Ryzen 9 7900 12-Core Processor,8,3158,19090,8
122,AMD Ryzen 9 7900 12-Core Processor,4,5509,18985,4
123,AMD Ryzen 9 7900 12-Core Processor,3,6287,18880,3
124,AMD Ryzen 9 7900 12-Core Processor,4,5299,18657,4
