排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Ryzen Threadripper 3960X 24-Core Processor,14,2099,4060,14
2,AMD Ryzen Threadripper 3960X 24-Core Processor,2,2098,4154,2
3,AMD Ryzen Threadripper 3960X 24-Core Processor,2,2096,4189,2
4,AMD Ryzen Threadripper 3960X 24-Core Processor,36,2088,51315,36
5,AMD Ryzen Threadripper 3960X 24-Core Processor,2,2071,4124,2
6,AMD Ryzen Threadripper 3960X 24-Core Processor,2,2066,4061,2
7,AMD Ryzen Threadripper 3960X 24-Core Processor,2,2055,4103,2
8,AMD Ryzen Threadripper 3960X 24-Core Processor,2,2051,4066,2
9,AMD Ryzen Threadripper 3960X 24-Core Processor,2,2048,4074,2
10,AMD Ryzen Threadripper 3960X 24-Core Processor,2,2047,4049,2
11,AMD Ryzen Threadripper 3960X 24-Core Processor,2,2046,4060,2
12,AMD Ryzen Threadripper 3960X 24-Core Processor,2,2038,3999,2
13,AMD Ryzen Threadripper 3960X 24-Core Processor,2,2038,4023,2
14,AMD Ryzen Threadripper 3960X 24-Core Processor,2,2037,4003,2
15,AMD Ryzen Threadripper 3960X 24-Core Processor,2,2036,3976,2
16,AMD Ryzen Threadripper 3960X 24-Core Processor,2,2030,4043,2
17,AMD Ryzen Threadripper 3960X 24-Core Processor,2,2030,4005,2
18,AMD Ryzen Threadripper 3960X 24-Core Processor,2,2027,4005,2
19,AMD Ryzen Threadripper 3960X 24-Core Processor,2,2025,3991,2
20,AMD Ryzen Threadripper 3960X 24-Core Processor,2,2021,3937,2
21,AMD Ryzen Threadripper 3960X 24-Core Processor,2,2020,3996,2
22,AMD Ryzen Threadripper 3960X 24-Core Processor,2,2019,3978,2
23,AMD Ryzen Threadripper 3960X 24-Core Processor,2,2016,4010,2
24,AMD Ryzen Threadripper 3960X 24-Core Processor,2,2015,3978,2
25,AMD Ryzen Threadripper 3960X 24-Core Processor,2,2013,3988,2
26,AMD Ryzen Threadripper 3960X 24-Core Processor,2,2011,3089,2
27,AMD Ryzen Threadripper 3960X 24-Core Processor,2,2010,3983,2
28,AMD Ryzen Threadripper 3960X 24-Core Processor,2,2006,4045,2
29,AMD Ryzen Threadripper 3960X 24-Core Processor,2,2003,3907,2
30,AMD Ryzen Threadripper 3960X 24-Core Processor,2,2003,3994,2
31,AMD Ryzen Threadripper 3960X 24-Core Processor,2,2002,3878,2
32,AMD Ryzen Threadripper 3960X 24-Core Processor,2,1999,3464,2
33,AMD Ryzen Threadripper 3960X 24-Core Processor,2,1996,3799,2
34,AMD Ryzen Threadripper 3960X 24-Core Processor,2,1990,2117,2
35,AMD Ryzen Threadripper 3960X 24-Core Processor,2,1988,3930,2
36,AMD Ryzen Threadripper 3960X 24-Core Processor,2,1986,3935,2
37,AMD Ryzen Threadripper 3960X 24-Core Processor,2,1985,3770,2
38,AMD Ryzen Threadripper 3960X 24-Core Processor,2,1979,3956,2
39,AMD Ryzen Threadripper 3960X 24-Core Processor,2,1946,3889,2
40,AMD Ryzen Threadripper 3960X 24-Core Processor,2,1909,3664,2
