排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Cortex-A55 Cortex-A76,8,2464,13920,8
2,Cortex-A55 Cortex-A76,8,2604,13857,8
3,Cortex-A55 Cortex-A76,8,2586,13836,8
4,Cortex-A55 Cortex-A76,8,2599,13767,8
5,Cortex-A55 Cortex-A76,8,2551,13767,8
6,Cortex-A55 Cortex-A76,8,2537,13704,8
7,Cortex-A55 Cortex-A76,8,2566,13701,8
8,Cortex-A55 Cortex-A76,8,2552,13675,8
9,Cortex-A55 Cortex-A76,8,2544,13377,8
10,Cortex-A55 Cortex-A76,8,2442,13031,8
11,Cortex-A55 Cortex-A76,8,2496,12938,8
12,Cortex-A55 Cortex-A76,8,2569,12315,8
13,Cortex-A55 Cortex-A76,8,2549,11817,8
14,Cortex-A55 Cortex-A76,8,2383,9635,8
15,Cortex-A55 Cortex-A76,8,2369,9516,8
16,Cortex-A55 Cortex-A76,8,2338,8992,8
17,Cortex-A55 Cortex-A76,8,2464,8458,8
18,Cortex-A55 Cortex-A76,8,913,5237,8
19,Cortex-A55 Cortex-A76,8,438,2508,8
