排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Atom(TM) CPU N2800 @ 1.86GHz,1,109,277,4
2,Intel(R) Atom(TM) CPU N2800 @ 1.86GHz,1,108,277,4
3,Intel(R) Atom(TM) CPU N2800 @ 1.86GHz,1,108,276,4
4,Intel(R) Atom(TM) CPU N2800 @ 1.86GHz,1,108,276,4
5,Intel(R) Atom(TM) CPU N2800 @ 1.86GHz,1,107,276,4
6,Intel(R) Atom(TM) CPU N2800 @ 1.86GHz,1,105,273,4
7,Intel(R) Atom(TM) CPU N2800 @ 1.86GHz,1,108,270,4
8,Intel(R) Atom(TM) CPU N2800 @ 1.86GHz,4,105,270,4
9,Intel(R) Atom(TM) CPU N2800 @ 1.86GHz,4,108,269,4
10,Intel(R) Atom(TM) CPU N2800 @ 1.86GHz,1,107,269,4
11,Intel(R) Atom(TM) CPU N2800 @ 1.86GHz,1,109,267,4
12,Intel(R) Atom(TM) CPU N2800 @ 1.86GHz,4,103,265,4
13,Intel(R) Atom(TM) CPU N2800 @ 1.86GHz,1,107,260,4
14,Intel(R) Atom(TM) CPU N2800 @ 1.86GHz,4,95,96,4
15,Intel(R) Atom(TM) CPU N2800 @ 1.86GHz,4,90,88,4
16,Intel(R) Atom(TM) CPU N2800 @ 1.86GHz,4,63,63,4
17,Intel(R) Atom(TM) CPU N2800 @ 1.86GHz,4,66,63,4
