排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,1,1716,19225,16
2,Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,16,1682,22036,16
3,Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,1,1680,17817,16
4,Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,1,1673,19977,16
5,Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,1,1649,20134,16
6,Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,1,1628,19260,16
7,Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,2,1587,3178,2
8,Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,2,1565,3098,2
9,Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,2,1565,3088,2
10,Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,2,1246,2167,2
11,Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,2,1135,2282,2
12,Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,16,1133,2264,16
13,Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,16,1119,1817,16
14,Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,2,1095,2132,2
15,Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,1,794,8016,16
16,Intel(R) Core(TM) i9-9900K CPU @ 3.60GHz,16,714,1286,16
