排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Pentium(R) Silver N6000 @ 1.10GHz,1,2035,7578,4
2,Intel(R) Pentium(R) Silver N6000 @ 1.10GHz,4,2034,4035,4
3,Intel(R) Pentium(R) Silver N6000 @ 1.10GHz,1,2033,7613,4
4,Intel(R) Pentium(R) Silver N6000 @ 1.10GHz,4,2031,4039,4
5,Intel(R) Pentium(R) Silver N6000 @ 1.10GHz,4,2031,4023,4
6,Intel(R) Pentium(R) Silver N6000 @ 1.10GHz,4,2029,4016,4
7,Intel(R) Pentium(R) Silver N6000 @ 1.10GHz,4,2029,4023,4
8,Intel(R) Pentium(R) Silver N6000 @ 1.10GHz,1,2027,7606,4
9,Intel(R) Pentium(R) Silver N6000 @ 1.10GHz,4,2022,7499,4
10,Intel(R) Pentium(R) Silver N6000 @ 1.10GHz,4,2016,4013,4
11,Intel(R) Pentium(R) Silver N6000 @ 1.10GHz,4,2007,4003,4
12,Intel(R) Pentium(R) Silver N6000 @ 1.10GHz,1,1995,7465,4
13,Intel(R) Pentium(R) Silver N6000 @ 1.10GHz,1,1936,7446,4
14,Intel(R) Pentium(R) Silver N6000 @ 1.10GHz,4,1909,7239,4
