排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,32,808,18642,32
2,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,783,1562,2
3,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,777,9362,16
4,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,1,763,762,8
5,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,4,756,2294,4
6,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,4,754,2936,4
7,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,734,1446,2
8,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,16,721,10542,16
9,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,719,1390,2
10,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,4,714,2783,4
11,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,12,687,7370,12
12,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,671,1273,2
13,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,12,664,7337,12
14,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,659,1413,2
15,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,654,1293,2
16,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,653,1400,2
17,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,649,1295,2
18,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,12,623,7272,12
19,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,2,588,1214,2
20,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,4,580,2704,4
21,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,24,531,9008,24
22,Intel(R) Xeon(R) CPU E5-2620 v4 @ 2.10GHz,12,432,7066,12
