排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,1,848,8564,16
2,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,2,840,16985,32
3,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,2,823,16957,32
4,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,1,784,8677,16
5,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,1,784,8680,16
6,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,2,784,17386,32
7,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,2,781,16637,32
8,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,2,773,17136,32
9,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,2,771,17231,32
10,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,32,764,17263,32
11,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,32,755,16398,32
12,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,2,749,16940,32
13,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,2,740,16744,32
14,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,2,728,16676,32
15,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,8,717,5554,8
16,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,32,714,15814,32
17,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,2,709,15786,32
18,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,4,702,2800,4
19,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,6,676,3797,6
20,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,2,670,1324,2
21,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,6,661,3803,6
22,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,32,652,16314,32
23,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,2,652,1313,2
24,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,2,650,1265,2
25,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,16,613,7236,16
26,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,4,587,1904,4
27,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,2,582,1179,2
28,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,2,581,1093,2
29,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,2,544,1056,2
30,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,2,542,1003,2
31,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,2,530,597,2
32,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,16,529,7022,16
33,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,2,520,931,2
34,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,2,505,913,2
35,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,2,498,675,2
36,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,6,480,1379,6
37,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,2,461,1015,2
38,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,2,382,972,2
39,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,4,380,1292,4
40,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,2,371,1031,2
41,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,2,361,897,2
42,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,4,338,1221,4
43,Intel(R) Xeon(R) CPU E5-2650 0 @ 2.00GHz,4,289,1064,4
