排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,656,17335,40
2,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,585,1122,2
3,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,581,1166,2
4,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,577,1176,2
5,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,574,17705,40
6,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,1,573,8843,20
7,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,1,558,8810,20
8,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,557,1036,2
9,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,1,556,8800,20
10,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,540,15511,40
11,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,539,15576,40
12,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,539,15555,40
13,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,538,15485,40
14,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,522,16320,40
15,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,8,519,3995,8
16,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,514,1009,2
17,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,513,1030,2
18,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,500,490,2
19,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,477,9540,20
20,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,477,9540,20
21,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,477,9500,20
22,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,477,9516,20
23,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,477,15899,40
24,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,40,476,15861,40
25,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,476,485,2
26,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,476,9514,20
27,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,476,9505,20
28,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,476,9493,20
29,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,476,9498,20
30,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,475,15817,40
31,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,475,15813,40
32,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,472,15786,40
33,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,471,9342,20
34,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,471,15173,40
35,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,468,939,2
36,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,466,938,2
37,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,20,457,7934,20
38,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,457,913,2
39,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,4,449,1798,4
40,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,336,6702,20
41,Intel(R) Xeon(R) CPU E5-2650L v2 @ 1.70GHz,2,336,6710,20
