排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,1095,60997,72
2,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,1095,60882,72
3,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,1090,52020,72
4,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,72,1091,52009,72
5,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,1089,51961,72
6,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,801,50485,72
7,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,1066,49749,72
8,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,1215,49571,72
9,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,1209,49536,72
10,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,1189,49252,72
11,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,1220,48916,72
12,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,1143,48422,72
13,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,1224,46792,72
14,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,1031,46522,72
15,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,1099,45293,72
16,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,72,895,45075,72
17,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,873,44447,72
18,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,834,35080,72
19,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,1,1102,30022,36
20,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,1,1095,29805,36
21,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,1,1086,28888,36
22,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,1,1096,28868,36
23,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,1,1094,28867,36
24,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,32,993,28234,32
25,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,1,1085,26081,36
26,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,32,990,25469,32
27,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,32,871,25123,32
28,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,32,994,25114,32
29,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,1,1217,24916,36
30,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,615,22539,72
31,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,1,1065,14970,20
32,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,16,1066,14853,16
33,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,16,902,14390,16
34,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,16,890,14253,16
35,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,16,907,14175,16
36,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,16,787,11802,16
37,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,1,346,11121,36
38,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,12,801,9573,12
39,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,8,1097,8765,8
40,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,12,704,7861,12
41,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,8,897,7008,8
42,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,8,939,6729,8
43,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,8,825,6571,8
44,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,8,807,6455,8
45,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,8,804,6401,8
46,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,8,726,5267,8
47,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,4,1091,4359,4
48,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,4,1072,3935,4
49,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,4,1035,3892,4
50,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,4,1073,3873,4
51,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,4,952,3828,4
52,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,4,964,3810,4
53,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,4,1013,3762,4
54,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,4,1014,3761,4
55,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,4,990,3680,4
56,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,4,939,3623,4
57,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,4,921,3603,4
58,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,4,959,3529,4
59,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,4,806,3182,4
60,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,4,773,3122,4
61,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,4,828,3105,4
62,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,4,699,2688,4
63,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,4,601,2515,4
64,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,4,621,2507,4
65,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,4,455,2363,4
66,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,1095,2156,2
67,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,4,379,1883,4
68,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,870,1705,2
69,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,891,1698,2
70,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,805,1652,2
71,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,821,1617,2
72,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,843,1570,2
73,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,786,1540,2
74,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,778,1532,2
75,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,773,1528,2
76,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,797,1510,2
77,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,836,1508,2
78,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,798,1497,2
79,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,690,1318,2
80,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,515,1249,2
81,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,527,1188,2
82,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,740,1048,2
83,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,435,992,2
84,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,658,699,2
85,Intel(R) Xeon(R) CPU E5-2696 v3 @ 2.30GHz,2,730,679,2
