排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,871,1680,2
2,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,869,1596,2
3,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,866,1657,2
4,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,858,1617,2
5,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,842,1678,2
6,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,16,812,12810,16
7,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,4,806,3225,4
8,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,795,1578,2
9,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,8,793,6245,8
10,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,789,1544,2
11,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,786,1529,2
12,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,4,785,3113,4
13,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,88,785,54414,88
14,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,88,784,54292,88
15,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,88,784,53673,88
16,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,88,784,54637,88
17,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,88,784,54581,88
18,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,784,1526,2
19,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,88,783,53220,88
20,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,782,1588,2
21,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,780,1568,2
22,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,779,1556,2
23,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,776,1507,2
24,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,774,1517,2
25,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,8,770,6112,8
26,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,768,1500,2
27,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,768,1536,2
28,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,4,764,3022,4
29,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,764,1509,2
30,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,763,1536,2
31,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,12,763,9083,12
32,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,762,1505,2
33,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,4,761,3039,4
34,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,761,1523,2
35,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,761,1526,2
36,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,4,760,3016,4
37,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,760,1502,2
38,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,760,1534,2
39,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,4,760,3033,4
40,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,759,1522,2
41,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,759,1511,2
42,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,4,758,3052,4
43,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,757,1526,2
44,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,757,1510,2
45,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,757,1522,2
46,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,757,1495,2
47,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,4,756,3057,4
48,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,756,1501,2
49,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,756,1512,2
50,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,756,1494,2
51,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,4,755,3031,4
52,Intel(R) Xeon(R) CPU E5-2699C v4 @ 2.20GHz,2,754,1479,2
