排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,2,819,8652,16
2,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,2,817,8641,16
3,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,2,819,8639,16
4,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,2,819,8629,16
5,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,2,814,8625,16
6,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,2,814,8615,16
7,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,2,814,8612,16
8,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,2,815,8579,16
9,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,16,847,8502,16
10,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,16,803,8275,16
11,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,16,801,8246,16
12,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,2,749,8148,16
13,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,16,768,8124,16
14,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,2,546,5760,16
15,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,2,536,5753,16
16,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,16,541,5750,16
17,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,2,523,5471,16
18,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,4,615,2392,4
19,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,4,617,2359,4
20,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,2,603,1190,2
21,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,16,673,682,16
22,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,16,640,636,16
23,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,16,710,570,16
24,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,16,135,142,16
25,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,16,144,141,16
26,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,16,138,141,16
27,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,16,141,140,16
28,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,16,129,129,16
29,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,16,117,123,16
30,Intel(R) Xeon(R) CPU E5520 @ 2.27GHz,16,123,121,16
