排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,66,995,50654,66
2,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,96,992,84976,96
3,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,975,3829,4
4,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,972,3822,4
5,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,969,3770,4
6,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,2,968,1877,2
7,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,966,3751,4
8,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,2,966,1877,2
9,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,963,3738,4
10,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,962,2775,3
11,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,2,960,1907,2
12,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,960,3637,4
13,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,960,2810,3
14,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,955,2787,3
15,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,954,2893,3
16,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,952,2786,3
17,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,950,2736,3
18,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,950,2925,3
19,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,2,948,1764,2
20,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,948,3783,4
21,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,947,2871,3
22,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,947,2812,3
23,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,946,3656,4
24,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,945,2768,3
25,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,2,943,1830,2
26,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,943,3440,4
27,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,941,2807,3
28,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,940,2803,3
29,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,939,2777,3
30,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,939,2809,3
31,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,936,3652,4
32,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,935,3553,4
33,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,935,3551,4
34,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,935,2768,3
35,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,934,2538,3
36,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,932,2049,3
37,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,931,3670,4
38,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,930,2658,3
39,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,930,2775,3
40,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,2,928,1694,2
41,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,2,928,1756,2
42,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,928,2751,3
43,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,928,2827,4
44,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,927,2684,3
45,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,926,2723,3
46,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,926,2813,3
47,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,2,924,1807,2
48,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,2,924,1790,2
49,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,921,2797,3
50,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,921,2702,3
51,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,2,921,1834,2
52,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,921,2681,3
53,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,921,2727,3
54,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,919,2663,3
55,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,918,2755,3
56,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,917,3284,4
57,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,916,2696,3
58,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,2,915,1753,2
59,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,2,915,1820,2
60,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,915,2694,3
61,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,2,913,1778,2
62,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,2,912,1752,2
63,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,912,2734,3
64,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,912,2745,3
65,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,2,911,1741,2
66,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,2,910,1736,2
67,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,910,2702,3
68,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,4,909,3148,4
69,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,909,2632,3
70,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,2,909,1811,2
71,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,2,908,1869,2
72,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,2,907,1782,2
73,Intel(R) Xeon(R) Gold 5220R CPU @ 2.20GHz,3,906,2706,3
