排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,2,1366,91103,96
2,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,8,1249,9803,8
3,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,8,1222,9775,8
4,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,8,1225,9768,8
5,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,8,1219,9756,8
6,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,8,1182,9440,8
7,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,8,1180,9439,8
8,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,8,1185,9433,8
9,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,8,1181,9401,8
10,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,8,1183,9365,8
11,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,8,1182,9357,8
12,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,8,1184,9343,8
13,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,8,1184,9315,8
14,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,8,1179,9305,8
15,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,8,1177,9269,8
16,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,8,1174,9239,8
17,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,8,1185,9223,8
18,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,8,1166,9174,8
19,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,8,1116,9146,8
20,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,8,1156,8917,8
21,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,8,1177,8768,8
22,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,8,1116,8498,8
23,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,8,1132,8458,8
24,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,8,1025,8021,8
25,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,96,1213,7944,96
26,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,8,1218,4865,8
27,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,4,1220,4862,4
28,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,4,1213,4838,4
29,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,4,1201,4771,4
30,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,4,1198,4744,4
31,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,4,1209,4728,4
32,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,4,1168,4643,4
33,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,4,1172,4124,4
34,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,4,1174,3602,4
35,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,4,1176,3326,4
36,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,4,1184,3272,4
37,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,2,1197,2375,2
38,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,2,1016,1913,2
39,Intel(R) Xeon(R) Gold 6248R CPU @ 3.00GHz,8,37,225,8
