排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Gold 6267C CPU @ 2.60GHz,2,1043,2065,2
2,Intel(R) Xeon(R) Gold 6267C CPU @ 2.60GHz,8,1042,7008,8
3,Intel(R) Xeon(R) Gold 6267C CPU @ 2.60GHz,8,1039,7159,8
4,Intel(R) Xeon(R) Gold 6267C CPU @ 2.60GHz,2,1033,2038,2
5,Intel(R) Xeon(R) Gold 6267C CPU @ 2.60GHz,4,1023,3698,4
6,Intel(R) Xeon(R) Gold 6267C CPU @ 2.60GHz,2,1015,2007,2
7,Intel(R) Xeon(R) Gold 6267C CPU @ 2.60GHz,4,1011,3737,4
8,Intel(R) Xeon(R) Gold 6267C CPU @ 2.60GHz,2,1010,1908,2
9,Intel(R) Xeon(R) Gold 6267C CPU @ 2.60GHz,4,1007,3980,4
10,Intel(R) Xeon(R) Gold 6267C CPU @ 2.60GHz,4,988,3903,4
11,Intel(R) Xeon(R) Gold 6267C CPU @ 2.60GHz,2,948,1807,2
12,Intel(R) Xeon(R) Gold 6267C CPU @ 2.60GHz,2,930,1533,2
