排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,40,1006,27399,40
2,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,2,822,25536,40
3,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,2,821,25381,40
4,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,20,997,16381,20
5,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,20,893,14710,20
6,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,8,1008,8001,8
7,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,8,1002,7999,8
8,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,20,930,7108,20
9,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,4,1008,4024,4
10,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,4,958,3824,4
11,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,4,966,3804,4
12,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,4,935,3761,4
13,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,20,934,3738,20
14,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,20,930,3698,20
15,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,4,906,3523,4
16,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,4,758,3084,4
17,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,4,741,2851,4
18,Intel(R) Xeon(R) Silver 4210R CPU @ 2.40GHz,2,936,1817,2
