排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,"Intel Core Processor (Skylake, IBRS)",4,4056,15523,4
2,"Intel Core Processor (Skylake, IBRS)",2,3339,6596,2
3,"Intel Core Processor (Skylake, IBRS)",2,3214,3291,2
4,"Intel Core Processor (Skylake, IBRS)",2,3098,6151,2
5,"Intel Core Processor (Skylake, IBRS)",3,2691,7973,3
6,"Intel Core Processor (Skylake, IBRS)",2,2651,5272,2
7,"Intel Core Processor (Skylake, IBRS)",12,2643,21416,12
8,"Intel Core Processor (Skylake, IBRS)",2,1606,3204,2
9,"Intel Core Processor (Skylake, IBRS)",2,1602,3122,2
10,"Intel Core Processor (Skylake, IBRS)",2,1599,3143,2
11,"Intel Core Processor (Skylake, IBRS)",3,1597,4763,3
12,"Intel Core Processor (Skylake, IBRS)",2,1580,3104,2
13,"Intel Core Processor (Skylake, IBRS)",4,1578,6124,4
14,"Intel Core Processor (Skylake, IBRS)",2,1573,3081,2
15,"Intel Core Processor (Skylake, IBRS)",2,1561,3109,2
16,"Intel Core Processor (Skylake, IBRS)",2,1505,3004,2
17,"Intel Core Processor (Skylake, IBRS)",2,1499,2986,2
18,"Intel Core Processor (Skylake, IBRS)",2,1485,2887,2
19,"Intel Core Processor (Skylake, IBRS)",3,1466,4287,3
20,"Intel Core Processor (Skylake, IBRS)",2,1411,2820,2
21,"Intel Core Processor (Skylake, IBRS)",4,1408,4884,4
22,"Intel Core Processor (Skylake, IBRS)",2,1403,2713,2
23,"Intel Core Processor (Skylake, IBRS)",4,1401,5667,4
24,"Intel Core Processor (Skylake, IBRS)",4,1392,5632,4
25,"Intel Core Processor (Skylake, IBRS)",4,1392,5619,4
26,"Intel Core Processor (Skylake, IBRS)",6,1391,8010,6
27,"Intel Core Processor (Skylake, IBRS)",4,1385,5273,4
28,"Intel Core Processor (Skylake, IBRS)",4,1370,3699,4
29,"Intel Core Processor (Skylake, IBRS)",6,1365,7009,6
30,"Intel Core Processor (Skylake, IBRS)",2,1314,2615,2
31,"Intel Core Processor (Skylake, IBRS)",2,1296,2478,2
32,"Intel Core Processor (Skylake, IBRS)",2,1291,2514,2
33,"Intel Core Processor (Skylake, IBRS)",3,1278,3807,3
34,"Intel Core Processor (Skylake, IBRS)",2,1278,2335,2
35,"Intel Core Processor (Skylake, IBRS)",8,1269,8438,8
36,"Intel Core Processor (Skylake, IBRS)",4,1269,4773,4
37,"Intel Core Processor (Skylake, IBRS)",3,1268,3805,3
38,"Intel Core Processor (Skylake, IBRS)",2,1255,2336,2
39,"Intel Core Processor (Skylake, IBRS)",3,1250,3785,3
40,"Intel Core Processor (Skylake, IBRS)",2,1237,2084,2
41,"Intel Core Processor (Skylake, IBRS)",2,1237,2436,2
42,"Intel Core Processor (Skylake, IBRS)",2,1232,2263,2
43,"Intel Core Processor (Skylake, IBRS)",2,1226,1681,2
44,"Intel Core Processor (Skylake, IBRS)",2,1224,2452,2
45,"Intel Core Processor (Skylake, IBRS)",2,1222,2509,2
46,"Intel Core Processor (Skylake, IBRS)",2,1219,2249,2
47,"Intel Core Processor (Skylake, IBRS)",4,1218,4860,4
48,"Intel Core Processor (Skylake, IBRS)",2,1194,2195,2
49,"Intel Core Processor (Skylake, IBRS)",2,1180,2335,2
50,"Intel Core Processor (Skylake, IBRS)",2,1168,2135,2
51,"Intel Core Processor (Skylake, IBRS)",2,1143,2143,2
52,"Intel Core Processor (Skylake, IBRS)",2,1126,2093,2
53,"Intel Core Processor (Skylake, IBRS)",2,1121,2197,2
54,"Intel Core Processor (Skylake, IBRS)",3,1113,2699,3
55,"Intel Core Processor (Skylake, IBRS)",2,1063,1960,2
56,"Intel Core Processor (Skylake, IBRS)",3,1038,2966,3
57,"Intel Core Processor (Skylake, IBRS)",4,1019,3746,4
58,"Intel Core Processor (Skylake, IBRS)",2,996,1912,2
59,"Intel Core Processor (Skylake, IBRS)",32,991,26317,32
60,"Intel Core Processor (Skylake, IBRS)",2,991,2002,2
61,"Intel Core Processor (Skylake, IBRS)",2,934,1827,2
62,"Intel Core Processor (Skylake, IBRS)",2,920,1779,2
63,"Intel Core Processor (Skylake, IBRS)",2,913,1944,2
64,"Intel Core Processor (Skylake, IBRS)",2,910,1785,2
65,"Intel Core Processor (Skylake, IBRS)",2,865,1715,2
66,"Intel Core Processor (Skylake, IBRS)",2,858,1693,2
67,"Intel Core Processor (Skylake, IBRS)",2,857,1727,2
68,"Intel Core Processor (Skylake, IBRS)",2,853,1670,2
69,"Intel Core Processor (Skylake, IBRS)",2,852,1670,2
70,"Intel Core Processor (Skylake, IBRS)",2,851,1718,2
71,"Intel Core Processor (Skylake, IBRS)",2,850,1703,2
72,"Intel Core Processor (Skylake, IBRS)",2,847,1672,2
73,"Intel Core Processor (Skylake, IBRS)",2,836,1559,2
74,"Intel Core Processor (Skylake, IBRS)",3,836,2438,3
75,"Intel Core Processor (Skylake, IBRS)",3,832,2415,3
76,"Intel Core Processor (Skylake, IBRS)",2,807,1478,2
77,"Intel Core Processor (Skylake, IBRS)",3,807,2029,3
78,"Intel Core Processor (Skylake, IBRS)",3,770,1983,3
79,"Intel Core Processor (Skylake, IBRS)",10,764,4396,10
80,"Intel Core Processor (Skylake, IBRS)",2,758,1828,2
81,"Intel Core Processor (Skylake, IBRS)",3,757,2029,3
82,"Intel Core Processor (Skylake, IBRS)",10,747,4370,10
83,"Intel Core Processor (Skylake, IBRS)",10,738,2797,10
84,"Intel Core Processor (Skylake, IBRS)",3,723,2210,3
85,"Intel Core Processor (Skylake, IBRS)",3,721,2115,3
86,"Intel Core Processor (Skylake, IBRS)",3,713,1840,3
87,"Intel Core Processor (Skylake, IBRS)",10,710,3917,10
88,"Intel Core Processor (Skylake, IBRS)",3,705,2298,3
89,"Intel Core Processor (Skylake, IBRS)",3,696,1889,3
90,"Intel Core Processor (Skylake, IBRS)",2,656,1463,2
91,"Intel Core Processor (Skylake, IBRS)",3,653,1936,3
92,"Intel Core Processor (Skylake, IBRS)",16,619,1785,16
93,"Intel Core Processor (Skylake, IBRS)",16,601,2738,16
94,"Intel Core Processor (Skylake, IBRS)",10,565,2195,10
95,"Intel Core Processor (Skylake, IBRS)",10,548,1094,10
96,"Intel Core Processor (Skylake, IBRS)",2,429,851,2
97,"Intel Core Processor (Skylake, IBRS)",10,424,1645,10
98,"Intel Core Processor (Skylake, IBRS)",10,404,1214,10
99,"Intel Core Processor (Skylake, IBRS)",2,403,595,2
100,"Intel Core Processor (Skylake, IBRS)",3,384,1527,3
101,"Intel Core Processor (Skylake, IBRS)",10,340,1398,10
102,"Intel Core Processor (Skylake, IBRS)",10,255,926,10
103,"Intel Core Processor (Skylake, IBRS)",10,215,494,10
104,"Intel Core Processor (Skylake, IBRS)",10,174,850,10
