排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,Neoverse-N1 BIOS virt-rhel8.6.0 CPU @ 2.0GHz,10,3413,34162,10
2,Neoverse-N1 BIOS virt-rhel8.6.0 CPU @ 2.0GHz,10,3411,34108,10
3,Neoverse-N1 BIOS virt-rhel8.6.0 CPU @ 2.0GHz,6,3409,19859,6
4,Neoverse-N1 BIOS virt-rhel8.6.0 CPU @ 2.0GHz,2,3379,6754,2
5,Neoverse-N1 BIOS virt-rhel8.6.0 CPU @ 2.0GHz,2,3368,6786,2
6,Neoverse-N1 BIOS virt-rhel8.6.0 CPU @ 2.0GHz,4,3352,12825,4
7,Neoverse-N1 BIOS virt-rhel8.6.0 CPU @ 2.0GHz,8,3345,24548,8
8,Neoverse-N1 BIOS virt-rhel8.6.0 CPU @ 2.0GHz,2,3341,6652,2
9,Neoverse-N1 BIOS virt-rhel8.6.0 CPU @ 2.0GHz,2,3302,5068,2
10,Neoverse-N1 BIOS virt-rhel8.6.0 CPU @ 2.0GHz,2,3172,5002,2
11,Neoverse-N1 BIOS virt-rhel8.6.0 CPU @ 2.0GHz,2,3166,4632,2
12,Neoverse-N1 BIOS virt-rhel8.6.0 CPU @ 2.0GHz,4,2929,10865,4
