排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,1,3580,13720,8
2,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,1,3549,13714,8
3,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,1,3532,13703,8
4,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,1,3587,13577,8
5,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,8,3287,13536,8
6,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,1,3507,13490,8
7,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,8,3216,13435,8
8,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,1,3413,12790,8
9,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,8,3376,10296,8
10,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,4,3568,9938,4
11,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,1,1339,5751,8
12,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,1,1342,5745,8
13,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,1,1352,5743,8
14,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,1,1335,5722,8
15,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,1,1342,5674,8
16,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,2,3186,5660,2
