排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,12th Gen Intel(R) Core(TM) i3-12100,1,3509,14748,8
2,12th Gen Intel(R) Core(TM) i3-12100,1,3476,14743,8
3,12th Gen Intel(R) Core(TM) i3-12100,1,3540,14584,8
4,12th Gen Intel(R) Core(TM) i3-12100,4,3336,10472,4
5,12th Gen Intel(R) Core(TM) i3-12100,4,3408,9928,4
6,12th Gen Intel(R) Core(TM) i3-12100,4,3426,9781,4
7,12th Gen Intel(R) Core(TM) i3-12100,8,2667,9636,8
8,12th Gen Intel(R) Core(TM) i3-12100,2,3534,7055,2
9,12th Gen Intel(R) Core(TM) i3-12100,4,3272,6914,4
10,12th Gen Intel(R) Core(TM) i3-12100,4,2397,6755,4
11,12th Gen Intel(R) Core(TM) i3-12100,2,2783,5581,2
12,12th Gen Intel(R) Core(TM) i3-12100,2,2347,4947,2
13,12th Gen Intel(R) Core(TM) i3-12100,2,3610,3798,2
14,12th Gen Intel(R) Core(TM) i3-12100,2,3355,3549,2
