排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,12th Gen Intel(R) Core(TM) i5-12400F,1,3421,20574,12
2,12th Gen Intel(R) Core(TM) i5-12400F,12,3233,19809,12
3,12th Gen Intel(R) Core(TM) i5-12400F @ 2495.999 MHz,12,3153,19662,12
4,12th Gen Intel(R) Core(TM) i5-12400F,8,3359,16928,8
5,12th Gen Intel(R) Core(TM) i5-12400F,6,3439,15246,6
6,12th Gen Intel(R) Core(TM) i5-12400F,4,3413,12633,4
7,12th Gen Intel(R) Core(TM) i5-12400F,4,3403,12491,4
8,12th Gen Intel(R) Core(TM) i5-12400F,4,3463,12280,4
9,12th Gen Intel(R) Core(TM) i5-12400F,4,3587,11317,4
10,12th Gen Intel(R) Core(TM) i5-12400F,4,3587,11317,4
11,12th Gen Intel(R) Core(TM) i5-12400F,2,3591,7143,2
12,12th Gen Intel(R) Core(TM) i5-12400F,2,3367,6455,2
