排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,12th Gen Intel(R) Core(TM) i5-12500H,1,3867,37928,24
2,12th Gen Intel(R) Core(TM) i5-12500H,1,3863,37654,24
3,12th Gen Intel(R) Core(TM) i5-12500H,1,3669,3669,1
4,12th Gen Intel(R) Core(TM) i5-12500H,2,3618,7126,2
5,12th Gen Intel(R) Core(TM) i5-12500H,8,3587,22541,8
6,12th Gen Intel(R) Core(TM) i5-12500H,16,3546,37729,16
7,12th Gen Intel(R) Core(TM) i5-12500H,4,3355,12484,4
8,12th Gen Intel(R) Core(TM) i5-12500H,24,3226,12780,24
9,12th Gen Intel(R) Core(TM) i5-12500H,8,2763,22415,8
10,12th Gen Intel(R) Core(TM) i5-12500H,12,1546,16117,12
