排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,12th Gen Intel(R) Core(TM) i7-12700H,20,3376,46706,20
2,12th Gen Intel(R) Core(TM) i7-12700H @2688.008 MHz,20,3795,46171,20
3,12th Gen Intel(R) Core(TM) i7-12700H,20,3795,46140,20
4,12th Gen Intel(R) Core(TM) i7-12700H @2688.010 MHz,20,3611,42237,20
5,12th Gen Intel(R) Core(TM) i7-12700H @2688.008 MHz,20,3597,41895,20
6,12th Gen Intel(R) Core(TM) i7-12700H @2688.008 MHz,20,3536,40749,20
7,12th Gen Intel(R) Core(TM) i7-12700H,20,3305,40009,20
8,12th Gen Intel(R) Core(TM) i7-12700H,16,3427,39737,16
9,12th Gen Intel(R) Core(TM) i7-12700H @2044.702 MHz,20,3471,37065,20
10,12th Gen Intel(R) Core(TM) i7-12700H,8,3417,23906,8
11,12th Gen Intel(R) Core(TM) i7-12700H,20,3008,23482,20
12,12th Gen Intel(R) Core(TM) i7-12700H,4,3746,13803,4
13,12th Gen Intel(R) Core(TM) i7-12700H,4,3742,13778,4
14,12th Gen Intel(R) Core(TM) i7-12700H,8,1878,12789,8
15,12th Gen Intel(R) Core(TM) i7-12700H,8,1067,10965,8
16,12th Gen Intel(R) Core(TM) i7-12700H,4,1963,7157,4
17,12th Gen Intel(R) Core(TM) i7-12700H,2,1965,3913,2
