排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,12th Gen Intel(R) Core(TM) i9-12900HX,24,4180,55101,24
2,12th Gen Intel(R) Core(TM) i9-12900HX,24,3596,51587,24
3,12th Gen Intel(R) Core(TM) i9-12900HX,24,3905,47711,24
4,12th Gen Intel(R) Core(TM) i9-12900HX,8,3524,26226,8
5,12th Gen Intel(R) Core(TM) i9-12900HX,8,3981,25310,8
6,12th Gen Intel(R) Core(TM) i9-12900HX,6,3586,21318,6
7,12th Gen Intel(R) Core(TM) i9-12900HX,6,3596,21222,6
8,12th Gen Intel(R) Core(TM) i9-12900HX,4,4097,15337,4
9,12th Gen Intel(R) Core(TM) i9-12900HX,4,3592,13777,4
10,12th Gen Intel(R) Core(TM) i9-12900HX,4,3509,13271,4
11,12th Gen Intel(R) Core(TM) i9-12900HX,4,3921,8321,4
12,12th Gen Intel(R) Core(TM) i9-12900HX,4,3861,8302,4
13,12th Gen Intel(R) Core(TM) i9-12900HX,1,3548,3548,1
