排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,13th Gen Intel(R) Core(TM) i5-13500,1,4130,50198,28
2,13th Gen Intel(R) Core(TM) i5-13500,1,4126,50164,28
3,13th Gen Intel(R) Core(TM) i5-13500,1,4122,50283,28
4,13th Gen Intel(R) Core(TM) i5-13500,1,4119,50258,28
5,13th Gen Intel(R) Core(TM) i5-13500,1,4111,37363,14
6,13th Gen Intel(R) Core(TM) i5-13500 @ 800.000 MHz,20,4107,50083,20
7,13th Gen Intel(R) Core(TM) i5-13500,1,4099,50045,28
8,13th Gen Intel(R) Core(TM) i5-13500,1,4096,50024,28
9,13th Gen Intel(R) Core(TM) i5-13500,1,4096,50041,28
10,13th Gen Intel(R) Core(TM) i5-13500,1,4096,50041,28
11,13th Gen Intel(R) Core(TM) i5-13500,1,4091,50053,28
12,13th Gen Intel(R) Core(TM) i5-13500,1,4090,50033,28
13,13th Gen Intel(R) Core(TM) i5-13500,1,4087,50047,28
14,13th Gen Intel(R) Core(TM) i5-13500,1,4086,49757,28
15,13th Gen Intel(R) Core(TM) i5-13500,1,4084,46739,28
16,13th Gen Intel(R) Core(TM) i5-13500,1,4084,46739,28
17,13th Gen Intel(R) Core(TM) i5-13500,1,4047,49998,28
18,13th Gen Intel(R) Core(TM) i5-13500,1,4016,48346,28
19,13th Gen Intel(R) Core(TM) i5-13500,1,3990,50003,28
20,13th Gen Intel(R) Core(TM) i5-13500,8,3978,28907,8
21,13th Gen Intel(R) Core(TM) i5-13500,4,3879,15331,4
22,13th Gen Intel(R) Core(TM) i5-13500,1,3837,49738,28
23,13th Gen Intel(R) Core(TM) i5-13500,8,3192,24116,8
