排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,13th Gen Intel(R) Core(TM) i5-13600KF,4,4511,18137,4
2,13th Gen Intel(R) Core(TM) i5-13600KF,8,4329,18132,8
3,13th Gen Intel(R) Core(TM) i5-13600KF,20,4300,58274,20
4,13th Gen Intel(R) Core(TM) i5-13600KF,20,4292,57487,20
5,13th Gen Intel(R) Core(TM) i5-13600KF,28,4288,54946,28
6,13th Gen Intel(R) Core(TM) i5-13600KF,2,4250,8520,2
7,13th Gen Intel(R) Core(TM) i5-13600KF,20,4245,50884,20
8,13th Gen Intel(R) Core(TM) i5-13600KF,16,4241,47383,16
9,13th Gen Intel(R) Core(TM) i5-13600KF,28,4088,56369,28
10,13th Gen Intel(R) Core(TM) i5-13600KF,2,3566,7252,2
