排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,13th Gen Intel(R) Core(TM) i9-13900K @3000.000 MHz,32,5069,102720,32
2,13th Gen Intel(R) Core(TM) i9-13900K,1,5001,5001,1
3,13th Gen Intel(R) Core(TM) i9-13900K,32,4851,103276,32
4,13th Gen Intel(R) Core(TM) i9-13900K,32,4743,103413,32
5,13th Gen Intel(R) Core(TM) i9-13900K,1,4737,107734,48
6,13th Gen Intel(R) Core(TM) i9-13900K,1,4736,104640,48
7,13th Gen Intel(R) Core(TM) i9-13900K,4,4714,18810,4
8,13th Gen Intel(R) Core(TM) i9-13900K,2,4696,9399,2
9,13th Gen Intel(R) Core(TM) i9-13900K,2,4687,5228,2
10,13th Gen Intel(R) Core(TM) i9-13900K,8,4655,30038,8
11,13th Gen Intel(R) Core(TM) i9-13900K,1,4630,96152,48
12,13th Gen Intel(R) Core(TM) i9-13900K,3,4581,13063,3
13,13th Gen Intel(R) Core(TM) i9-13900K,32,4557,99035,32
14,13th Gen Intel(R) Core(TM) i9-13900K,4,4553,18255,4
15,13th Gen Intel(R) Core(TM) i9-13900K,8,4547,36927,8
16,13th Gen Intel(R) Core(TM) i9-13900K,8,4544,34275,8
17,13th Gen Intel(R) Core(TM) i9-13900K,32,4445,103212,32
18,13th Gen Intel(R) Core(TM) i9-13900K,32,4276,107569,32
19,13th Gen Intel(R) Core(TM) i9-13900K,8,4216,33574,8
