排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD Athlon(tm) II X4 640 Processor,1,809,3233,4
2,AMD Athlon(tm) II X4 640 Processor,1,808,3228,4
3,AMD Athlon(tm) II X4 640 Processor,4,264,264,4
4,AMD Athlon(tm) II X4 640 Processor,4,262,261,4
5,AMD Athlon(tm) II X4 640 Processor,4,260,259,4
6,AMD Athlon(tm) II X4 640 Processor,4,249,251,4
7,AMD Athlon(tm) II X4 640 Processor,4,244,244,4
8,AMD Athlon(tm) II X4 640 Processor,4,240,256,4
9,AMD Athlon(tm) II X4 640 Processor,4,234,223,4
10,AMD Athlon(tm) II X4 640 Processor,4,227,236,4
11,AMD Athlon(tm) II X4 640 Processor,4,222,237,4
12,AMD Athlon(tm) II X4 640 Processor,4,215,182,4
13,AMD Athlon(tm) II X4 640 Processor,4,211,211,4
14,AMD Athlon(tm) II X4 640 Processor,4,198,197,4
15,AMD Athlon(tm) II X4 640 Processor,4,179,183,4
16,AMD Athlon(tm) II X4 640 Processor,4,158,216,4
