排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC-Genoa Processor,16,4131,65387,16
2,AMD EPYC-Genoa Processor,16,5492,60715,16
3,AMD EPYC-Genoa Processor,16,5800,59363,16
4,AMD EPYC-Genoa Processor,16,5776,58534,16
5,AMD EPYC-Genoa Processor,16,5455,57434,16
6,AMD EPYC-Genoa Processor,16,5453,57145,16
7,AMD EPYC-Genoa Processor,16,5303,49310,16
8,AMD EPYC-Genoa Processor,12,3970,41497,12
9,AMD EPYC-Genoa Processor,16,4899,40724,16
10,AMD EPYC-Genoa Processor,8,5480,40412,8
11,AMD EPYC-Genoa Processor,8,5541,36426,8
12,AMD EPYC-Genoa Processor,8,4249,33911,8
13,AMD EPYC-Genoa Processor,8,4248,33901,8
14,AMD EPYC-Genoa Processor,8,4260,33566,8
15,AMD EPYC-Genoa Processor,8,4249,33028,8
16,AMD EPYC-Genoa Processor,4,6329,24539,4
17,AMD EPYC-Genoa Processor,4,6447,24286,4
18,AMD EPYC-Genoa Processor,4,5485,21768,4
19,AMD EPYC-Genoa Processor,4,5243,21433,4
20,AMD EPYC-Genoa Processor,4,5316,19543,4
21,AMD EPYC-Genoa Processor,4,4812,19466,4
22,AMD EPYC-Genoa Processor,4,4547,19361,4
23,AMD EPYC-Genoa Processor,4,4231,16851,4
24,AMD EPYC-Genoa Processor,4,4261,16851,4
25,AMD EPYC-Genoa Processor,4,4223,16804,4
26,AMD EPYC-Genoa Processor,4,4165,16749,4
27,AMD EPYC-Genoa Processor,4,4178,16735,4
28,AMD EPYC-Genoa Processor,4,4215,16619,4
29,AMD EPYC-Genoa Processor,6,2758,16546,6
30,AMD EPYC-Genoa Processor,6,2768,16538,6
31,AMD EPYC-Genoa Processor,6,2750,16506,6
32,AMD EPYC-Genoa Processor,6,2750,16503,6
33,AMD EPYC-Genoa Processor,6,2750,16501,6
34,AMD EPYC-Genoa Processor,6,2751,16481,6
35,AMD EPYC-Genoa Processor,6,2752,16415,6
36,AMD EPYC-Genoa Processor,6,2708,16335,6
37,AMD EPYC-Genoa Processor,6,2741,16303,6
38,AMD EPYC-Genoa Processor,6,2713,16163,6
39,AMD EPYC-Genoa Processor,6,2738,16088,6
40,AMD EPYC-Genoa Processor,2,6131,12008,2
41,AMD EPYC-Genoa Processor,2,5582,11462,2
42,AMD EPYC-Genoa Processor,2,6004,11442,2
43,AMD EPYC-Genoa Processor,2,5714,11221,2
44,AMD EPYC-Genoa Processor,2,5445,11173,2
45,AMD EPYC-Genoa Processor,2,5622,11125,2
46,AMD EPYC-Genoa Processor,2,5554,11042,2
47,AMD EPYC-Genoa Processor,4,2728,10947,4
48,AMD EPYC-Genoa Processor,2,5539,10936,2
49,AMD EPYC-Genoa Processor,2,5371,10729,2
50,AMD EPYC-Genoa Processor,2,5357,10710,2
51,AMD EPYC-Genoa Processor,2,5323,10612,2
52,AMD EPYC-Genoa Processor,2,5147,10561,2
53,AMD EPYC-Genoa Processor,2,5312,10556,2
54,AMD EPYC-Genoa Processor,2,5187,10133,2
55,AMD EPYC-Genoa Processor,2,5181,9875,2
56,AMD EPYC-Genoa Processor,4,4329,9428,4
57,AMD EPYC-Genoa Processor,2,5277,9282,2
58,AMD EPYC-Genoa Processor,2,4509,8972,2
59,AMD EPYC-Genoa Processor,2,4262,8534,2
60,AMD EPYC-Genoa Processor,2,4253,8514,2
61,AMD EPYC-Genoa Processor,2,4257,8464,2
62,AMD EPYC-Genoa Processor,4,1633,6546,4
63,AMD EPYC-Genoa Processor,4,1641,6430,4
64,AMD EPYC-Genoa Processor,2,2742,5454,2
65,AMD EPYC-Genoa Processor,2,1651,3304,2
66,AMD EPYC-Genoa Processor,2,1652,3303,2
67,AMD EPYC-Genoa Processor,2,1652,3303,2
68,AMD EPYC-Genoa Processor,2,1654,3301,2
69,AMD EPYC-Genoa Processor,2,1651,3298,2
70,AMD EPYC-Genoa Processor,2,1651,3298,2
71,AMD EPYC-Genoa Processor,2,1646,3297,2
72,AMD EPYC-Genoa Processor,2,1645,3297,2
73,AMD EPYC-Genoa Processor,2,1651,3296,2
74,AMD EPYC-Genoa Processor,2,1647,3295,2
75,AMD EPYC-Genoa Processor,2,1645,3293,2
76,AMD EPYC-Genoa Processor,2,1649,3293,2
77,AMD EPYC-Genoa Processor,2,1647,3293,2
78,AMD EPYC-Genoa Processor,2,1647,3293,2
79,AMD EPYC-Genoa Processor,2,1649,3292,2
80,AMD EPYC-Genoa Processor,2,1648,3291,2
81,AMD EPYC-Genoa Processor,2,1653,3290,2
82,AMD EPYC-Genoa Processor,2,1645,3290,2
83,AMD EPYC-Genoa Processor,2,1642,3290,2
84,AMD EPYC-Genoa Processor,2,1642,3289,2
85,AMD EPYC-Genoa Processor,2,1646,3289,2
86,AMD EPYC-Genoa Processor,2,1640,3288,2
