排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC-Milan Processor,4,7000,27173,4
2,AMD EPYC-Milan Processor,4,6993,27111,4
3,AMD EPYC-Milan Processor,4,6942,27334,4
4,AMD EPYC-Milan Processor,4,6934,27389,4
5,AMD EPYC-Milan Processor,4,6933,26760,4
6,AMD EPYC-Milan Processor,4,6926,26968,4
7,AMD EPYC-Milan Processor,4,6904,26597,4
8,AMD EPYC-Milan Processor,2,6900,13402,2
9,AMD EPYC-Milan Processor,2,6899,13312,2
10,AMD EPYC-Milan Processor,2,6897,13598,2
11,AMD EPYC-Milan Processor,4,6893,27145,4
12,AMD EPYC-Milan Processor,2,6890,13601,2
13,AMD EPYC-Milan Processor,2,6871,13216,2
14,AMD EPYC-Milan Processor,2,6852,13615,2
15,AMD EPYC-Milan Processor,2,6845,13628,2
16,AMD EPYC-Milan Processor,2,6842,13442,2
17,AMD EPYC-Milan Processor,2,6834,13178,2
18,AMD EPYC-Milan Processor,4,6832,26454,4
19,AMD EPYC-Milan Processor,4,6814,26417,4
20,AMD EPYC-Milan Processor,2,6808,13359,2
21,AMD EPYC-Milan Processor,4,6805,27559,4
22,AMD EPYC-Milan Processor,2,6792,13181,2
23,AMD EPYC-Milan Processor,2,6792,13340,2
24,AMD EPYC-Milan Processor,4,6786,27467,4
25,AMD EPYC-Milan Processor,2,6785,13300,2
26,AMD EPYC-Milan Processor,2,6777,12921,2
27,AMD EPYC-Milan Processor,16,6774,100486,16
28,AMD EPYC-Milan Processor,2,6771,13233,2
29,AMD EPYC-Milan Processor,2,6770,13242,2
30,AMD EPYC-Milan Processor,2,6763,13388,2
31,AMD EPYC-Milan Processor,4,6758,26588,4
32,AMD EPYC-Milan Processor,2,6755,13362,2
33,AMD EPYC-Milan Processor,4,6746,27119,4
34,AMD EPYC-Milan Processor,2,6745,13298,2
35,AMD EPYC-Milan Processor,4,6742,26260,4
36,AMD EPYC-Milan Processor,2,6740,13553,2
37,AMD EPYC-Milan Processor,2,6739,13192,2
38,AMD EPYC-Milan Processor,2,6735,10581,2
39,AMD EPYC-Milan Processor,2,6724,13119,2
40,AMD EPYC-Milan Processor,4,6723,26188,4
41,AMD EPYC-Milan Processor,2,6722,13700,2
42,AMD EPYC-Milan Processor,4,6720,25778,4
43,AMD EPYC-Milan Processor,2,6719,13667,2
44,AMD EPYC-Milan Processor,4,6718,27097,4
45,AMD EPYC-Milan Processor,4,6717,26136,4
46,AMD EPYC-Milan Processor,2,6716,13148,2
47,AMD EPYC-Milan Processor,2,6712,13600,2
48,AMD EPYC-Milan Processor,4,6711,25597,4
49,AMD EPYC-Milan Processor,2,6707,13323,2
50,AMD EPYC-Milan Processor,4,6704,27071,4
51,AMD EPYC-Milan Processor,2,6703,13520,2
52,AMD EPYC-Milan Processor,2,6702,13301,2
53,AMD EPYC-Milan Processor,4,6700,26356,4
54,AMD EPYC-Milan Processor,2,6693,13107,2
55,AMD EPYC-Milan Processor,2,6693,12932,2
56,AMD EPYC-Milan Processor,2,6692,13211,2
57,AMD EPYC-Milan Processor,2,6691,13049,2
58,AMD EPYC-Milan Processor,2,6690,13159,2
59,AMD EPYC-Milan Processor,2,6687,13159,2
60,AMD EPYC-Milan Processor,2,6686,13323,2
61,AMD EPYC-Milan Processor,2,6685,13591,2
62,AMD EPYC-Milan Processor,4,6685,25508,4
63,AMD EPYC-Milan Processor,2,6683,13417,2
64,AMD EPYC-Milan Processor,2,6681,13503,2
65,AMD EPYC-Milan Processor,4,6676,26835,4
66,AMD EPYC-Milan Processor,4,6675,25818,4
67,AMD EPYC-Milan Processor,2,6674,13210,2
68,AMD EPYC-Milan Processor,2,6665,13252,2
69,AMD EPYC-Milan Processor,2,6653,13229,2
70,AMD EPYC-Milan Processor,2,6651,13321,2
71,AMD EPYC-Milan Processor,2,6639,12877,2
72,AMD EPYC-Milan Processor,4,6634,27087,4
73,AMD EPYC-Milan Processor,4,6623,26586,4
74,AMD EPYC-Milan Processor,2,6621,13327,2
