排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC-Rome-v4 Processor (no XSAVES),16,1555,21593,16
2,AMD EPYC-Rome-v4 Processor (no XSAVES) @2445.404 MHz,2,3360,6768,2
3,AMD EPYC-Rome-v4 Processor (no XSAVES),4,1629,6514,4
4,AMD EPYC-Rome-v4 Processor (no XSAVES) @ 2595.122 MHz,4,1620,6473,4
5,AMD EPYC-Rome-v4 Processor (no XSAVES) @ 2595.122 MHz,2,1623,3242,2
6,AMD EPYC-Rome-v4 Processor (no XSAVES) @ 2595.122 MHz,2,1617,3190,2
7,AMD EPYC-Rome-v4 Processor (no XSAVES),2,1545,3090,2
8,AMD EPYC-Rome-v4 Processor (no XSAVES),2,1552,3053,2
9,AMD EPYC-Rome-v4 Processor (no XSAVES),2,1557,3005,2
10,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1625,1625,1
11,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1620,1620,1
12,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1620,1620,1
13,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1619,1619,1
14,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1618,1618,1
15,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1618,1618,1
16,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1618,1618,1
17,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1617,1617,1
18,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1617,1617,1
19,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1616,1616,1
20,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1615,1615,1
21,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1615,1615,1
22,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1614,1614,1
23,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1614,1614,1
24,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1613,1613,1
25,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1613,1613,1
26,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1610,1610,1
27,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1608,1608,1
28,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1607,1607,1
29,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1606,1606,1
30,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1602,1602,1
31,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1602,1602,1
32,AMD EPYC-Rome-v4 Processor (no XSAVES) @2595.122 MHz,1,1602,1602,1
33,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1599,1599,1
34,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1597,1597,1
35,AMD EPYC-Rome-v4 Processor (no XSAVES) @ 2595.122 MHz,1,1596,1596,1
36,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1592,1592,1
37,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1589,1589,1
38,AMD EPYC-Rome-v4 Processor (no XSAVES) @ 2595.122 MHz,1,1583,1583,1
39,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1581,1581,1
40,AMD EPYC-Rome-v4 Processor (no XSAVES) @2595.122 MHz,1,1581,1581,1
41,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1574,1574,1
42,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1573,1573,1
43,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1571,1571,1
44,AMD EPYC-Rome-v4 Processor (no XSAVES) @ 2595.122 MHz,1,1564,1564,1
45,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1560,1560,1
46,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1556,1556,1
47,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1554,1554,1
48,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1550,1550,1
49,AMD EPYC-Rome-v4 Processor (no XSAVES),1,1537,1537,1
