排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC-Rome Processor,1,5888,5888,1
2,AMD EPYC-Rome Processor,4,5474,20372,4
3,AMD EPYC-Rome Processor,4,5460,20514,4
4,AMD EPYC-Rome Processor,4,5372,19925,4
5,AMD EPYC-Rome Processor,4,5341,20356,4
6,AMD EPYC-Rome Processor,1,5286,5286,1
7,AMD EPYC-Rome Processor,4,5285,20966,4
8,AMD EPYC-Rome Processor,4,5263,20237,4
9,AMD EPYC-Rome Processor,1,5262,5262,1
10,AMD EPYC-Rome Processor,4,5256,20288,4
11,AMD EPYC-Rome Processor,2,5243,10173,2
12,AMD EPYC-Rome Processor,1,5165,5165,1
13,AMD EPYC-Rome Processor,1,5163,5163,1
14,AMD EPYC-Rome Processor,1,5162,5162,1
15,AMD EPYC-Rome Processor,1,5160,5160,1
16,AMD EPYC-Rome Processor,4,5146,20192,4
17,AMD EPYC-Rome Processor,1,5135,5135,1
18,AMD EPYC-Rome Processor,1,5124,5124,1
19,AMD EPYC-Rome Processor,4,5117,19962,4
20,AMD EPYC-Rome Processor,2,5109,10112,2
21,AMD EPYC-Rome Processor,1,5092,5092,1
22,AMD EPYC-Rome Processor,4,5082,19886,4
23,AMD EPYC-Rome Processor,1,5076,5076,1
24,AMD EPYC-Rome Processor,4,5076,19846,4
25,AMD EPYC-Rome Processor,1,5074,5074,1
26,AMD EPYC-Rome Processor,4,5069,19632,4
27,AMD EPYC-Rome Processor,1,5068,5068,1
28,AMD EPYC-Rome Processor,1,5055,5055,1
29,AMD EPYC-Rome Processor,1,5033,5033,1
30,AMD EPYC-Rome Processor,1,5022,5022,1
31,AMD EPYC-Rome Processor,1,5019,5019,1
32,AMD EPYC-Rome Processor,1,5019,5019,1
33,AMD EPYC-Rome Processor,1,5014,5014,1
34,AMD EPYC-Rome Processor,1,5005,5005,1
35,AMD EPYC-Rome Processor,4,5000,18680,4
36,AMD EPYC-Rome Processor,4,4997,18955,4
37,AMD EPYC-Rome Processor,1,4995,4995,1
38,AMD EPYC-Rome Processor,4,4990,19702,4
39,AMD EPYC-Rome Processor,4,4987,19612,4
40,AMD EPYC-Rome Processor,1,4977,4977,1
41,AMD EPYC-Rome Processor,1,4962,4962,1
42,AMD EPYC-Rome Processor,1,4960,4960,1
43,AMD EPYC-Rome Processor,1,4957,4957,1
44,AMD EPYC-Rome Processor,1,4951,4951,1
45,AMD EPYC-Rome Processor,1,4945,4945,1
46,AMD EPYC-Rome Processor,1,4942,4942,1
47,AMD EPYC-Rome Processor,4,4925,19095,4
48,AMD EPYC-Rome Processor,1,4922,4922,1
49,AMD EPYC-Rome Processor,1,4912,4912,1
50,AMD EPYC-Rome Processor,1,4910,4910,1
