排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC 7302P 16-Core Processor,32,1606,27266,32
2,AMD EPYC 7302P 16-Core Processor,32,1599,26711,32
3,AMD EPYC 7302P 16-Core Processor,32,1600,26535,32
4,AMD EPYC 7302P 16-Core Processor,16,1643,25683,16
5,AMD EPYC 7302P 16-Core Processor,24,1591,25614,24
6,AMD EPYC 7302P 16-Core Processor,32,1602,25027,32
7,AMD EPYC 7302P 16-Core Processor,32,1633,24259,32
8,AMD EPYC 7302P 16-Core Processor,16,1623,23515,16
9,AMD EPYC 7302P 16-Core Processor,16,1618,21364,16
10,AMD EPYC 7302P 16-Core Processor,4,1624,6221,4
11,AMD EPYC 7302P 16-Core Processor,4,1621,5260,4
12,AMD EPYC 7302P 16-Core Processor,2,1612,3217,2
13,AMD EPYC 7302P 16-Core Processor,2,1621,3209,2
14,AMD EPYC 7302P 16-Core Processor,2,1602,3129,2
15,AMD EPYC 7302P 16-Core Processor,2,1627,2802,2
16,AMD EPYC 7302P 16-Core Processor,1,1632,1632,1
17,AMD EPYC 7302P 16-Core Processor,1,1629,1629,1
18,AMD EPYC 7302P 16-Core Processor,32,1632,1629,32
19,AMD EPYC 7302P 16-Core Processor,32,1632,1628,32
20,AMD EPYC 7302P 16-Core Processor,1,1627,1627,1
21,AMD EPYC 7302P 16-Core Processor,1,1627,1627,1
22,AMD EPYC 7302P 16-Core Processor,1,1624,1624,1
23,AMD EPYC 7302P 16-Core Processor,1,1622,1622,1
24,AMD EPYC 7302P 16-Core Processor,1,1621,1621,1
25,AMD EPYC 7302P 16-Core Processor @2999.998 MHz,1,1620,1620,1
26,AMD EPYC 7302P 16-Core Processor,1,1620,1620,1
27,AMD EPYC 7302P 16-Core Processor,1,1618,1618,1
28,AMD EPYC 7302P 16-Core Processor,1,1618,1618,1
29,AMD EPYC 7302P 16-Core Processor,1,1614,1614,1
30,AMD EPYC 7302P 16-Core Processor @2999.998 MHz,1,1613,1613,1
31,AMD EPYC 7302P 16-Core Processor,1,1610,1610,1
32,AMD EPYC 7302P 16-Core Processor,1,1609,1609,1
33,AMD EPYC 7302P 16-Core Processor,1,1607,1607,1
34,AMD EPYC 7302P 16-Core Processor,1,1604,1604,1
35,AMD EPYC 7302P 16-Core Processor,1,1603,1603,1
36,AMD EPYC 7302P 16-Core Processor,1,1597,1597,1
37,AMD EPYC 7302P 16-Core Processor,1,1588,1588,1
38,AMD EPYC 7302P 16-Core Processor,1,1588,1588,1
39,AMD EPYC 7302P 16-Core Processor,1,1587,1587,1
40,AMD EPYC 7302P 16-Core Processor,1,1586,1586,1
41,AMD EPYC 7302P 16-Core Processor,1,1580,1580,1
42,AMD EPYC 7302P 16-Core Processor,1,1577,1577,1
43,AMD EPYC 7302P 16-Core Processor,1,1575,1575,1
44,AMD EPYC 7302P 16-Core Processor,1,1574,1574,1
45,AMD EPYC 7302P 16-Core Processor,1,1569,1569,1
46,AMD EPYC 7302P 16-Core Processor,1,1566,1566,1
47,AMD EPYC 7302P 16-Core Processor,1,1560,1560,1
48,AMD EPYC 7302P 16-Core Processor,1,1560,1560,1
49,AMD EPYC 7302P 16-Core Processor,1,1556,1556,1
50,AMD EPYC 7302P 16-Core Processor,1,1555,1555,1
51,AMD EPYC 7302P 16-Core Processor,1,1554,1554,1
52,AMD EPYC 7302P 16-Core Processor,1,1546,1546,1
53,AMD EPYC 7302P 16-Core Processor,1,1541,1541,1
54,AMD EPYC 7302P 16-Core Processor,1,1540,1540,1
55,AMD EPYC 7302P 16-Core Processor,1,1538,1538,1
56,AMD EPYC 7302P 16-Core Processor,1,1528,1528,1
57,AMD EPYC 7302P 16-Core Processor,1,1526,1526,1
58,AMD EPYC 7302P 16-Core Processor,1,1523,1523,1
59,AMD EPYC 7302P 16-Core Processor,1,1517,1517,1
60,AMD EPYC 7302P 16-Core Processor,1,1502,1502,1
61,AMD EPYC 7302P 16-Core Processor,1,1499,1499,1
62,AMD EPYC 7302P 16-Core Processor,1,1496,1496,1
63,AMD EPYC 7302P 16-Core Processor,1,1493,1493,1
64,AMD EPYC 7302P 16-Core Processor @2999.998 MHz,1,1478,1478,1
65,AMD EPYC 7302P 16-Core Processor,1,1472,1472,1
66,AMD EPYC 7302P 16-Core Processor @ 2999.998 MHz,1,1468,1468,1
67,AMD EPYC 7302P 16-Core Processor,1,1442,1442,1
68,AMD EPYC 7302P 16-Core Processor,1,1431,1431,1
69,AMD EPYC 7302P 16-Core Processor,1,1423,1423,1
70,AMD EPYC 7302P 16-Core Processor,1,1378,1378,1
71,AMD EPYC 7302P 16-Core Processor,1,1346,1346,1
72,AMD EPYC 7302P 16-Core Processor @2999.998 MHz,1,1292,1292,1
73,AMD EPYC 7302P 16-Core Processor,1,1218,1218,1
74,AMD EPYC 7302P 16-Core Processor @2999.998 MHz,1,1180,1180,1
75,AMD EPYC 7302P 16-Core Processor,1,1097,1097,1
76,AMD EPYC 7302P 16-Core Processor @2999.998 MHz,1,1045,1045,1
77,AMD EPYC 7302P 16-Core Processor @2999.998 MHz,1,1045,1045,1
