排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC 7452 32-Core Processor,2,1654,3274,2
2,AMD EPYC 7452 32-Core Processor,2,1654,3280,2
3,AMD EPYC 7452 32-Core Processor,2,1652,3296,2
4,AMD EPYC 7452 32-Core Processor,2,1650,3249,2
5,AMD EPYC 7452 32-Core Processor,2,1649,3287,2
6,AMD EPYC 7452 32-Core Processor,2,1648,3208,2
7,AMD EPYC 7452 32-Core Processor,2,1646,3262,2
8,AMD EPYC 7452 32-Core Processor,2,1644,3242,2
9,AMD EPYC 7452 32-Core Processor,2,1644,3225,2
10,AMD EPYC 7452 32-Core Processor,2,1643,3222,2
11,AMD EPYC 7452 32-Core Processor,2,1642,3266,2
12,AMD EPYC 7452 32-Core Processor,4,1641,6533,4
13,AMD EPYC 7452 32-Core Processor,4,1641,6450,4
14,AMD EPYC 7452 32-Core Processor,2,1641,3221,2
15,AMD EPYC 7452 32-Core Processor,2,1640,3214,2
16,AMD EPYC 7452 32-Core Processor,2,1640,3242,2
17,AMD EPYC 7452 32-Core Processor,2,1640,3191,2
18,AMD EPYC 7452 32-Core Processor,2,1640,3266,2
19,AMD EPYC 7452 32-Core Processor,2,1639,3273,2
20,AMD EPYC 7452 32-Core Processor,2,1639,3254,2
21,AMD EPYC 7452 32-Core Processor,4,1638,6547,4
22,AMD EPYC 7452 32-Core Processor,4,1638,3363,4
23,AMD EPYC 7452 32-Core Processor,2,1638,3196,2
24,AMD EPYC 7452 32-Core Processor,2,1638,3266,2
25,AMD EPYC 7452 32-Core Processor,2,1637,3246,2
26,AMD EPYC 7452 32-Core Processor,4,1636,6408,4
27,AMD EPYC 7452 32-Core Processor,2,1636,3201,2
28,AMD EPYC 7452 32-Core Processor,4,1636,6361,4
29,AMD EPYC 7452 32-Core Processor,2,1636,3206,2
30,AMD EPYC 7452 32-Core Processor,2,1634,3243,2
31,AMD EPYC 7452 32-Core Processor,2,1634,3189,2
32,AMD EPYC 7452 32-Core Processor,2,1634,3147,2
33,AMD EPYC 7452 32-Core Processor,2,1634,3082,2
34,AMD EPYC 7452 32-Core Processor,2,1633,3153,2
35,AMD EPYC 7452 32-Core Processor,2,1633,3257,2
36,AMD EPYC 7452 32-Core Processor,2,1632,3169,2
37,AMD EPYC 7452 32-Core Processor,2,1632,3183,2
38,AMD EPYC 7452 32-Core Processor,4,1632,6537,4
39,AMD EPYC 7452 32-Core Processor,2,1632,3279,2
40,AMD EPYC 7452 32-Core Processor,2,1632,3166,2
41,AMD EPYC 7452 32-Core Processor,2,1631,3202,2
42,AMD EPYC 7452 32-Core Processor,2,1631,3173,2
43,AMD EPYC 7452 32-Core Processor,4,1631,6473,4
44,AMD EPYC 7452 32-Core Processor,2,1630,3225,2
45,AMD EPYC 7452 32-Core Processor,8,1630,12973,8
46,AMD EPYC 7452 32-Core Processor,4,1629,6557,4
47,AMD EPYC 7452 32-Core Processor,4,1628,6401,4
48,AMD EPYC 7452 32-Core Processor,4,1628,6466,4
49,AMD EPYC 7452 32-Core Processor,4,1628,6500,4
50,AMD EPYC 7452 32-Core Processor,2,1628,3236,2
51,AMD EPYC 7452 32-Core Processor,2,1628,3229,2
52,AMD EPYC 7452 32-Core Processor,2,1628,3271,2
53,AMD EPYC 7452 32-Core Processor,2,1628,3230,2
54,AMD EPYC 7452 32-Core Processor,2,1627,3161,2
55,AMD EPYC 7452 32-Core Processor,2,1627,3249,2
56,AMD EPYC 7452 32-Core Processor,4,1627,6410,4
57,AMD EPYC 7452 32-Core Processor,2,1627,3255,2
58,AMD EPYC 7452 32-Core Processor,2,1624,3172,2
59,AMD EPYC 7452 32-Core Processor,2,1624,3175,2
60,AMD EPYC 7452 32-Core Processor,2,1623,3195,2
61,AMD EPYC 7452 32-Core Processor,2,1623,3009,2
62,AMD EPYC 7452 32-Core Processor,4,1623,6435,4
63,AMD EPYC 7452 32-Core Processor,2,1622,3145,2
64,AMD EPYC 7452 32-Core Processor,2,1622,3257,2
65,AMD EPYC 7452 32-Core Processor,2,1621,3225,2
66,AMD EPYC 7452 32-Core Processor,4,1621,6453,4
67,AMD EPYC 7452 32-Core Processor,2,1620,3174,2
68,AMD EPYC 7452 32-Core Processor,4,1620,6088,4
69,AMD EPYC 7452 32-Core Processor,2,1619,3251,2
70,AMD EPYC 7452 32-Core Processor,2,1619,3261,2
71,AMD EPYC 7452 32-Core Processor,2,1619,3212,2
72,AMD EPYC 7452 32-Core Processor,2,1619,3079,2
73,AMD EPYC 7452 32-Core Processor,4,1618,5413,4
74,AMD EPYC 7452 32-Core Processor,2,1618,3045,2
75,AMD EPYC 7452 32-Core Processor,4,1617,6518,4
76,AMD EPYC 7452 32-Core Processor,4,1616,6436,4
77,AMD EPYC 7452 32-Core Processor,2,1616,3175,2
78,AMD EPYC 7452 32-Core Processor,2,1615,3258,2
79,AMD EPYC 7452 32-Core Processor,2,1615,3220,2
80,AMD EPYC 7452 32-Core Processor,3,1615,4836,3
81,AMD EPYC 7452 32-Core Processor,4,1613,6258,4
82,AMD EPYC 7452 32-Core Processor,6,1613,9557,6
83,AMD EPYC 7452 32-Core Processor,5,1610,7963,5
84,AMD EPYC 7452 32-Core Processor,4,1610,4915,4
85,AMD EPYC 7452 32-Core Processor,2,1609,3201,2
86,AMD EPYC 7452 32-Core Processor,2,1609,3199,2
87,AMD EPYC 7452 32-Core Processor,2,1608,3157,2
88,AMD EPYC 7452 32-Core Processor,2,1608,3221,2
89,AMD EPYC 7452 32-Core Processor,2,1607,3118,2
90,AMD EPYC 7452 32-Core Processor,2,1607,3160,2
91,AMD EPYC 7452 32-Core Processor,2,1606,3072,2
92,AMD EPYC 7452 32-Core Processor,4,1606,5210,4
93,AMD EPYC 7452 32-Core Processor,4,1605,4566,4
94,AMD EPYC 7452 32-Core Processor,2,1604,3209,2
95,AMD EPYC 7452 32-Core Processor,2,1604,3226,2
96,AMD EPYC 7452 32-Core Processor,2,1604,3181,2
97,AMD EPYC 7452 32-Core Processor,2,1603,3218,2
98,AMD EPYC 7452 32-Core Processor,4,1603,6297,4
99,AMD EPYC 7452 32-Core Processor,4,1602,6344,4
100,AMD EPYC 7452 32-Core Processor,6,1600,9476,6
101,AMD EPYC 7452 32-Core Processor,2,1600,2754,2
102,AMD EPYC 7452 32-Core Processor,2,1599,3122,2
103,AMD EPYC 7452 32-Core Processor,2,1599,3121,2
104,AMD EPYC 7452 32-Core Processor,2,1597,3177,2
105,AMD EPYC 7452 32-Core Processor,4,1596,5221,4
106,AMD EPYC 7452 32-Core Processor,2,1596,3175,2
107,AMD EPYC 7452 32-Core Processor,2,1596,2754,2
108,AMD EPYC 7452 32-Core Processor,4,1595,6338,4
109,AMD EPYC 7452 32-Core Processor,12,1594,18773,12
110,AMD EPYC 7452 32-Core Processor,2,1593,3103,2
111,AMD EPYC 7452 32-Core Processor,2,1593,3111,2
112,AMD EPYC 7452 32-Core Processor,4,1592,6242,4
113,AMD EPYC 7452 32-Core Processor,2,1592,3143,2
114,AMD EPYC 7452 32-Core Processor,4,1592,6304,4
115,AMD EPYC 7452 32-Core Processor,2,1591,3161,2
116,AMD EPYC 7452 32-Core Processor,2,1590,3123,2
117,AMD EPYC 7452 32-Core Processor,2,1590,3155,2
118,AMD EPYC 7452 32-Core Processor,2,1589,3139,2
119,AMD EPYC 7452 32-Core Processor,4,1588,6357,4
120,AMD EPYC 7452 32-Core Processor,3,1588,4773,3
121,AMD EPYC 7452 32-Core Processor,2,1588,3156,2
122,AMD EPYC 7452 32-Core Processor,2,1588,3112,2
123,AMD EPYC 7452 32-Core Processor,2,1587,3173,2
124,AMD EPYC 7452 32-Core Processor,2,1585,3134,2
125,AMD EPYC 7452 32-Core Processor,2,1585,3151,2
