排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC 7601 32-Core Processor,64,1554,44117,64
2,AMD EPYC 7601 32-Core Processor,64,1558,43632,64
3,AMD EPYC 7601 32-Core Processor,64,1288,41086,64
4,AMD EPYC 7601 32-Core Processor,44,1521,29409,44
5,AMD EPYC 7601 32-Core Processor,16,1522,20879,16
6,AMD EPYC 7601 32-Core Processor,16,1310,20735,16
7,AMD EPYC 7601 32-Core Processor,16,1538,20721,16
8,AMD EPYC 7601 32-Core Processor,16,1308,20637,16
9,AMD EPYC 7601 32-Core Processor,16,1306,20613,16
10,AMD EPYC 7601 32-Core Processor,16,1308,20557,16
11,AMD EPYC 7601 32-Core Processor,16,1301,20432,16
12,AMD EPYC 7601 32-Core Processor,16,1317,20389,16
13,AMD EPYC 7601 32-Core Processor,16,1513,20112,16
14,AMD EPYC 7601 32-Core Processor,16,1300,19704,16
15,AMD EPYC 7601 32-Core Processor,16,1297,19636,16
16,AMD EPYC 7601 32-Core Processor,16,1480,19632,16
17,AMD EPYC 7601 32-Core Processor,16,1298,18378,16
18,AMD EPYC 7601 32-Core Processor,16,1290,16323,16
19,AMD EPYC 7601 32-Core Processor,16,1274,16127,16
20,AMD EPYC 7601 32-Core Processor,16,1287,14883,16
21,AMD EPYC 7601 32-Core Processor,8,1562,11649,8
22,AMD EPYC 7601 32-Core Processor,16,1244,11283,16
23,AMD EPYC 7601 32-Core Processor,8,1299,10078,8
24,AMD EPYC 7601 32-Core Processor,8,1264,9980,8
25,AMD EPYC 7601 32-Core Processor,8,1276,9672,8
26,AMD EPYC 7601 32-Core Processor,8,1275,9663,8
27,AMD EPYC 7601 32-Core Processor,8,1268,9616,8
28,AMD EPYC 7601 32-Core Processor,8,1265,9388,8
29,AMD EPYC 7601 32-Core Processor,8,1257,8537,8
30,AMD EPYC 7601 32-Core Processor,6,1454,8330,6
31,AMD EPYC 7601 32-Core Processor,6,1310,7833,6
32,AMD EPYC 7601 32-Core Processor,4,1547,6105,4
33,AMD EPYC 7601 32-Core Processor,4,1508,5432,4
34,AMD EPYC 7601 32-Core Processor,4,1314,5206,4
35,AMD EPYC 7601 32-Core Processor,4,1302,5188,4
36,AMD EPYC 7601 32-Core Processor,4,1294,5166,4
37,AMD EPYC 7601 32-Core Processor,4,1292,5114,4
38,AMD EPYC 7601 32-Core Processor,4,1304,5059,4
39,AMD EPYC 7601 32-Core Processor @ 2195.874 MHz,4,1276,4901,4
40,AMD EPYC 7601 32-Core Processor,4,1221,4608,4
41,AMD EPYC 7601 32-Core Processor,5,1313,4078,5
42,AMD EPYC 7601 32-Core Processor,1,3377,3377,1
43,AMD EPYC 7601 32-Core Processor,4,1218,3333,4
44,AMD EPYC 7601 32-Core Processor,1,3318,3318,1
45,AMD EPYC 7601 32-Core Processor,1,3132,3132,1
46,AMD EPYC 7601 32-Core Processor @ 1200.000 MHz,64,1540,3013,64
47,AMD EPYC 7601 32-Core Processor,2,1471,2924,2
48,AMD EPYC 7601 32-Core Processor,2,1528,2914,2
49,AMD EPYC 7601 32-Core Processor,2,1480,2893,2
50,AMD EPYC 7601 32-Core Processor,2,1431,2775,2
51,AMD EPYC 7601 32-Core Processor,2,1457,2753,2
52,AMD EPYC 7601 32-Core Processor,2,1428,2705,2
53,AMD EPYC 7601 32-Core Processor,2,1443,2676,2
54,AMD EPYC 7601 32-Core Processor,2,1335,2655,2
55,AMD EPYC 7601 32-Core Processor,2,1266,2648,2
56,AMD EPYC 7601 32-Core Processor,2,1311,2619,2
57,AMD EPYC 7601 32-Core Processor,2,1285,2614,2
58,AMD EPYC 7601 32-Core Processor,2,1314,2604,2
59,AMD EPYC 7601 32-Core Processor,2,1301,2602,2
60,AMD EPYC 7601 32-Core Processor,2,1312,2597,2
61,AMD EPYC 7601 32-Core Processor,2,1294,2596,2
62,AMD EPYC 7601 32-Core Processor,2,1331,2590,2
63,AMD EPYC 7601 32-Core Processor,2,1293,2587,2
64,AMD EPYC 7601 32-Core Processor,2,1366,2586,2
65,AMD EPYC 7601 32-Core Processor,2,1311,2585,2
66,AMD EPYC 7601 32-Core Processor @ 2195.874 MHz,2,1299,2584,2
67,AMD EPYC 7601 32-Core Processor,2,1312,2577,2
68,AMD EPYC 7601 32-Core Processor,2,1264,2577,2
69,AMD EPYC 7601 32-Core Processor,2,1304,2575,2
70,AMD EPYC 7601 32-Core Processor,2,1298,2574,2
71,AMD EPYC 7601 32-Core Processor,2,1260,2569,2
72,AMD EPYC 7601 32-Core Processor,2,1304,2563,2
73,AMD EPYC 7601 32-Core Processor,2,1313,2556,2
74,AMD EPYC 7601 32-Core Processor,2,1294,2545,2
75,AMD EPYC 7601 32-Core Processor @2195.874 MHz,2,1298,2539,2
76,AMD EPYC 7601 32-Core Processor,2,1263,2539,2
77,AMD EPYC 7601 32-Core Processor,2,1296,2538,2
78,AMD EPYC 7601 32-Core Processor,2,1373,2530,2
79,AMD EPYC 7601 32-Core Processor @ 2195.874 MHz,2,1290,2527,2
80,AMD EPYC 7601 32-Core Processor,2,1313,2526,2
81,AMD EPYC 7601 32-Core Processor,2,1296,2524,2
82,AMD EPYC 7601 32-Core Processor,2,1285,2523,2
83,AMD EPYC 7601 32-Core Processor,2,1264,2521,2
84,AMD EPYC 7601 32-Core Processor,2,1243,2519,2
85,AMD EPYC 7601 32-Core Processor,2,1289,2511,2
86,AMD EPYC 7601 32-Core Processor,2,1291,2505,2
87,AMD EPYC 7601 32-Core Processor,2,1296,2505,2
88,AMD EPYC 7601 32-Core Processor,2,1255,2498,2
89,AMD EPYC 7601 32-Core Processor,2,1261,2494,2
90,AMD EPYC 7601 32-Core Processor,2,1255,2491,2
91,AMD EPYC 7601 32-Core Processor,2,1261,2487,2
92,AMD EPYC 7601 32-Core Processor,2,1272,2478,2
93,AMD EPYC 7601 32-Core Processor,2,1278,2477,2
94,AMD EPYC 7601 32-Core Processor,2,1257,2469,2
95,AMD EPYC 7601 32-Core Processor,2,1289,2460,2
96,AMD EPYC 7601 32-Core Processor,2,1256,2454,2
97,AMD EPYC 7601 32-Core Processor,2,1274,2440,2
98,AMD EPYC 7601 32-Core Processor @2195.874 MHz,2,1284,2428,2
99,AMD EPYC 7601 32-Core Processor,2,1235,2421,2
100,AMD EPYC 7601 32-Core Processor,2,1164,2409,2
101,AMD EPYC 7601 32-Core Processor,2,1260,2377,2
102,AMD EPYC 7601 32-Core Processor,2,1287,2367,2
103,AMD EPYC 7601 32-Core Processor,2,1252,2365,2
104,AMD EPYC 7601 32-Core Processor,2,1283,2361,2
105,AMD EPYC 7601 32-Core Processor,2,1225,2349,2
106,AMD EPYC 7601 32-Core Processor,2,1201,2347,2
107,AMD EPYC 7601 32-Core Processor,2,1340,2275,2
108,AMD EPYC 7601 32-Core Processor,2,1281,2256,2
109,AMD EPYC 7601 32-Core Processor,2,1127,2175,2
110,AMD EPYC 7601 32-Core Processor,2,1117,2172,2
111,AMD EPYC 7601 32-Core Processor,2,1106,2108,2
112,AMD EPYC 7601 32-Core Processor,2,1099,2099,2
113,AMD EPYC 7601 32-Core Processor,2,1198,2095,2
114,AMD EPYC 7601 32-Core Processor,2,1136,2090,2
115,AMD EPYC 7601 32-Core Processor,2,1238,2087,2
116,AMD EPYC 7601 32-Core Processor,2,1072,2076,2
117,AMD EPYC 7601 32-Core Processor,2,1040,2070,2
118,AMD EPYC 7601 32-Core Processor,2,1034,2060,2
119,AMD EPYC 7601 32-Core Processor,2,1079,2041,2
120,AMD EPYC 7601 32-Core Processor,2,1050,2039,2
121,AMD EPYC 7601 32-Core Processor,2,999,2022,2
122,AMD EPYC 7601 32-Core Processor,2,1028,2020,2
123,AMD EPYC 7601 32-Core Processor,2,1025,2015,2
124,AMD EPYC 7601 32-Core Processor,2,999,2008,2
125,AMD EPYC 7601 32-Core Processor,2,1019,2006,2
126,AMD EPYC 7601 32-Core Processor,2,1006,2000,2
