排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC 7B12 64-Core Processor,1,1639,109804,128
2,AMD EPYC 7B12 64-Core Processor,1,1638,109497,128
3,AMD EPYC 7B12 64-Core Processor,1,1638,109217,128
4,AMD EPYC 7B12 64-Core Processor,1,1193,67807,128
5,AMD EPYC 7B12 64-Core Processor,16,1633,25739,16
6,AMD EPYC 7B12 64-Core Processor,16,1096,17516,16
7,AMD EPYC 7B12 64-Core Processor,9,1605,14376,9
8,AMD EPYC 7B12 64-Core Processor,9,1581,13916,9
9,AMD EPYC 7B12 64-Core Processor,8,1625,13021,8
10,AMD EPYC 7B12 64-Core Processor @ 2249.998 MHz,8,1631,13013,8
11,AMD EPYC 7B12 64-Core Processor,8,1620,12804,8
12,AMD EPYC 7B12 64-Core Processor,8,1587,12667,8
13,AMD EPYC 7B12 64-Core Processor,9,1579,12578,9
14,AMD EPYC 7B12 64-Core Processor,8,1624,12379,8
15,AMD EPYC 7B12 64-Core Processor,6,1626,9755,6
16,AMD EPYC 7B12 64-Core Processor,6,1618,9741,6
17,AMD EPYC 7B12 64-Core Processor,6,1608,9560,6
18,AMD EPYC 7B12 64-Core Processor,4,1624,6503,4
19,AMD EPYC 7B12 64-Core Processor,4,1614,6501,4
20,AMD EPYC 7B12 64-Core Processor,4,1623,6500,4
21,AMD EPYC 7B12 64-Core Processor,4,1621,6488,4
22,AMD EPYC 7B12 64-Core Processor,4,1601,6486,4
23,AMD EPYC 7B12 64-Core Processor,4,1629,6486,4
24,AMD EPYC 7B12 64-Core Processor,4,1624,6484,4
25,AMD EPYC 7B12 64-Core Processor,4,1622,6481,4
26,AMD EPYC 7B12 64-Core Processor,4,1621,6475,4
27,AMD EPYC 7B12 64-Core Processor,4,1625,6475,4
28,AMD EPYC 7B12 64-Core Processor,4,1613,6473,4
29,AMD EPYC 7B12 64-Core Processor,4,1624,6471,4
30,AMD EPYC 7B12 64-Core Processor,4,1624,6468,4
31,AMD EPYC 7B12 64-Core Processor,4,1621,6468,4
32,AMD EPYC 7B12 64-Core Processor @2245.780 MHz,4,1614,6461,4
33,AMD EPYC 7B12 64-Core Processor,4,1615,6461,4
34,AMD EPYC 7B12 64-Core Processor,4,1616,6457,4
35,AMD EPYC 7B12 64-Core Processor,4,1613,6455,4
36,AMD EPYC 7B12 64-Core Processor,4,1622,6451,4
37,AMD EPYC 7B12 64-Core Processor,4,1589,6450,4
38,AMD EPYC 7B12 64-Core Processor,4,1617,6444,4
39,AMD EPYC 7B12 64-Core Processor,4,1616,6438,4
40,AMD EPYC 7B12 64-Core Processor,4,1583,6430,4
41,AMD EPYC 7B12 64-Core Processor,4,1598,6418,4
42,AMD EPYC 7B12 64-Core Processor,4,1614,6414,4
43,AMD EPYC 7B12 64-Core Processor,4,1603,6413,4
44,AMD EPYC 7B12 64-Core Processor,4,1609,6411,4
45,AMD EPYC 7B12 64-Core Processor,4,1607,6407,4
46,AMD EPYC 7B12 64-Core Processor,4,1572,6406,4
47,AMD EPYC 7B12 64-Core Processor,4,1596,6401,4
48,AMD EPYC 7B12 64-Core Processor,4,1604,6399,4
49,AMD EPYC 7B12 64-Core Processor,4,1599,6399,4
50,AMD EPYC 7B12 64-Core Processor,4,1594,6383,4
