排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC 7B12,4,3689,8217,4
2,AMD EPYC 7B12,2,3684,4139,2
3,AMD EPYC 7B12,2,3682,1512,2
4,AMD EPYC 7B12,4,3681,8309,4
5,AMD EPYC 7B12,2,3680,4141,2
6,AMD EPYC 7B12,2,3679,4129,2
7,AMD EPYC 7B12,8,3673,16567,8
8,AMD EPYC 7B12,2,3672,4145,2
9,AMD EPYC 7B12,2,3670,4117,2
10,AMD EPYC 7B12,2,3670,4125,2
11,AMD EPYC 7B12,2,3669,4094,2
12,AMD EPYC 7B12,2,3669,4156,2
13,AMD EPYC 7B12,22,3669,45434,22
14,AMD EPYC 7B12,22,3667,45432,22
15,AMD EPYC 7B12,2,3667,4139,2
16,AMD EPYC 7B12,2,3666,4145,2
17,AMD EPYC 7B12,2,3666,4144,2
18,AMD EPYC 7B12,2,3666,4144,2
19,AMD EPYC 7B12,2,3666,3991,2
20,AMD EPYC 7B12,2,3665,4118,2
21,AMD EPYC 7B12,2,3665,4120,2
22,AMD EPYC 7B12,2,3664,4009,2
23,AMD EPYC 7B12,8,3664,16587,8
24,AMD EPYC 7B12,2,3661,4142,2
25,AMD EPYC 7B12,4,3661,8276,4
26,AMD EPYC 7B12,2,3661,7279,2
27,AMD EPYC 7B12,2,3661,4143,2
28,AMD EPYC 7B12,2,3661,4152,2
29,AMD EPYC 7B12,2,3660,4074,2
30,AMD EPYC 7B12,2,3660,4136,2
31,AMD EPYC 7B12,2,3660,4152,2
32,AMD EPYC 7B12,4,3660,8279,4
33,AMD EPYC 7B12,2,3660,4143,2
34,AMD EPYC 7B12,2,3660,4151,2
35,AMD EPYC 7B12,2,3660,4147,2
36,AMD EPYC 7B12,2,3659,4152,2
37,AMD EPYC 7B12,2,3657,4133,2
38,AMD EPYC 7B12,2,3656,4136,2
39,AMD EPYC 7B12,2,3655,4150,2
40,AMD EPYC 7B12,2,3655,4151,2
41,AMD EPYC 7B12,2,3655,4142,2
42,AMD EPYC 7B12,2,3654,4148,2
43,AMD EPYC 7B12,2,3654,4133,2
44,AMD EPYC 7B12,2,3654,4149,2
45,AMD EPYC 7B12,2,3654,4148,2
46,AMD EPYC 7B12,2,3653,4128,2
47,AMD EPYC 7B12,2,3652,4149,2
48,AMD EPYC 7B12,2,3652,4086,2
49,AMD EPYC 7B12,2,3652,4136,2
50,AMD EPYC 7B12,2,3651,4137,2
51,AMD EPYC 7B12,2,3651,4143,2
52,AMD EPYC 7B12,2,3650,4118,2
53,AMD EPYC 7B12,2,3650,4149,2
54,AMD EPYC 7B12,2,3650,4124,2
55,AMD EPYC 7B12,2,3649,4143,2
56,AMD EPYC 7B12,8,3649,16393,8
57,AMD EPYC 7B12,2,3649,4147,2
58,AMD EPYC 7B12,2,3649,4131,2
59,AMD EPYC 7B12,2,3649,4111,2
60,AMD EPYC 7B12,2,3648,4062,2
61,AMD EPYC 7B12,2,3648,4149,2
62,AMD EPYC 7B12,4,3648,8214,4
63,AMD EPYC 7B12,2,3648,4125,2
64,AMD EPYC 7B12,2,3647,4138,2
65,AMD EPYC 7B12,2,3647,4099,2
66,AMD EPYC 7B12,2,3647,4140,2
67,AMD EPYC 7B12,2,3647,4135,2
68,AMD EPYC 7B12,2,3646,4140,2
69,AMD EPYC 7B12,2,3645,4141,2
70,AMD EPYC 7B12,8,3645,16487,8
71,AMD EPYC 7B12,2,3645,4137,2
72,AMD EPYC 7B12,2,3645,4091,2
73,AMD EPYC 7B12,2,3644,4082,2
74,AMD EPYC 7B12,2,3644,4131,2
75,AMD EPYC 7B12,2,3644,4140,2
76,AMD EPYC 7B12,2,3644,4147,2
77,AMD EPYC 7B12,2,3644,4149,2
78,AMD EPYC 7B12,2,3644,4139,2
79,AMD EPYC 7B12,2,3643,4111,2
80,AMD EPYC 7B12,2,3643,3657,2
81,AMD EPYC 7B12,2,3642,4133,2
82,AMD EPYC 7B12,2,3641,4080,2
83,AMD EPYC 7B12,2,3641,4115,2
84,AMD EPYC 7B12,2,3641,4125,2
85,AMD EPYC 7B12,2,3641,4143,2
86,AMD EPYC 7B12,2,3641,4144,2
87,AMD EPYC 7B12,2,3641,4127,2
88,AMD EPYC 7B12,2,3641,4144,2
89,AMD EPYC 7B12,2,3640,4135,2
90,AMD EPYC 7B12,2,3640,4101,2
91,AMD EPYC 7B12,2,3640,4141,2
92,AMD EPYC 7B12,2,3640,4105,2
93,AMD EPYC 7B12,2,3640,4140,2
94,AMD EPYC 7B12,2,3639,4143,2
95,AMD EPYC 7B12,2,3639,4084,2
96,AMD EPYC 7B12,2,3639,4141,2
97,AMD EPYC 7B12,2,3638,4148,2
98,AMD EPYC 7B12,2,3638,4097,2
99,AMD EPYC 7B12,2,3637,2593,2
100,AMD EPYC 7B12,2,3637,4077,2
101,AMD EPYC 7B12,2,3636,4145,2
102,AMD EPYC 7B12,2,3636,4096,2
103,AMD EPYC 7B12,2,3635,3240,2
104,AMD EPYC 7B12,2,3634,4102,2
105,AMD EPYC 7B12,2,3634,4114,2
106,AMD EPYC 7B12,2,3633,4094,2
107,AMD EPYC 7B12,2,3632,4142,2
108,AMD EPYC 7B12,2,3632,4088,2
109,AMD EPYC 7B12,2,3632,4104,2
110,AMD EPYC 7B12,2,3631,4142,2
111,AMD EPYC 7B12,8,3630,16471,8
112,AMD EPYC 7B12,2,3630,4131,2
113,AMD EPYC 7B12,2,3629,1467,2
114,AMD EPYC 7B12,2,3628,4095,2
115,AMD EPYC 7B12,2,3627,4144,2
116,AMD EPYC 7B12,2,3627,4132,2
117,AMD EPYC 7B12,2,3623,4081,2
118,AMD EPYC 7B12,2,3623,4113,2
119,AMD EPYC 7B12,2,3623,4115,2
120,AMD EPYC 7B12,2,3622,4102,2
121,AMD EPYC 7B12,2,3622,3676,2
122,AMD EPYC 7B12,2,3622,4095,2
123,AMD EPYC 7B12,4,3621,8271,4
124,AMD EPYC 7B12,2,3621,4084,2
125,AMD EPYC 7B12,4,3621,8232,4
126,AMD EPYC 7B12,2,3620,4100,2
127,AMD EPYC 7B12,2,3620,4129,2
128,AMD EPYC 7B12,2,3619,3850,2
129,AMD EPYC 7B12,2,3619,4080,2
130,AMD EPYC 7B12,2,3619,4075,2
131,AMD EPYC 7B12,2,3618,4086,2
132,AMD EPYC 7B12,2,3617,4114,2
133,AMD EPYC 7B12,2,3615,4081,2
134,AMD EPYC 7B12,2,3613,4092,2
135,AMD EPYC 7B12,2,3612,4116,2
136,AMD EPYC 7B12,2,3611,3891,2
137,AMD EPYC 7B12,2,3611,4119,2
138,AMD EPYC 7B12,2,3608,634,2
139,AMD EPYC 7B12,2,3606,4110,2
140,AMD EPYC 7B12,2,3604,4104,2
141,AMD EPYC 7B12,2,3603,4124,2
142,AMD EPYC 7B12,2,3602,4130,2
143,AMD EPYC 7B12,2,3602,4087,2
144,AMD EPYC 7B12,2,3602,4088,2
145,AMD EPYC 7B12,4,3601,8160,4
146,AMD EPYC 7B12,2,3598,4020,2
147,AMD EPYC 7B12,2,3597,4027,2
148,AMD EPYC 7B12,4,3596,8148,4
149,AMD EPYC 7B12,2,3596,4126,2
150,AMD EPYC 7B12,2,3594,4063,2
151,AMD EPYC 7B12,2,3594,4113,2
152,AMD EPYC 7B12,2,3587,4116,2
153,AMD EPYC 7B12,2,3585,4093,2
154,AMD EPYC 7B12,2,3585,4097,2
155,AMD EPYC 7B12,2,3584,4033,2
156,AMD EPYC 7B12,2,3583,2029,2
157,AMD EPYC 7B12,2,3583,4072,2
158,AMD EPYC 7B12,2,3580,4104,2
