排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC 7B13 64-Core Processor,1,4009,4009,1
2,AMD EPYC 7B13 64-Core Processor,1,3997,264740,128
3,AMD EPYC 7B13 64-Core Processor,2,3995,7947,2
4,AMD EPYC 7B13 64-Core Processor,1,3990,3990,1
5,AMD EPYC 7B13 64-Core Processor,2,3988,7800,2
6,AMD EPYC 7B13 64-Core Processor,1,3987,3987,1
7,AMD EPYC 7B13 64-Core Processor,2,3986,7845,2
8,AMD EPYC 7B13 64-Core Processor,1,3985,3985,1
9,AMD EPYC 7B13 64-Core Processor,2,3981,7885,2
10,AMD EPYC 7B13 64-Core Processor,1,3981,3981,1
11,AMD EPYC 7B13 64-Core Processor,1,3980,3980,1
12,AMD EPYC 7B13 64-Core Processor,2,3978,7900,2
13,AMD EPYC 7B13 64-Core Processor,4,3976,15898,4
14,AMD EPYC 7B13 64-Core Processor,1,3975,3975,1
15,AMD EPYC 7B13 64-Core Processor,2,3974,7855,2
16,AMD EPYC 7B13 64-Core Processor,1,3973,3973,1
17,AMD EPYC 7B13 64-Core Processor,1,3973,3973,1
18,AMD EPYC 7B13 64-Core Processor,1,3973,3973,1
19,AMD EPYC 7B13 64-Core Processor,1,3970,3970,1
20,AMD EPYC 7B13 64-Core Processor,1,3969,3969,1
21,AMD EPYC 7B13 64-Core Processor,2,3969,7901,2
22,AMD EPYC 7B13 64-Core Processor,1,3968,3968,1
23,AMD EPYC 7B13 64-Core Processor,2,3968,7918,2
24,AMD EPYC 7B13 64-Core Processor,4,3966,15642,4
25,AMD EPYC 7B13 64-Core Processor,2,3966,7886,2
26,AMD EPYC 7B13 64-Core Processor,1,3964,3964,1
27,AMD EPYC 7B13 64-Core Processor,2,3963,7921,2
28,AMD EPYC 7B13 64-Core Processor,1,3959,3959,1
29,AMD EPYC 7B13 64-Core Processor,1,3958,3958,1
30,AMD EPYC 7B13 64-Core Processor,1,3957,3957,1
31,AMD EPYC 7B13 64-Core Processor,2,3956,7940,2
32,AMD EPYC 7B13 64-Core Processor,1,3955,3955,1
33,AMD EPYC 7B13 64-Core Processor,2,3953,7694,2
34,AMD EPYC 7B13 64-Core Processor,2,3953,7708,2
35,AMD EPYC 7B13 64-Core Processor,2,3952,7857,2
36,AMD EPYC 7B13 64-Core Processor,1,3952,3952,1
37,AMD EPYC 7B13 64-Core Processor,1,3952,3952,1
38,AMD EPYC 7B13 64-Core Processor,1,3951,3951,1
39,AMD EPYC 7B13 64-Core Processor,2,3951,7908,2
40,AMD EPYC 7B13 64-Core Processor,1,3951,3951,1
41,AMD EPYC 7B13 64-Core Processor,2,3951,443701,256
42,AMD EPYC 7B13 64-Core Processor,1,3951,3951,1
43,AMD EPYC 7B13 64-Core Processor,2,3947,7923,2
44,AMD EPYC 7B13 64-Core Processor,1,3947,3947,1
45,AMD EPYC 7B13 64-Core Processor,1,3947,3947,1
46,AMD EPYC 7B13 64-Core Processor,1,3944,3944,1
47,AMD EPYC 7B13 64-Core Processor,2,3943,7912,2
48,AMD EPYC 7B13 64-Core Processor,1,3943,3943,1
49,AMD EPYC 7B13 64-Core Processor,2,3941,7858,2
50,AMD EPYC 7B13 64-Core Processor,1,3941,3941,1
51,AMD EPYC 7B13 64-Core Processor,1,3941,3941,1
52,AMD EPYC 7B13 64-Core Processor,1,3940,3940,1
53,AMD EPYC 7B13 64-Core Processor,1,3939,3939,1
54,AMD EPYC 7B13 64-Core Processor,2,3939,7866,2
55,AMD EPYC 7B13 64-Core Processor,2,3939,7715,2
56,AMD EPYC 7B13 64-Core Processor,2,3938,7867,2
57,AMD EPYC 7B13 64-Core Processor,1,3938,3938,1
58,AMD EPYC 7B13 64-Core Processor,1,3937,3937,1
59,AMD EPYC 7B13 64-Core Processor,2,3936,7712,2
60,AMD EPYC 7B13 64-Core Processor,1,3935,3935,1
61,AMD EPYC 7B13 64-Core Processor,2,3935,7750,2
62,AMD EPYC 7B13 64-Core Processor,2,3934,7852,2
63,AMD EPYC 7B13 64-Core Processor,2,3934,7832,2
64,AMD EPYC 7B13 64-Core Processor,1,3933,3933,1
65,AMD EPYC 7B13 64-Core Processor,1,3931,3931,1
66,AMD EPYC 7B13 64-Core Processor,2,3930,7760,2
