排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC 7B13,64,3684,130482,64
2,AMD EPYC 7B13,8,3813,30610,8
3,AMD EPYC 7B13,8,3693,29541,8
4,AMD EPYC 7B13,8,3707,29475,8
5,AMD EPYC 7B13,8,3670,29363,8
6,AMD EPYC 7B13,8,3659,29356,8
7,AMD EPYC 7B13,8,3658,29324,8
8,AMD EPYC 7B13,8,3671,29281,8
9,AMD EPYC 7B13,8,3661,29241,8
10,AMD EPYC 7B13,8,3654,29176,8
11,AMD EPYC 7B13,8,3667,29174,8
12,AMD EPYC 7B13,8,3979,17978,8
13,AMD EPYC 7B13,8,3662,16611,8
14,AMD EPYC 7B13,8,3659,16602,8
15,AMD EPYC 7B13,8,3665,16601,8
16,AMD EPYC 7B13,8,3673,16599,8
17,AMD EPYC 7B13,8,3670,16590,8
18,AMD EPYC 7B13,8,3666,16583,8
19,AMD EPYC 7B13,8,3666,16581,8
20,AMD EPYC 7B13,8,3667,16569,8
21,AMD EPYC 7B13,8,3661,16553,8
22,AMD EPYC 7B13,8,3645,16506,8
23,AMD EPYC 7B13,8,3670,16482,8
24,AMD EPYC 7B13,16,3522,16344,16
25,AMD EPYC 7B13,8,3489,15238,8
26,AMD EPYC 7B13,4,3666,14679,4
27,AMD EPYC 7B13,4,3595,14574,4
28,AMD EPYC 7B13,4,3302,9539,4
29,AMD EPYC 7B13,16,3088,9501,16
30,AMD EPYC 7B13,4,3975,9004,4
31,AMD EPYC 7B13,4,3986,8990,4
32,AMD EPYC 7B13,4,3934,8983,4
33,AMD EPYC 7B13,4,3967,8981,4
34,AMD EPYC 7B13,4,3975,8970,4
35,AMD EPYC 7B13,4,3969,8966,4
36,AMD EPYC 7B13,4,3974,8960,4
37,AMD EPYC 7B13,4,3916,8848,4
38,AMD EPYC 7B13,4,3949,8804,4
39,AMD EPYC 7B13,4,3883,8666,4
40,AMD EPYC 7B13,4,3752,8435,4
41,AMD EPYC 7B13,4,3759,8414,4
42,AMD EPYC 7B13,4,3677,8337,4
43,AMD EPYC 7B13,4,3673,8326,4
44,AMD EPYC 7B13,4,3676,8302,4
45,AMD EPYC 7B13,4,3656,8299,4
46,AMD EPYC 7B13,4,3634,8297,4
47,AMD EPYC 7B13,4,3664,8297,4
48,AMD EPYC 7B13,4,3668,8295,4
49,AMD EPYC 7B13,4,3660,8294,4
50,AMD EPYC 7B13,4,3668,8294,4
51,AMD EPYC 7B13,4,3692,8291,4
52,AMD EPYC 7B13,4,3669,8290,4
53,AMD EPYC 7B13,4,3662,8287,4
54,AMD EPYC 7B13,4,3692,8287,4
