排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC 7C13 64-Core Processor,1,4172,244383,128
2,AMD EPYC 7C13 64-Core Processor,1,3535,236504,128
3,AMD EPYC 7C13 64-Core Processor,32,3387,101607,32
4,AMD EPYC 7C13 64-Core Processor,16,3474,54225,16
5,AMD EPYC 7C13 64-Core Processor @ 1996.249 MHz,16,3188,54203,16
6,AMD EPYC 7C13 64-Core Processor,12,3346,39649,12
7,AMD EPYC 7C13 64-Core Processor,12,3071,36764,12
8,AMD EPYC 7C13 64-Core Processor,12,2952,31677,12
9,AMD EPYC 7C13 64-Core Processor,12,2715,31504,12
10,AMD EPYC 7C13 64-Core Processor,8,4109,28625,8
11,AMD EPYC 7C13 64-Core Processor,8,3991,28455,8
12,AMD EPYC 7C13 64-Core Processor,8,4181,28065,8
13,AMD EPYC 7C13 64-Core Processor,8,3474,27869,8
14,AMD EPYC 7C13 64-Core Processor,8,3485,27867,8
15,AMD EPYC 7C13 64-Core Processor,8,3495,27852,8
16,AMD EPYC 7C13 64-Core Processor,8,3498,27787,8
17,AMD EPYC 7C13 64-Core Processor,8,3457,27739,8
18,AMD EPYC 7C13 64-Core Processor,8,3478,27693,8
19,AMD EPYC 7C13 64-Core Processor,8,3637,27662,8
20,AMD EPYC 7C13 64-Core Processor,8,3453,27601,8
21,AMD EPYC 7C13 64-Core Processor,8,3451,27447,8
22,AMD EPYC 7C13 64-Core Processor,8,3382,27144,8
23,AMD EPYC 7C13 64-Core Processor,8,3461,26922,8
24,AMD EPYC 7C13 64-Core Processor,8,3310,26908,8
25,AMD EPYC 7C13 64-Core Processor,8,3414,26878,8
26,AMD EPYC 7C13 64-Core Processor,8,3458,26801,8
27,AMD EPYC 7C13 64-Core Processor,8,3401,26720,8
28,AMD EPYC 7C13 64-Core Processor @1996.186 MHz,8,3364,26300,8
29,AMD EPYC 7C13 64-Core Processor,8,3409,26174,8
30,AMD EPYC 7C13 64-Core Processor @ 1996.252 MHz,8,3352,26068,8
31,AMD EPYC 7C13 64-Core Processor,8,3358,26054,8
32,AMD EPYC 7C13 64-Core Processor @1996.186 MHz,8,3380,25916,8
33,AMD EPYC 7C13 64-Core Processor @2000.000 MHz,8,3314,25658,8
34,AMD EPYC 7C13 64-Core Processor,8,3360,25485,8
35,AMD EPYC 7C13 64-Core Processor,8,3393,25355,8
36,AMD EPYC 7C13 64-Core Processor @ 1996.251 MHz,8,3137,24731,8
37,AMD EPYC 7C13 64-Core Processor,8,3329,24449,8
38,AMD EPYC 7C13 64-Core Processor,8,3383,24353,8
39,AMD EPYC 7C13 64-Core Processor,8,3051,24083,8
40,AMD EPYC 7C13 64-Core Processor @1996.249 MHz,8,3148,23909,8
41,AMD EPYC 7C13 64-Core Processor,8,3212,23241,8
42,AMD EPYC 7C13 64-Core Processor,8,3200,22218,8
43,AMD EPYC 7C13 64-Core Processor @ 1996.249 MHz,6,3446,20810,6
44,AMD EPYC 7C13 64-Core Processor,6,3401,20369,6
45,AMD EPYC 7C13 64-Core Processor @2000.000 MHz,6,3369,20289,6
46,AMD EPYC 7C13 64-Core Processor,6,3401,20234,6
47,AMD EPYC 7C13 64-Core Processor,5,4139,20200,5
48,AMD EPYC 7C13 64-Core Processor,6,3397,20190,6
49,AMD EPYC 7C13 64-Core Processor @1999.999 MHz,6,3446,20056,6
50,AMD EPYC 7C13 64-Core Processor,6,3313,20043,6
51,AMD EPYC 7C13 64-Core Processor @1999.999 MHz,6,3354,19799,6
52,AMD EPYC 7C13 64-Core Processor @2000.000 MHz,6,3475,19762,6
53,AMD EPYC 7C13 64-Core Processor,6,3311,19597,6
54,AMD EPYC 7C13 64-Core Processor,6,3287,19395,6
55,AMD EPYC 7C13 64-Core Processor @1999.999 MHz,6,3098,18773,6
56,AMD EPYC 7C13 64-Core Processor,6,3191,18588,6
57,AMD EPYC 7C13 64-Core Processor,6,3191,18501,6
58,AMD EPYC 7C13 64-Core Processor,5,3513,17516,5
59,AMD EPYC 7C13 64-Core Processor @2000.000 MHz,6,3349,17424,6
60,AMD EPYC 7C13 64-Core Processor,5,3473,17299,5
61,AMD EPYC 7C13 64-Core Processor,5,3471,17288,5
62,AMD EPYC 7C13 64-Core Processor,6,3037,17036,6
63,AMD EPYC 7C13 64-Core Processor,6,2998,15908,6
64,AMD EPYC 7C13 64-Core Processor,6,2629,15546,6
65,AMD EPYC 7C13 64-Core Processor,8,1276,14769,8
66,AMD EPYC 7C13 64-Core Processor,4,3828,14422,4
67,AMD EPYC 7C13 64-Core Processor,4,3730,14109,4
68,AMD EPYC 7C13 64-Core Processor,4,3518,14023,4
69,AMD EPYC 7C13 64-Core Processor,4,3501,13960,4
70,AMD EPYC 7C13 64-Core Processor,4,3491,13953,4
71,AMD EPYC 7C13 64-Core Processor,4,3499,13944,4
72,AMD EPYC 7C13 64-Core Processor,4,3500,13936,4
73,AMD EPYC 7C13 64-Core Processor,4,3479,13933,4
74,AMD EPYC 7C13 64-Core Processor,4,3673,13929,4
75,AMD EPYC 7C13 64-Core Processor,4,3480,13917,4
76,AMD EPYC 7C13 64-Core Processor,4,3483,13907,4
77,AMD EPYC 7C13 64-Core Processor,4,3493,13885,4
78,AMD EPYC 7C13 64-Core Processor,4,3490,13882,4
79,AMD EPYC 7C13 64-Core Processor,4,3504,13878,4
80,AMD EPYC 7C13 64-Core Processor,4,3500,13876,4
81,AMD EPYC 7C13 64-Core Processor,4,3464,13875,4
82,AMD EPYC 7C13 64-Core Processor,4,3495,13875,4
83,AMD EPYC 7C13 64-Core Processor,4,3491,13856,4
84,AMD EPYC 7C13 64-Core Processor,4,3474,13856,4
85,AMD EPYC 7C13 64-Core Processor,4,3487,13849,4
86,AMD EPYC 7C13 64-Core Processor,4,3473,13846,4
87,AMD EPYC 7C13 64-Core Processor,4,3461,13844,4
88,AMD EPYC 7C13 64-Core Processor,4,3488,13836,4
89,AMD EPYC 7C13 64-Core Processor,4,3495,13834,4
90,AMD EPYC 7C13 64-Core Processor,4,3484,13834,4
91,AMD EPYC 7C13 64-Core Processor,4,3451,13831,4
92,AMD EPYC 7C13 64-Core Processor,4,3499,13830,4
93,AMD EPYC 7C13 64-Core Processor,4,3610,13830,4
94,AMD EPYC 7C13 64-Core Processor,4,3553,13826,4
95,AMD EPYC 7C13 64-Core Processor,4,3490,13818,4
96,AMD EPYC 7C13 64-Core Processor,4,3469,13809,4
97,AMD EPYC 7C13 64-Core Processor,4,3558,13806,4
98,AMD EPYC 7C13 64-Core Processor,4,3444,13805,4
99,AMD EPYC 7C13 64-Core Processor,4,3434,13802,4
100,AMD EPYC 7C13 64-Core Processor,4,3468,13799,4
101,AMD EPYC 7C13 64-Core Processor,4,3440,13796,4
102,AMD EPYC 7C13 64-Core Processor,4,3458,13793,4
103,AMD EPYC 7C13 64-Core Processor,4,3458,13772,4
104,AMD EPYC 7C13 64-Core Processor,4,3425,13751,4
105,AMD EPYC 7C13 64-Core Processor,4,3434,13749,4
106,AMD EPYC 7C13 64-Core Processor,4,3481,13747,4
107,AMD EPYC 7C13 64-Core Processor,4,3477,13743,4
108,AMD EPYC 7C13 64-Core Processor,4,3479,13741,4
109,AMD EPYC 7C13 64-Core Processor,4,3391,13741,4
110,AMD EPYC 7C13 64-Core Processor,4,3441,13728,4
111,AMD EPYC 7C13 64-Core Processor,4,3475,13727,4
112,AMD EPYC 7C13 64-Core Processor,4,3415,13693,4
113,AMD EPYC 7C13 64-Core Processor,4,3428,13684,4
114,AMD EPYC 7C13 64-Core Processor,4,3417,13668,4
115,AMD EPYC 7C13 64-Core Processor @ 2000.000 MHz,4,3474,13652,4
116,AMD EPYC 7C13 64-Core Processor,4,3348,13648,4
117,AMD EPYC 7C13 64-Core Processor,4,3437,13647,4
118,AMD EPYC 7C13 64-Core Processor,4,3414,13644,4
119,AMD EPYC 7C13 64-Core Processor,4,3466,13636,4
120,AMD EPYC 7C13 64-Core Processor,4,3443,13625,4
121,AMD EPYC 7C13 64-Core Processor,4,3463,13624,4
122,AMD EPYC 7C13 64-Core Processor,4,3434,13609,4
123,AMD EPYC 7C13 64-Core Processor,4,3369,13607,4
124,AMD EPYC 7C13 64-Core Processor @2000.000 MHz,4,3388,13606,4
125,AMD EPYC 7C13 64-Core Processor,4,3473,13603,4
126,AMD EPYC 7C13 64-Core Processor,4,3427,13599,4
127,AMD EPYC 7C13 64-Core Processor,4,3413,13581,4
128,AMD EPYC 7C13 64-Core Processor,4,3305,13575,4
129,AMD EPYC 7C13 64-Core Processor,4,3425,13574,4
130,AMD EPYC 7C13 64-Core Processor,4,3445,13572,4
131,AMD EPYC 7C13 64-Core Processor,4,3370,13572,4
132,AMD EPYC 7C13 64-Core Processor,4,3383,13561,4
133,AMD EPYC 7C13 64-Core Processor,4,3433,13560,4
134,AMD EPYC 7C13 64-Core Processor,4,3371,13556,4
135,AMD EPYC 7C13 64-Core Processor,4,3430,13556,4
136,AMD EPYC 7C13 64-Core Processor,4,3374,13553,4
137,AMD EPYC 7C13 64-Core Processor,4,3355,13539,4
138,AMD EPYC 7C13 64-Core Processor,4,3346,13533,4
139,AMD EPYC 7C13 64-Core Processor,4,3391,13529,4
