排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC 7C13 64-Core Processor,8,4181,28065,8
2,AMD EPYC 7C13 64-Core Processor,1,4172,244383,128
3,AMD EPYC 7C13 64-Core Processor,5,4139,20200,5
4,AMD EPYC 7C13 64-Core Processor,8,4109,28625,8
5,AMD EPYC 7C13 64-Core Processor,2,4064,7939,2
6,AMD EPYC 7C13 64-Core Processor,2,4003,7386,2
7,AMD EPYC 7C13 64-Core Processor,8,3991,28455,8
8,AMD EPYC 7C13 64-Core Processor,4,3947,12839,4
9,AMD EPYC 7C13 64-Core Processor,2,3894,7475,2
10,AMD EPYC 7C13 64-Core Processor,4,3828,14422,4
11,AMD EPYC 7C13 64-Core Processor,4,3751,11663,4
12,AMD EPYC 7C13 64-Core Processor,2,3751,7225,2
13,AMD EPYC 7C13 64-Core Processor,2,3732,7045,2
14,AMD EPYC 7C13 64-Core Processor,4,3730,14109,4
15,AMD EPYC 7C13 64-Core Processor,4,3673,13929,4
16,AMD EPYC 7C13 64-Core Processor,8,3637,27662,8
17,AMD EPYC 7C13 64-Core Processor,2,3621,7064,2
18,AMD EPYC 7C13 64-Core Processor,4,3610,13830,4
19,AMD EPYC 7C13 64-Core Processor,4,3558,13806,4
20,AMD EPYC 7C13 64-Core Processor,4,3553,13826,4
21,AMD EPYC 7C13 64-Core Processor,4,3524,13342,4
22,AMD EPYC 7C13 64-Core Processor,4,3518,14023,4
23,AMD EPYC 7C13 64-Core Processor,5,3513,17516,5
24,AMD EPYC 7C13 64-Core Processor,2,3507,6968,2
25,AMD EPYC 7C13 64-Core Processor,2,3506,7003,2
26,AMD EPYC 7C13 64-Core Processor,4,3504,13878,4
27,AMD EPYC 7C13 64-Core Processor,4,3501,13960,4
28,AMD EPYC 7C13 64-Core Processor,4,3500,13876,4
29,AMD EPYC 7C13 64-Core Processor,4,3500,13936,4
30,AMD EPYC 7C13 64-Core Processor,4,3499,13830,4
31,AMD EPYC 7C13 64-Core Processor,4,3499,13944,4
32,AMD EPYC 7C13 64-Core Processor,2,3498,6973,2
33,AMD EPYC 7C13 64-Core Processor,8,3498,27787,8
34,AMD EPYC 7C13 64-Core Processor,2,3495,7001,2
35,AMD EPYC 7C13 64-Core Processor,8,3495,27852,8
36,AMD EPYC 7C13 64-Core Processor,4,3495,13834,4
37,AMD EPYC 7C13 64-Core Processor,4,3495,13875,4
38,AMD EPYC 7C13 64-Core Processor,2,3494,6950,2
