排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC 7D12 32-Core Processor,1,1489,49447,64
2,AMD EPYC 7D12 32-Core Processor,6,1487,8841,6
3,AMD EPYC 7D12 32-Core Processor,2,1482,2946,2
4,AMD EPYC 7D12 32-Core Processor,2,1481,2958,2
5,AMD EPYC 7D12 32-Core Processor,2,1479,2954,2
6,AMD EPYC 7D12 32-Core Processor,4,1479,5880,4
7,AMD EPYC 7D12 32-Core Processor,64,1479,1472,64
8,AMD EPYC 7D12 32-Core Processor,2,1479,2904,2
9,AMD EPYC 7D12 32-Core Processor,2,1478,2935,2
10,AMD EPYC 7D12 32-Core Processor,2,1478,2955,2
11,AMD EPYC 7D12 32-Core Processor,4,1477,5391,4
12,AMD EPYC 7D12 32-Core Processor,2,1477,2938,2
13,AMD EPYC 7D12 32-Core Processor,2,1477,2931,2
14,AMD EPYC 7D12 32-Core Processor,2,1476,2908,2
15,AMD EPYC 7D12 32-Core Processor,2,1476,2952,2
16,AMD EPYC 7D12 32-Core Processor,2,1475,2950,2
17,AMD EPYC 7D12 32-Core Processor,2,1475,2899,2
18,AMD EPYC 7D12 32-Core Processor,6,1474,8265,6
19,AMD EPYC 7D12 32-Core Processor,2,1474,2955,2
20,AMD EPYC 7D12 32-Core Processor,64,1474,44138,64
21,AMD EPYC 7D12 32-Core Processor,2,1474,2946,2
22,AMD EPYC 7D12 32-Core Processor,2,1474,2883,2
23,AMD EPYC 7D12 32-Core Processor,2,1474,2922,2
24,AMD EPYC 7D12 32-Core Processor,8,1474,11763,8
25,AMD EPYC 7D12 32-Core Processor,2,1473,2947,2
26,AMD EPYC 7D12 32-Core Processor,2,1473,2947,2
27,AMD EPYC 7D12 32-Core Processor,2,1473,2950,2
28,AMD EPYC 7D12 32-Core Processor,2,1472,2927,2
29,AMD EPYC 7D12 32-Core Processor,2,1472,2938,2
30,AMD EPYC 7D12 32-Core Processor,2,1472,2946,2
31,AMD EPYC 7D12 32-Core Processor,2,1472,2928,2
32,AMD EPYC 7D12 32-Core Processor,2,1472,2916,2
