排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC 7H12 64-Core Processor,2,1642,211909,256
2,AMD EPYC 7H12 64-Core Processor,2,1641,205914,256
3,AMD EPYC 7H12 64-Core Processor,4,1639,6483,4
4,AMD EPYC 7H12 64-Core Processor,1,1636,1636,1
5,AMD EPYC 7H12 64-Core Processor,2,1635,3261,2
6,AMD EPYC 7H12 64-Core Processor,1,1635,1635,1
7,AMD EPYC 7H12 64-Core Processor,2,1634,3233,2
8,AMD EPYC 7H12 64-Core Processor,1,1634,1634,1
9,AMD EPYC 7H12 64-Core Processor,4,1634,6537,4
10,AMD EPYC 7H12 64-Core Processor,1,1634,1634,1
11,AMD EPYC 7H12 64-Core Processor,4,1633,6535,4
12,AMD EPYC 7H12 64-Core Processor,1,1633,1633,1
13,AMD EPYC 7H12 64-Core Processor,2,1633,3249,2
14,AMD EPYC 7H12 64-Core Processor,1,1633,1633,1
15,AMD EPYC 7H12 64-Core Processor,4,1632,6525,4
16,AMD EPYC 7H12 64-Core Processor @ 2595.122 MHz,1,1631,1631,1
17,AMD EPYC 7H12 64-Core Processor,1,1630,1630,1
18,AMD EPYC 7H12 64-Core Processor,4,1630,6485,4
19,AMD EPYC 7H12 64-Core Processor,1,1630,1630,1
20,AMD EPYC 7H12 64-Core Processor,2,1630,3255,2
21,AMD EPYC 7H12 64-Core Processor,4,1630,6523,4
22,AMD EPYC 7H12 64-Core Processor,2,1629,215863,256
23,AMD EPYC 7H12 64-Core Processor,1,1629,1629,1
24,AMD EPYC 7H12 64-Core Processor,1,1628,1628,1
25,AMD EPYC 7H12 64-Core Processor,1,1628,1628,1
26,AMD EPYC 7H12 64-Core Processor,8,1628,13014,8
27,AMD EPYC 7H12 64-Core Processor,2,1628,3234,2
28,AMD EPYC 7H12 64-Core Processor,2,1628,3209,2
29,AMD EPYC 7H12 64-Core Processor,1,1627,1627,1
30,AMD EPYC 7H12 64-Core Processor,1,1627,1627,1
31,AMD EPYC 7H12 64-Core Processor @ 2595.124 MHz,4,1627,6395,4
32,AMD EPYC 7H12 64-Core Processor,1,1626,1626,1
33,AMD EPYC 7H12 64-Core Processor @ 2599.998 MHz,8,1626,13063,8
34,AMD EPYC 7H12 64-Core Processor,1,1626,1626,1
35,AMD EPYC 7H12 64-Core Processor,2,1626,3219,2
36,AMD EPYC 7H12 64-Core Processor @ 2599.998 MHz,8,1626,13048,8
37,AMD EPYC 7H12 64-Core Processor,2,1625,3249,2
38,AMD EPYC 7H12 64-Core Processor,2,1625,3189,2
39,AMD EPYC 7H12 64-Core Processor,1,1625,1625,1
40,AMD EPYC 7H12 64-Core Processor,1,1625,1625,1
41,AMD EPYC 7H12 64-Core Processor,4,1625,6461,4
42,AMD EPYC 7H12 64-Core Processor,1,1625,1625,1
43,AMD EPYC 7H12 64-Core Processor,1,1625,1625,1
44,AMD EPYC 7H12 64-Core Processor,1,1625,1625,1
45,AMD EPYC 7H12 64-Core Processor,1,1624,1624,1
46,AMD EPYC 7H12 64-Core Processor,2,1624,3194,2
47,AMD EPYC 7H12 64-Core Processor,2,1623,215370,256
48,AMD EPYC 7H12 64-Core Processor,1,1623,1623,1
49,AMD EPYC 7H12 64-Core Processor,4,1623,6399,4
50,AMD EPYC 7H12 64-Core Processor,1,1623,1623,1
51,AMD EPYC 7H12 64-Core Processor,2,1622,3242,2
52,AMD EPYC 7H12 64-Core Processor,1,1622,1622,1
53,AMD EPYC 7H12 64-Core Processor,1,1622,1622,1
54,AMD EPYC 7H12 64-Core Processor,32,1622,52076,32
55,AMD EPYC 7H12 64-Core Processor @ 2595.124 MHz,4,1621,6393,4
56,AMD EPYC 7H12 64-Core Processor,1,1621,1621,1
57,AMD EPYC 7H12 64-Core Processor,1,1621,1621,1
58,AMD EPYC 7H12 64-Core Processor,2,1621,3203,2
59,AMD EPYC 7H12 64-Core Processor,2,1621,3217,2
60,AMD EPYC 7H12 64-Core Processor,1,1620,1620,1
61,AMD EPYC 7H12 64-Core Processor,1,1618,1618,1
62,AMD EPYC 7H12 64-Core Processor,1,1618,1618,1
63,AMD EPYC 7H12 64-Core Processor,1,1618,1618,1
64,AMD EPYC 7H12 64-Core Processor,4,1617,6429,4
65,AMD EPYC 7H12 64-Core Processor,2,1617,3239,2
66,AMD EPYC 7H12 64-Core Processor,2,1617,3230,2
67,AMD EPYC 7H12 64-Core Processor,2,1617,3240,2
68,AMD EPYC 7H12 64-Core Processor,1,1617,1617,1
69,AMD EPYC 7H12 64-Core Processor,1,1617,1617,1
70,AMD EPYC 7H12 64-Core Processor,1,1617,1617,1
71,AMD EPYC 7H12 64-Core Processor,1,1616,1616,1
72,AMD EPYC 7H12 64-Core Processor,1,1615,1615,1
73,AMD EPYC 7H12 64-Core Processor,1,1615,1615,1
74,AMD EPYC 7H12 64-Core Processor,1,1615,1615,1
75,AMD EPYC 7H12 64-Core Processor,1,1615,1615,1
76,AMD EPYC 7H12 64-Core Processor,96,1614,144512,96
77,AMD EPYC 7H12 64-Core Processor,2,1614,3231,2
78,AMD EPYC 7H12 64-Core Processor,1,1614,1614,1
79,AMD EPYC 7H12 64-Core Processor,1,1614,1614,1
80,AMD EPYC 7H12 64-Core Processor,1,1613,1613,1
81,AMD EPYC 7H12 64-Core Processor,1,1613,1613,1
82,AMD EPYC 7H12 64-Core Processor,8,1613,12798,8
83,AMD EPYC 7H12 64-Core Processor,1,1613,1613,1
84,AMD EPYC 7H12 64-Core Processor,1,1613,1613,1
85,AMD EPYC 7H12 64-Core Processor,2,1613,1966,2
