排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC 7J13 64-Core Processor,1,3967,252241,128
2,AMD EPYC 7J13 64-Core Processor,2,3931,7816,2
3,AMD EPYC 7J13 64-Core Processor,2,3888,7655,2
4,AMD EPYC 7J13 64-Core Processor,2,3871,7644,2
5,AMD EPYC 7J13 64-Core Processor,2,3818,7535,2
6,AMD EPYC 7J13 64-Core Processor,2,3791,7307,2
7,AMD EPYC 7J13 64-Core Processor,16,3682,32868,16
8,AMD EPYC 7J13 64-Core Processor,4,3678,7753,4
9,AMD EPYC 7J13 64-Core Processor,2,3677,7333,2
10,AMD EPYC 7J13 64-Core Processor,4,3675,8229,4
11,AMD EPYC 7J13 64-Core Processor,2,3673,7281,2
12,AMD EPYC 7J13 64-Core Processor,2,3670,7264,2
13,AMD EPYC 7J13 64-Core Processor,80,3669,159813,80
14,AMD EPYC 7J13 64-Core Processor,2,3666,7281,2
15,AMD EPYC 7J13 64-Core Processor,2,3666,7312,2
16,AMD EPYC 7J13 64-Core Processor,2,3665,7274,2
17,AMD EPYC 7J13 64-Core Processor,2,3665,7307,2
18,AMD EPYC 7J13 64-Core Processor,4,3664,8208,4
19,AMD EPYC 7J13 64-Core Processor,2,3663,7179,2
20,AMD EPYC 7J13 64-Core Processor,8,3661,29227,8
21,AMD EPYC 7J13 64-Core Processor,2,3661,7311,2
22,AMD EPYC 7J13 64-Core Processor,2,3661,7327,2
23,AMD EPYC 7J13 64-Core Processor,16,3661,32881,16
24,AMD EPYC 7J13 64-Core Processor,2,3661,4091,2
25,AMD EPYC 7J13 64-Core Processor,20,3661,41180,20
26,AMD EPYC 7J13 64-Core Processor,4,3661,8163,4
27,AMD EPYC 7J13 64-Core Processor,64,3660,129701,64
28,AMD EPYC 7J13 64-Core Processor,16,3660,32784,16
29,AMD EPYC 7J13 64-Core Processor,16,3660,32791,16
30,AMD EPYC 7J13 64-Core Processor,4,3659,8200,4
31,AMD EPYC 7J13 64-Core Processor,2,3659,7230,2
32,AMD EPYC 7J13 64-Core Processor,16,3658,43762,16
33,AMD EPYC 7J13 64-Core Processor,2,3658,7170,2
34,AMD EPYC 7J13 64-Core Processor,2,3658,7284,2
