排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC 7K62 48-Core Processor,192,1636,162478,192
2,AMD EPYC 7K62 48-Core Processor,192,1641,162421,192
3,AMD EPYC 7K62 48-Core Processor,192,1637,162333,192
4,AMD EPYC 7K62 48-Core Processor,192,1637,162154,192
5,AMD EPYC 7K62 48-Core Processor,2,1626,161892,192
6,AMD EPYC 7K62 48-Core Processor,2,1632,161806,192
7,AMD EPYC 7K62 48-Core Processor,2,1635,161778,192
8,AMD EPYC 7K62 48-Core Processor @ 1500.000 MHz,192,1635,160955,192
9,AMD EPYC 7K62 48-Core Processor,192,1615,159555,192
10,AMD EPYC 7K62 48-Core Processor,2,1615,157126,192
11,AMD EPYC 7K62 48-Core Processor,2,1618,156801,192
12,AMD EPYC 7K62 48-Core Processor @ 1500.000 MHz,192,1636,156177,192
13,AMD EPYC 7K62 48-Core Processor @ 1500.000 MHz,192,1636,156168,192
14,AMD EPYC 7K62 48-Core Processor,192,1624,154448,192
15,AMD EPYC 7K62 48-Core Processor,96,1641,152839,96
16,AMD EPYC 7K62 48-Core Processor,128,1584,116815,128
17,AMD EPYC 7K62 48-Core Processor,96,1629,115862,96
18,AMD EPYC 7K62 48-Core Processor,64,1607,96774,64
19,AMD EPYC 7K62 48-Core Processor @ 2599.998 MHz,64,1610,90603,64
20,AMD EPYC 7K62 48-Core Processor,1,1640,76766,48
21,AMD EPYC 7K62 48-Core Processor,48,1301,60268,48
22,AMD EPYC 7K62 48-Core Processor,40,1604,58313,40
23,AMD EPYC 7K62 48-Core Processor,32,1618,50917,32
24,AMD EPYC 7K62 48-Core Processor,32,1611,50793,32
25,AMD EPYC 7K62 48-Core Processor,32,1592,49359,32
26,AMD EPYC 7K62 48-Core Processor,32,1550,46466,32
27,AMD EPYC 7K62 48-Core Processor,32,1577,45342,32
28,AMD EPYC 7K62 48-Core Processor,32,1551,45131,32
29,AMD EPYC 7K62 48-Core Processor,32,1514,41402,32
30,AMD EPYC 7K62 48-Core Processor,32,1280,38840,32
31,AMD EPYC 7K62 48-Core Processor,32,1620,27208,32
32,AMD EPYC 7K62 48-Core Processor,16,1636,26090,16
33,AMD EPYC 7K62 48-Core Processor,16,1639,25992,16
34,AMD EPYC 7K62 48-Core Processor,16,1624,25948,16
35,AMD EPYC 7K62 48-Core Processor,16,1617,25865,16
36,AMD EPYC 7K62 48-Core Processor,16,1617,25821,16
37,AMD EPYC 7K62 48-Core Processor,16,1622,25795,16
38,AMD EPYC 7K62 48-Core Processor,16,1622,25791,16
39,AMD EPYC 7K62 48-Core Processor @2595.122 MHz,16,1622,25770,16
40,AMD EPYC 7K62 48-Core Processor,16,1614,25765,16
41,AMD EPYC 7K62 48-Core Processor,16,1621,25713,16
42,AMD EPYC 7K62 48-Core Processor,16,1616,25679,16
43,AMD EPYC 7K62 48-Core Processor,16,1619,25658,16
44,AMD EPYC 7K62 48-Core Processor,16,1616,25650,16
45,AMD EPYC 7K62 48-Core Processor,16,1622,25648,16
46,AMD EPYC 7K62 48-Core Processor,16,1617,25628,16
47,AMD EPYC 7K62 48-Core Processor,16,1639,25610,16
48,AMD EPYC 7K62 48-Core Processor @2595.120 MHz,16,1615,25602,16
49,AMD EPYC 7K62 48-Core Processor,16,1612,25585,16
50,AMD EPYC 7K62 48-Core Processor @ 2595.122 MHz,16,1617,25583,16
51,AMD EPYC 7K62 48-Core Processor,16,1614,25578,16
52,AMD EPYC 7K62 48-Core Processor,16,1611,25467,16
53,AMD EPYC 7K62 48-Core Processor,16,1612,25466,16
54,AMD EPYC 7K62 48-Core Processor,16,1640,25445,16
55,AMD EPYC 7K62 48-Core Processor,16,1608,25427,16
56,AMD EPYC 7K62 48-Core Processor,16,1613,25422,16
57,AMD EPYC 7K62 48-Core Processor,16,1610,25300,16
58,AMD EPYC 7K62 48-Core Processor,16,1608,25255,16
59,AMD EPYC 7K62 48-Core Processor,16,1614,25255,16
60,AMD EPYC 7K62 48-Core Processor,16,1611,25247,16
61,AMD EPYC 7K62 48-Core Processor,16,1597,25241,16
62,AMD EPYC 7K62 48-Core Processor,16,1614,25232,16
63,AMD EPYC 7K62 48-Core Processor,16,1597,25231,16
64,AMD EPYC 7K62 48-Core Processor,16,1610,25224,16
65,AMD EPYC 7K62 48-Core Processor,16,1598,25199,16
66,AMD EPYC 7K62 48-Core Processor @2595.122 MHz,16,1603,25168,16
67,AMD EPYC 7K62 48-Core Processor,16,1595,25100,16
68,AMD EPYC 7K62 48-Core Processor @ 2595.124 MHz,16,1605,25050,16
69,AMD EPYC 7K62 48-Core Processor,16,1613,25024,16
70,AMD EPYC 7K62 48-Core Processor,16,1588,25015,16
71,AMD EPYC 7K62 48-Core Processor @2595.122 MHz,16,1583,25012,16
