排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC 7K62 48-Core Processor,1,3380,3380,1
2,AMD EPYC 7K62 48-Core Processor,1,3373,3373,1
3,AMD EPYC 7K62 48-Core Processor,1,3368,3368,1
4,AMD EPYC 7K62 48-Core Processor,1,3359,3359,1
5,AMD EPYC 7K62 48-Core Processor,1,3349,3349,1
6,AMD EPYC 7K62 48-Core Processor,1,3335,3335,1
7,AMD EPYC 7K62 48-Core Processor,1,3226,3226,1
8,AMD EPYC 7K62 48-Core Processor,1,3169,3169,1
9,AMD EPYC 7K62 48-Core Processor,1,2041,2041,1
10,AMD EPYC 7K62 48-Core Processor,2,1643,1724,2
11,AMD EPYC 7K62 48-Core Processor,2,1643,1724,2
12,AMD EPYC 7K62 48-Core Processor,2,1642,1722,2
13,AMD EPYC 7K62 48-Core Processor,192,1641,162421,192
14,AMD EPYC 7K62 48-Core Processor,8,1641,13049,8
15,AMD EPYC 7K62 48-Core Processor,2,1641,1725,2
16,AMD EPYC 7K62 48-Core Processor,8,1641,13049,8
17,AMD EPYC 7K62 48-Core Processor,96,1641,152839,96
18,AMD EPYC 7K62 48-Core Processor,16,1640,25445,16
19,AMD EPYC 7K62 48-Core Processor,4,1640,3451,4
20,AMD EPYC 7K62 48-Core Processor,2,1640,1726,2
21,AMD EPYC 7K62 48-Core Processor,4,1640,3449,4
22,AMD EPYC 7K62 48-Core Processor,2,1640,3253,2
23,AMD EPYC 7K62 48-Core Processor,2,1640,1721,2
24,AMD EPYC 7K62 48-Core Processor,2,1640,1719,2
25,AMD EPYC 7K62 48-Core Processor,2,1640,1722,2
26,AMD EPYC 7K62 48-Core Processor,4,1640,3450,4
27,AMD EPYC 7K62 48-Core Processor,2,1640,1725,2
28,AMD EPYC 7K62 48-Core Processor,2,1640,1711,2
29,AMD EPYC 7K62 48-Core Processor,4,1640,3449,4
30,AMD EPYC 7K62 48-Core Processor,2,1640,3277,2
31,AMD EPYC 7K62 48-Core Processor @2595.106 MHz,2,1640,1720,2
32,AMD EPYC 7K62 48-Core Processor,2,1640,3237,2
33,AMD EPYC 7K62 48-Core Processor,4,1640,3444,4
34,AMD EPYC 7K62 48-Core Processor,2,1640,1726,2
35,AMD EPYC 7K62 48-Core Processor,4,1640,3435,4
36,AMD EPYC 7K62 48-Core Processor,1,1640,76766,48
37,AMD EPYC 7K62 48-Core Processor @ 2595.124 MHz,2,1639,1727,2
38,AMD EPYC 7K62 48-Core Processor,2,1639,1726,2
39,AMD EPYC 7K62 48-Core Processor,2,1639,1717,2
40,AMD EPYC 7K62 48-Core Processor,16,1639,25610,16
41,AMD EPYC 7K62 48-Core Processor,2,1639,1725,2
42,AMD EPYC 7K62 48-Core Processor,2,1639,1720,2
43,AMD EPYC 7K62 48-Core Processor,4,1639,3437,4
44,AMD EPYC 7K62 48-Core Processor,4,1639,3450,4
45,AMD EPYC 7K62 48-Core Processor,2,1639,3231,2
46,AMD EPYC 7K62 48-Core Processor,2,1639,3236,2
47,AMD EPYC 7K62 48-Core Processor,16,1639,25992,16
48,AMD EPYC 7K62 48-Core Processor,4,1639,3431,4
49,AMD EPYC 7K62 48-Core Processor,4,1639,3424,4
50,AMD EPYC 7K62 48-Core Processor,2,1639,1721,2
51,AMD EPYC 7K62 48-Core Processor,2,1639,1724,2
52,AMD EPYC 7K62 48-Core Processor,4,1639,3444,4
53,AMD EPYC 7K62 48-Core Processor,2,1639,1726,2
54,AMD EPYC 7K62 48-Core Processor,4,1639,3442,4
55,AMD EPYC 7K62 48-Core Processor,4,1639,3437,4
56,AMD EPYC 7K62 48-Core Processor,2,1639,3241,2
57,AMD EPYC 7K62 48-Core Processor,2,1639,3207,2
58,AMD EPYC 7K62 48-Core Processor,4,1639,3439,4
59,AMD EPYC 7K62 48-Core Processor,2,1639,1722,2
60,AMD EPYC 7K62 48-Core Processor,2,1639,1720,2
61,AMD EPYC 7K62 48-Core Processor,2,1639,1719,2
62,AMD EPYC 7K62 48-Core Processor @ 2595.124 MHz,2,1639,1725,2
63,AMD EPYC 7K62 48-Core Processor,2,1639,3255,2
64,AMD EPYC 7K62 48-Core Processor,4,1639,3441,4
65,AMD EPYC 7K62 48-Core Processor,2,1639,1721,2
66,AMD EPYC 7K62 48-Core Processor,2,1639,1710,2
67,AMD EPYC 7K62 48-Core Processor,2,1638,1706,2
68,AMD EPYC 7K62 48-Core Processor,4,1638,3429,4
69,AMD EPYC 7K62 48-Core Processor,2,1638,1725,2
70,AMD EPYC 7K62 48-Core Processor,2,1638,1726,2
71,AMD EPYC 7K62 48-Core Processor,2,1638,1720,2
72,AMD EPYC 7K62 48-Core Processor,2,1638,1715,2
73,AMD EPYC 7K62 48-Core Processor,2,1638,1722,2
74,AMD EPYC 7K62 48-Core Processor,2,1638,1713,2
75,AMD EPYC 7K62 48-Core Processor,2,1638,1720,2
76,AMD EPYC 7K62 48-Core Processor,2,1638,1724,2
77,AMD EPYC 7K62 48-Core Processor,2,1638,1723,2
78,AMD EPYC 7K62 48-Core Processor,2,1638,1723,2
79,AMD EPYC 7K62 48-Core Processor @ 2595.122 MHz,2,1638,1726,2
80,AMD EPYC 7K62 48-Core Processor,2,1638,3238,2
81,AMD EPYC 7K62 48-Core Processor @2595.122 MHz,2,1638,1699,2
82,AMD EPYC 7K62 48-Core Processor,2,1638,1717,2
83,AMD EPYC 7K62 48-Core Processor,2,1638,1721,2
84,AMD EPYC 7K62 48-Core Processor,2,1638,1717,2
85,AMD EPYC 7K62 48-Core Processor,2,1638,3213,2
86,AMD EPYC 7K62 48-Core Processor,2,1638,1720,2
87,AMD EPYC 7K62 48-Core Processor,2,1638,1718,2
88,AMD EPYC 7K62 48-Core Processor,4,1638,3440,4
89,AMD EPYC 7K62 48-Core Processor,2,1638,1715,2
90,AMD EPYC 7K62 48-Core Processor @2595.124 MHz,2,1638,1713,2
91,AMD EPYC 7K62 48-Core Processor,2,1638,1713,2
92,AMD EPYC 7K62 48-Core Processor,2,1638,1721,2
93,AMD EPYC 7K62 48-Core Processor @2595.124 MHz,2,1638,1716,2
94,AMD EPYC 7K62 48-Core Processor @ 2595.122 MHz,4,1638,3435,4
95,AMD EPYC 7K62 48-Core Processor @ 2595.124 MHz,2,1638,1724,2
96,AMD EPYC 7K62 48-Core Processor,2,1638,3157,2
97,AMD EPYC 7K62 48-Core Processor,2,1638,1719,2
98,AMD EPYC 7K62 48-Core Processor @2595.092 MHz,2,1638,1720,2
99,AMD EPYC 7K62 48-Core Processor,2,1637,1718,2
100,AMD EPYC 7K62 48-Core Processor,2,1637,3225,2
101,AMD EPYC 7K62 48-Core Processor,2,1637,1719,2
102,AMD EPYC 7K62 48-Core Processor @ 2595.106 MHz,2,1637,1719,2
103,AMD EPYC 7K62 48-Core Processor,2,1637,1718,2
104,AMD EPYC 7K62 48-Core Processor,2,1637,1722,2
