排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC 7R13 48-Core Processor,2,4212,4695,2
2,AMD EPYC 7R13 48-Core Processor,6,4074,24244,6
3,AMD EPYC 7R13 48-Core Processor,16,4069,62788,16
4,AMD EPYC 7R13 48-Core Processor,6,4066,24192,6
5,AMD EPYC 7R13 48-Core Processor,6,4065,24226,6
6,AMD EPYC 7R13 48-Core Processor,6,4058,24290,6
7,AMD EPYC 7R13 48-Core Processor,2,4058,8088,2
8,AMD EPYC 7R13 48-Core Processor,6,4056,23975,6
9,AMD EPYC 7R13 48-Core Processor,2,4053,7985,2
10,AMD EPYC 7R13 48-Core Processor,6,4052,23790,6
11,AMD EPYC 7R13 48-Core Processor,2,4052,8023,2
12,AMD EPYC 7R13 48-Core Processor,4,4048,16030,4
13,AMD EPYC 7R13 48-Core Processor,2,4046,8049,2
14,AMD EPYC 7R13 48-Core Processor,6,4042,23933,6
15,AMD EPYC 7R13 48-Core Processor,6,4039,24049,6
16,AMD EPYC 7R13 48-Core Processor,6,4035,24115,6
17,AMD EPYC 7R13 48-Core Processor,2,4031,8093,2
18,AMD EPYC 7R13 48-Core Processor,6,4030,22838,6
19,AMD EPYC 7R13 48-Core Processor,3,4026,12048,3
20,AMD EPYC 7R13 48-Core Processor,6,4024,23818,6
21,AMD EPYC 7R13 48-Core Processor,6,4020,23838,6
22,AMD EPYC 7R13 48-Core Processor,6,4017,23950,6
23,AMD EPYC 7R13 48-Core Processor,2,4016,8038,2
24,AMD EPYC 7R13 48-Core Processor,3,4015,11953,3
25,AMD EPYC 7R13 48-Core Processor,2,4014,7972,2
26,AMD EPYC 7R13 48-Core Processor,6,4013,23983,6
27,AMD EPYC 7R13 48-Core Processor,6,4011,23579,6
28,AMD EPYC 7R13 48-Core Processor,3,4001,12005,3
29,AMD EPYC 7R13 48-Core Processor,6,3999,24097,6
30,AMD EPYC 7R13 48-Core Processor,3,3993,11959,3
31,AMD EPYC 7R13 48-Core Processor,4,3987,15760,4
32,AMD EPYC 7R13 48-Core Processor,4,3986,16114,4
33,AMD EPYC 7R13 48-Core Processor,6,3985,23857,6
34,AMD EPYC 7R13 48-Core Processor,2,3982,7996,2
35,AMD EPYC 7R13 48-Core Processor,2,3982,7750,2
36,AMD EPYC 7R13 48-Core Processor,4,3981,15751,4
37,AMD EPYC 7R13 48-Core Processor,2,3981,7953,2
38,AMD EPYC 7R13 48-Core Processor,2,3980,7965,2
39,AMD EPYC 7R13 48-Core Processor,6,3975,23522,6
40,AMD EPYC 7R13 48-Core Processor,6,3974,21304,6
41,AMD EPYC 7R13 48-Core Processor,6,3965,23732,6
42,AMD EPYC 7R13 48-Core Processor,6,3959,22946,6
43,AMD EPYC 7R13 48-Core Processor,2,3952,7757,2
44,AMD EPYC 7R13 48-Core Processor,6,3950,22642,6
45,AMD EPYC 7R13 48-Core Processor,6,3947,23228,6
46,AMD EPYC 7R13 48-Core Processor,2,3940,7945,2
47,AMD EPYC 7R13 48-Core Processor,6,3939,23498,6
48,AMD EPYC 7R13 48-Core Processor,6,3935,20368,6
49,AMD EPYC 7R13 48-Core Processor,6,3931,22875,6
50,AMD EPYC 7R13 48-Core Processor,3,3930,11632,3
51,AMD EPYC 7R13 48-Core Processor,2,3927,7487,2
52,AMD EPYC 7R13 48-Core Processor,6,3927,23449,6
53,AMD EPYC 7R13 48-Core Processor,3,3927,11634,3
54,AMD EPYC 7R13 48-Core Processor,6,3927,22774,6
55,AMD EPYC 7R13 48-Core Processor,4,3926,14552,4
56,AMD EPYC 7R13 48-Core Processor,2,3925,7978,2
57,AMD EPYC 7R13 48-Core Processor,6,3923,23275,6
58,AMD EPYC 7R13 48-Core Processor,6,3920,22667,6
59,AMD EPYC 7R13 48-Core Processor,6,3919,22802,6
60,AMD EPYC 7R13 48-Core Processor,2,3917,7733,2
61,AMD EPYC 7R13 48-Core Processor,6,3915,23362,6
62,AMD EPYC 7R13 48-Core Processor,6,3913,23114,6
63,AMD EPYC 7R13 48-Core Processor,2,3908,7711,2
64,AMD EPYC 7R13 48-Core Processor,4,3900,15431,4
65,AMD EPYC 7R13 48-Core Processor,6,3897,22859,6
66,AMD EPYC 7R13 48-Core Processor,6,3896,22572,6
67,AMD EPYC 7R13 48-Core Processor,16,3894,61184,16
68,AMD EPYC 7R13 48-Core Processor,4,3889,15454,4
69,AMD EPYC 7R13 48-Core Processor,6,3883,23702,6
70,AMD EPYC 7R13 48-Core Processor,4,3881,15048,4
71,AMD EPYC 7R13 48-Core Processor,2,3877,7618,2
72,AMD EPYC 7R13 48-Core Processor,2,3874,7712,2
73,AMD EPYC 7R13 48-Core Processor,4,3874,15489,4
74,AMD EPYC 7R13 48-Core Processor,4,3872,15466,4
75,AMD EPYC 7R13 48-Core Processor,6,3871,22717,6
76,AMD EPYC 7R13 48-Core Processor,3,3865,11676,3
77,AMD EPYC 7R13 48-Core Processor,4,3864,15222,4
78,AMD EPYC 7R13 48-Core Processor,6,3863,23058,6
