排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC 7R13 64-Core Processor,8,3824,29551,8
2,AMD EPYC 7R13 64-Core Processor,6,3867,21892,6
3,AMD EPYC 7R13 64-Core Processor,6,3187,19095,6
4,AMD EPYC 7R13 64-Core Processor,6,3771,17023,6
5,AMD EPYC 7R13 64-Core Processor,4,3925,15868,4
6,AMD EPYC 7R13 64-Core Processor,4,3989,15794,4
7,AMD EPYC 7R13 64-Core Processor,4,3829,15016,4
8,AMD EPYC 7R13 64-Core Processor,4,3384,13616,4
9,AMD EPYC 7R13 64-Core Processor,2,4022,8023,2
10,AMD EPYC 7R13 64-Core Processor,2,4020,8002,2
11,AMD EPYC 7R13 64-Core Processor,2,4015,7987,2
12,AMD EPYC 7R13 64-Core Processor,2,3868,7935,2
13,AMD EPYC 7R13 64-Core Processor,2,3903,7896,2
14,AMD EPYC 7R13 64-Core Processor,2,3948,7883,2
15,AMD EPYC 7R13 64-Core Processor,2,3978,7862,2
16,AMD EPYC 7R13 64-Core Processor,2,3902,7776,2
17,AMD EPYC 7R13 64-Core Processor,2,3926,7761,2
18,AMD EPYC 7R13 64-Core Processor,2,3947,7735,2
19,AMD EPYC 7R13 64-Core Processor,2,3890,7734,2
20,AMD EPYC 7R13 64-Core Processor,2,3814,7719,2
21,AMD EPYC 7R13 64-Core Processor,2,3867,7601,2
22,AMD EPYC 7R13 64-Core Processor,2,3760,7517,2
23,AMD EPYC 7R13 64-Core Processor,2,3781,6887,2
24,AMD EPYC 7R13 64-Core Processor,2,3149,6255,2
25,AMD EPYC 7R13 64-Core Processor,2,3733,5949,2
26,AMD EPYC 7R13 64-Core Processor,2,3796,4939,2
27,AMD EPYC 7R13 64-Core Processor,1,3962,3962,1
28,AMD EPYC 7R13 64-Core Processor,1,3857,3857,1
29,AMD EPYC 7R13 64-Core Processor,1,3729,3729,1
30,AMD EPYC 7R13 64-Core Processor,1,3073,3073,1
