排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC 7R13 Processor,4,4072,9197,4
2,AMD EPYC 7R13 Processor,4,4078,9147,4
3,AMD EPYC 7R13 Processor,4,4069,9021,4
4,AMD EPYC 7R13 Processor,4,3914,6083,4
5,AMD EPYC 7R13 Processor,4,3961,5930,4
6,AMD EPYC 7R13 Processor,4,3633,5926,4
7,AMD EPYC 7R13 Processor,4,3931,5846,4
8,AMD EPYC 7R13 Processor,4,3887,5843,4
9,AMD EPYC 7R13 Processor,4,4028,5508,4
10,AMD EPYC 7R13 Processor,4,4013,5372,4
11,AMD EPYC 7R13 Processor,4,3618,5367,4
12,AMD EPYC 7R13 Processor,4,3966,5360,4
13,AMD EPYC 7R13 Processor,4,4007,5336,4
14,AMD EPYC 7R13 Processor,4,4015,5297,4
15,AMD EPYC 7R13 Processor,4,3944,5267,4
16,AMD EPYC 7R13 Processor,4,4004,5256,4
17,AMD EPYC 7R13 Processor,4,4002,5234,4
18,AMD EPYC 7R13 Processor,4,3978,5202,4
19,AMD EPYC 7R13 Processor,4,3370,5089,4
20,AMD EPYC 7R13 Processor,4,4023,5068,4
21,AMD EPYC 7R13 Processor,4,4025,5067,4
22,AMD EPYC 7R13 Processor,8,4020,5056,8
23,AMD EPYC 7R13 Processor,4,4034,4950,4
24,AMD EPYC 7R13 Processor,4,4041,4940,4
25,AMD EPYC 7R13 Processor,4,4026,4934,4
26,AMD EPYC 7R13 Processor,4,4046,4877,4
27,AMD EPYC 7R13 Processor,8,4066,4864,8
28,AMD EPYC 7R13 Processor,2,4074,4551,2
29,AMD EPYC 7R13 Processor,2,4072,4548,2
30,AMD EPYC 7R13 Processor,4,2595,4540,4
31,AMD EPYC 7R13 Processor,2,4072,4530,2
32,AMD EPYC 7R13 Processor @3591.523 MHz,4,2740,4440,4
33,AMD EPYC 7R13 Processor,4,3214,3615,4
34,AMD EPYC 7R13 Processor,4,3761,2945,4
35,AMD EPYC 7R13 Processor,8,4038,2906,8
36,AMD EPYC 7R13 Processor,4,4025,2517,4
37,AMD EPYC 7R13 Processor,4,3984,2446,4
38,AMD EPYC 7R13 Processor @ 2173.995 MHz,1,904,904,1
39,AMD EPYC 7R13 Processor @ 3549.690 MHz,1,885,885,1
40,AMD EPYC 7R13 Processor @ 3369.919 MHz,1,881,881,1
41,AMD EPYC 7R13 Processor,8,574,475,8
