排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC 7V12 64-Core Processor,1,1630,109982,128
2,AMD EPYC 7V12 64-Core Processor,32,1581,49360,32
3,AMD EPYC 7V12 64-Core Processor,16,1611,25459,16
4,AMD EPYC 7V12 64-Core Processor,16,1115,17715,16
5,AMD EPYC 7V12 64-Core Processor,16,1126,17454,16
6,AMD EPYC 7V12 64-Core Processor,16,1109,17406,16
7,AMD EPYC 7V12 64-Core Processor,16,1060,15073,16
8,AMD EPYC 7V12 64-Core Processor,16,1102,14865,16
9,AMD EPYC 7V12 64-Core Processor,8,1597,11570,8
10,AMD EPYC 7V12 64-Core Processor,8,1092,8250,8
11,AMD EPYC 7V12 64-Core Processor,8,1056,7272,8
12,AMD EPYC 7V12 64-Core Processor,4,1578,6356,4
13,AMD EPYC 7V12 64-Core Processor,4,1592,6351,4
14,AMD EPYC 7V12 64-Core Processor,4,1553,6182,4
15,AMD EPYC 7V12 64-Core Processor,4,1143,4515,4
16,AMD EPYC 7V12 64-Core Processor,4,1129,4375,4
17,AMD EPYC 7V12 64-Core Processor,4,1088,4329,4
18,AMD EPYC 7V12 64-Core Processor,4,1078,4300,4
19,AMD EPYC 7V12 64-Core Processor,4,1078,4254,4
20,AMD EPYC 7V12 64-Core Processor,4,1042,4010,4
21,AMD EPYC 7V12 64-Core Processor,4,1003,3977,4
22,AMD EPYC 7V12 64-Core Processor,4,980,3472,4
23,AMD EPYC 7V12 64-Core Processor,2,1622,3236,2
24,AMD EPYC 7V12 64-Core Processor,2,1626,3230,2
25,AMD EPYC 7V12 64-Core Processor,2,1601,3228,2
26,AMD EPYC 7V12 64-Core Processor,2,1621,3225,2
27,AMD EPYC 7V12 64-Core Processor,2,1104,2199,2
28,AMD EPYC 7V12 64-Core Processor,2,1107,2188,2
29,AMD EPYC 7V12 64-Core Processor,2,1096,2187,2
30,AMD EPYC 7V12 64-Core Processor,2,1089,2182,2
31,AMD EPYC 7V12 64-Core Processor,2,1088,2177,2
32,AMD EPYC 7V12 64-Core Processor,2,1102,2173,2
33,AMD EPYC 7V12 64-Core Processor,2,1095,2151,2
34,AMD EPYC 7V12 64-Core Processor,2,1087,2143,2
35,AMD EPYC 7V12 64-Core Processor,2,1081,2134,2
36,AMD EPYC 7V12 64-Core Processor,2,1089,2132,2
37,AMD EPYC 7V12 64-Core Processor,2,1069,2125,2
38,AMD EPYC 7V12 64-Core Processor,2,1105,2114,2
39,AMD EPYC 7V12 64-Core Processor,2,1062,2112,2
40,AMD EPYC 7V12 64-Core Processor,2,1100,2098,2
41,AMD EPYC 7V12 64-Core Processor,2,1065,2088,2
42,AMD EPYC 7V12 64-Core Processor,2,1069,2085,2
43,AMD EPYC 7V12 64-Core Processor,2,1055,2043,2
44,AMD EPYC 7V12 64-Core Processor,2,1093,1849,2
45,AMD EPYC 7V12 64-Core Processor,1,1028,1017,4
46,AMD EPYC 7V12 64-Core Processor,1,378,368,4
47,AMD EPYC 7V12 64-Core Processor,1,360,356,4
48,AMD EPYC 7V12 64-Core Processor,1,371,356,4
