排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC 7V12 64-Core Processor,1,1630,109982,128
2,AMD EPYC 7V12 64-Core Processor,2,1626,3230,2
3,AMD EPYC 7V12 64-Core Processor,2,1622,3236,2
4,AMD EPYC 7V12 64-Core Processor,2,1621,3225,2
5,AMD EPYC 7V12 64-Core Processor,1,1620,1620,1
6,AMD EPYC 7V12 64-Core Processor,1,1615,1615,1
7,AMD EPYC 7V12 64-Core Processor,1,1615,1615,1
8,AMD EPYC 7V12 64-Core Processor,16,1611,25459,16
9,AMD EPYC 7V12 64-Core Processor,2,1601,3228,2
10,AMD EPYC 7V12 64-Core Processor,1,1599,1599,1
11,AMD EPYC 7V12 64-Core Processor,8,1597,11570,8
12,AMD EPYC 7V12 64-Core Processor,4,1592,6351,4
13,AMD EPYC 7V12 64-Core Processor,32,1581,49360,32
14,AMD EPYC 7V12 64-Core Processor,4,1578,6356,4
15,AMD EPYC 7V12 64-Core Processor,1,1575,1575,1
16,AMD EPYC 7V12 64-Core Processor,1,1566,1566,1
17,AMD EPYC 7V12 64-Core Processor,4,1561,6263,4
18,AMD EPYC 7V12 64-Core Processor,4,1553,6182,4
19,AMD EPYC 7V12 64-Core Processor,1,1548,1548,1
20,AMD EPYC 7V12 64-Core Processor,1,1535,1535,1
21,AMD EPYC 7V12 64-Core Processor,1,1455,1455,1
22,AMD EPYC 7V12 64-Core Processor,1,1242,1242,1
23,AMD EPYC 7V12 64-Core Processor,1,1198,1198,1
24,AMD EPYC 7V12 64-Core Processor,4,1143,4515,4
25,AMD EPYC 7V12 64-Core Processor,1,1134,1134,1
26,AMD EPYC 7V12 64-Core Processor,4,1129,4375,4
27,AMD EPYC 7V12 64-Core Processor,16,1126,17454,16
28,AMD EPYC 7V12 64-Core Processor @2449.998 MHz,2,1121,2230,2
29,AMD EPYC 7V12 64-Core Processor,16,1115,17715,16
30,AMD EPYC 7V12 64-Core Processor,16,1109,17406,16
31,AMD EPYC 7V12 64-Core Processor @2449.998 MHz,4,1108,4048,4
32,AMD EPYC 7V12 64-Core Processor,2,1107,2188,2
33,AMD EPYC 7V12 64-Core Processor,2,1105,2114,2
34,AMD EPYC 7V12 64-Core Processor,2,1104,2199,2
35,AMD EPYC 7V12 64-Core Processor,2,1102,2173,2
36,AMD EPYC 7V12 64-Core Processor @2449.998 MHz,2,1102,2204,2
37,AMD EPYC 7V12 64-Core Processor,16,1102,14865,16
38,AMD EPYC 7V12 64-Core Processor,2,1100,2098,2
39,AMD EPYC 7V12 64-Core Processor @2449.998 MHz,2,1099,2136,2
40,AMD EPYC 7V12 64-Core Processor,2,1096,2187,2
41,AMD EPYC 7V12 64-Core Processor,2,1095,2151,2
42,AMD EPYC 7V12 64-Core Processor,2,1093,1849,2
43,AMD EPYC 7V12 64-Core Processor,8,1092,8250,8
44,AMD EPYC 7V12 64-Core Processor,2,1089,2132,2
45,AMD EPYC 7V12 64-Core Processor,2,1089,2182,2
46,AMD EPYC 7V12 64-Core Processor,4,1088,4329,4
47,AMD EPYC 7V12 64-Core Processor,2,1088,2177,2
48,AMD EPYC 7V12 64-Core Processor,2,1087,2143,2
49,AMD EPYC 7V12 64-Core Processor,2,1081,2134,2
50,AMD EPYC 7V12 64-Core Processor @2449.998 MHz,2,1079,2041,2
51,AMD EPYC 7V12 64-Core Processor,4,1078,4254,4
52,AMD EPYC 7V12 64-Core Processor,4,1078,4300,4
53,AMD EPYC 7V12 64-Core Processor @2449.998 MHz,2,1077,2154,2
54,AMD EPYC 7V12 64-Core Processor @2449.998 MHz,4,1076,4168,4
55,AMD EPYC 7V12 64-Core Processor @2449.998 MHz,4,1074,4323,4
56,AMD EPYC 7V12 64-Core Processor,2,1069,2085,2
57,AMD EPYC 7V12 64-Core Processor,2,1069,2125,2
58,AMD EPYC 7V12 64-Core Processor,2,1065,2088,2
59,AMD EPYC 7V12 64-Core Processor,2,1062,2112,2
60,AMD EPYC 7V12 64-Core Processor,16,1060,15073,16
61,AMD EPYC 7V12 64-Core Processor,8,1056,7272,8
62,AMD EPYC 7V12 64-Core Processor,2,1055,2043,2
63,AMD EPYC 7V12 64-Core Processor @2449.998 MHz,4,1055,3846,4
64,AMD EPYC 7V12 64-Core Processor,4,1042,4010,4
65,AMD EPYC 7V12 64-Core Processor,1,1028,1017,4
66,AMD EPYC 7V12 64-Core Processor @2449.992 MHz,4,1026,4033,4
67,AMD EPYC 7V12 64-Core Processor,4,1003,3977,4
68,AMD EPYC 7V12 64-Core Processor @2449.998 MHz,1,991,991,1
69,AMD EPYC 7V12 64-Core Processor,4,980,3472,4
70,AMD EPYC 7V12 64-Core Processor @2449.998 MHz,4,971,3875,4
71,AMD EPYC 7V12 64-Core Processor @2449.998 MHz,1,955,955,1
72,AMD EPYC 7V12 64-Core Processor,1,378,368,4
73,AMD EPYC 7V12 64-Core Processor,1,371,356,4
74,AMD EPYC 7V12 64-Core Processor,1,360,356,4
