排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC 9274F 24-Core Processor,1,5234,128388,48
2,AMD EPYC 9274F 24-Core Processor,1,5213,128266,48
3,AMD EPYC 9274F 24-Core Processor,8,5070,21215,8
4,AMD EPYC 9274F 24-Core Processor,5,4950,22749,5
5,AMD EPYC 9274F 24-Core Processor,4,4610,18293,4
6,AMD EPYC 9274F 24-Core Processor,4,4597,17350,4
7,AMD EPYC 9274F 24-Core Processor,12,4591,47282,12
8,AMD EPYC 9274F 24-Core Processor,4,4581,18016,4
9,AMD EPYC 9274F 24-Core Processor,4,4568,17292,4
10,AMD EPYC 9274F 24-Core Processor,4,4567,17285,4
11,AMD EPYC 9274F 24-Core Processor,5,4560,21755,5
12,AMD EPYC 9274F 24-Core Processor,4,4504,17222,4
13,AMD EPYC 9274F 24-Core Processor,4,4492,16090,4
14,AMD EPYC 9274F 24-Core Processor,4,4455,15518,4
15,AMD EPYC 9274F 24-Core Processor,4,4425,17666,4
16,AMD EPYC 9274F 24-Core Processor,4,4394,16473,4
17,AMD EPYC 9274F 24-Core Processor,4,4374,15145,4
18,AMD EPYC 9274F 24-Core Processor,4,4372,15062,4
19,AMD EPYC 9274F 24-Core Processor,4,4337,14099,4
20,AMD EPYC 9274F 24-Core Processor,4,4294,16064,4
21,AMD EPYC 9274F 24-Core Processor,5,4287,20536,5
22,AMD EPYC 9274F 24-Core Processor,4,4206,15598,4
23,AMD EPYC 9274F 24-Core Processor,4,4180,9576,4
24,AMD EPYC 9274F 24-Core Processor,4,4176,15340,4
25,AMD EPYC 9274F 24-Core Processor,6,4039,4259,6
26,AMD EPYC 9274F 24-Core Processor,4,3954,16970,4
27,AMD EPYC 9274F 24-Core Processor,6,3726,3720,6
28,AMD EPYC 9274F 24-Core Processor,4,3719,13842,4
