排名,CPU型号,CPU核心数,单核得分,多核得分,多核线程数
1,AMD EPYC 9454P 48-Core Processor,4,4692,18650,4
2,AMD EPYC 9454P 48-Core Processor,1,4688,229402,96
3,AMD EPYC 9454P 48-Core Processor,1,4687,226618,96
4,AMD EPYC 9454P 48-Core Processor,1,4682,228814,96
5,AMD EPYC 9454P 48-Core Processor,6,4680,27929,6
6,AMD EPYC 9454P 48-Core Processor,8,4672,36881,8
7,AMD EPYC 9454P 48-Core Processor,5,4656,21911,5
8,AMD EPYC 9454P 48-Core Processor,1,4653,228703,96
9,AMD EPYC 9454P 48-Core Processor,4,4649,18536,4
10,AMD EPYC 9454P 48-Core Processor,6,4647,27742,6
11,AMD EPYC 9454P 48-Core Processor,4,4646,18507,4
12,AMD EPYC 9454P 48-Core Processor,4,4643,18579,4
13,AMD EPYC 9454P 48-Core Processor,4,4642,18467,4
14,AMD EPYC 9454P 48-Core Processor,4,4641,18526,4
15,AMD EPYC 9454P 48-Core Processor,4,4640,18441,4
16,AMD EPYC 9454P 48-Core Processor,6,4639,27728,6
17,AMD EPYC 9454P 48-Core Processor,4,4639,18558,4
18,AMD EPYC 9454P 48-Core Processor,4,4638,18562,4
19,AMD EPYC 9454P 48-Core Processor,5,4638,22961,5
20,AMD EPYC 9454P 48-Core Processor,4,4637,18552,4
21,AMD EPYC 9454P 48-Core Processor,4,4636,18611,4
22,AMD EPYC 9454P 48-Core Processor,4,4635,18384,4
23,AMD EPYC 9454P 48-Core Processor,4,4634,18499,4
24,AMD EPYC 9454P 48-Core Processor,4,4633,18511,4
25,AMD EPYC 9454P 48-Core Processor,4,4633,18465,4
26,AMD EPYC 9454P 48-Core Processor,4,4633,18591,4
27,AMD EPYC 9454P 48-Core Processor,4,4633,18433,4
28,AMD EPYC 9454P 48-Core Processor,4,4631,18550,4
29,AMD EPYC 9454P 48-Core Processor,4,4631,18399,4
30,AMD EPYC 9454P 48-Core Processor,5,4630,22414,5
31,AMD EPYC 9454P 48-Core Processor,6,4630,27740,6
32,AMD EPYC 9454P 48-Core Processor,4,4630,18460,4
33,AMD EPYC 9454P 48-Core Processor,4,4630,18544,4
34,AMD EPYC 9454P 48-Core Processor,5,4630,23134,5
35,AMD EPYC 9454P 48-Core Processor,6,4627,27818,6
36,AMD EPYC 9454P 48-Core Processor,4,4627,18491,4
37,AMD EPYC 9454P 48-Core Processor,5,4627,22926,5
38,AMD EPYC 9454P 48-Core Processor,4,4626,18270,4
39,AMD EPYC 9454P 48-Core Processor,4,4626,18244,4
40,AMD EPYC 9454P 48-Core Processor,5,4626,22997,5
41,AMD EPYC 9454P 48-Core Processor,4,4624,18479,4
42,AMD EPYC 9454P 48-Core Processor,4,4623,18450,4
43,AMD EPYC 9454P 48-Core Processor,4,4623,18160,4
44,AMD EPYC 9454P 48-Core Processor,6,4623,27720,6
